Index         V(1)             V(2)           I(VIDMON)
0       -1.50000000e+01  0.00000000e+00   -1.26369522e-03  
1       -1.40000000e+01  0.00000000e+00   -1.25727460e-03  
2       -1.30000000e+01  0.00000000e+00   -1.25085397e-03  
3       -1.20000000e+01  0.00000000e+00   -1.24443335e-03  
4       -1.10000000e+01  0.00000000e+00   -1.23801273e-03  
5       -1.00000000e+01  0.00000000e+00   -1.23159210e-03  
6       -9.00000000e+00  0.00000000e+00   -1.22517148e-03  
7       -8.00000000e+00  0.00000000e+00   -1.21875086e-03  
8       -7.00000000e+00  0.00000000e+00   -1.21233024e-03  
9       -6.00000000e+00  0.00000000e+00   -1.20590961e-03  
10      -5.00000000e+00  0.00000000e+00   -1.19948899e-03  
11      -4.00000000e+00  0.00000000e+00   -1.19306837e-03  
12      -3.00000000e+00  0.00000000e+00   -1.18664775e-03  
13      -2.00000000e+00  0.00000000e+00   -1.14309931e-03  
14      -1.00000000e+00  0.00000000e+00   -7.67801196e-04  
15      0.00000000e+00   0.00000000e+00   -4.63693864e-20  
0       -1.50000000e+01  5.00000000e-01   -6.67537372e-04  
1       -1.40000000e+01  5.00000000e-01   -6.64145727e-04  
2       -1.30000000e+01  5.00000000e-01   -6.60754082e-04  
3       -1.20000000e+01  5.00000000e-01   -6.57362437e-04  
4       -1.10000000e+01  5.00000000e-01   -6.53970792e-04  
5       -1.00000000e+01  5.00000000e-01   -6.50579147e-04  
6       -9.00000000e+00  5.00000000e-01   -6.47187501e-04  
7       -8.00000000e+00  5.00000000e-01   -6.43795856e-04  
8       -7.00000000e+00  5.00000000e-01   -6.40404211e-04  
9       -6.00000000e+00  5.00000000e-01   -6.37012566e-04  
10      -5.00000000e+00  5.00000000e-01   -6.33620921e-04  
11      -4.00000000e+00  5.00000000e-01   -6.30229276e-04  
12      -3.00000000e+00  5.00000000e-01   -6.26837631e-04  
13      -2.00000000e+00  5.00000000e-01   -6.23445986e-04  
14      -1.00000000e+00  5.00000000e-01   -5.06039149e-04  
15      0.00000000e+00   5.00000000e-01   -1.10014914e-10  
0       -1.50000000e+01  1.00000000e+00   -2.84152502e-04  
1       -1.40000000e+01  1.00000000e+00   -2.82708770e-04  
2       -1.30000000e+01  1.00000000e+00   -2.81265039e-04  
3       -1.20000000e+01  1.00000000e+00   -2.79821308e-04  
4       -1.10000000e+01  1.00000000e+00   -2.78377577e-04  
5       -1.00000000e+01  1.00000000e+00   -2.76933846e-04  
6       -9.00000000e+00  1.00000000e+00   -2.75490115e-04  
7       -8.00000000e+00  1.00000000e+00   -2.74046383e-04  
8       -7.00000000e+00  1.00000000e+00   -2.72602652e-04  
9       -6.00000000e+00  1.00000000e+00   -2.71158921e-04  
10      -5.00000000e+00  1.00000000e+00   -2.69715190e-04  
11      -4.00000000e+00  1.00000000e+00   -2.68271459e-04  
12      -3.00000000e+00  1.00000000e+00   -2.66827728e-04  
13      -2.00000000e+00  1.00000000e+00   -2.65383997e-04  
14      -1.00000000e+00  1.00000000e+00   -2.58435145e-04  
15      0.00000000e+00   1.00000000e+00   -1.20732157e-10  
0       -1.50000000e+01  1.50000000e+00   -7.51789009e-05  
1       -1.40000000e+01  1.50000000e+00   -7.47969293e-05  
2       -1.30000000e+01  1.50000000e+00   -7.44149578e-05  
3       -1.20000000e+01  1.50000000e+00   -7.40329863e-05  
4       -1.10000000e+01  1.50000000e+00   -7.36510148e-05  
5       -1.00000000e+01  1.50000000e+00   -7.32690432e-05  
6       -9.00000000e+00  1.50000000e+00   -7.28870717e-05  
7       -8.00000000e+00  1.50000000e+00   -7.25051002e-05  
8       -7.00000000e+00  1.50000000e+00   -7.21231286e-05  
9       -6.00000000e+00  1.50000000e+00   -7.17411571e-05  
10      -5.00000000e+00  1.50000000e+00   -7.13591856e-05  
11      -4.00000000e+00  1.50000000e+00   -7.09772141e-05  
12      -3.00000000e+00  1.50000000e+00   -7.05952425e-05  
13      -2.00000000e+00  1.50000000e+00   -7.02132710e-05  
14      -1.00000000e+00  1.50000000e+00   -6.98312995e-05  
15      0.00000000e+00   1.50000000e+00   -1.30942105e-10  
End of Xyce(TM) Parameter Sweep
