Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
0	0.00000000e+00	1.00000000e+00	1.00000000e+00
1	3.00000000e-08	9.99999940e-01	1.00000006e+00
2	9.00000000e-08	9.99999820e-01	1.00000018e+00
3	2.10000000e-07	9.99999580e-01	1.00000042e+00
4	4.50000000e-07	9.99999100e-01	1.00000090e+00
5	9.30000000e-07	9.99998140e-01	1.00000186e+00
6	1.89000000e-06	9.99996220e-01	1.00000378e+00
7	3.81000000e-06	9.99992380e-01	1.00000762e+00
8	7.65000000e-06	9.99984700e-01	1.00001530e+00
9	1.53300000e-05	9.99969341e-01	1.00003066e+00
10	3.06900000e-05	9.99938623e-01	1.00006138e+00
11	6.14100000e-05	9.99877191e-01	1.00012281e+00
12	1.22850000e-04	9.99754345e-01	1.00024567e+00
13	2.45730000e-04	9.99508721e-01	1.00049134e+00
14	4.91490000e-04	9.99017744e-01	1.00098250e+00
15	9.83010000e-04	9.98036875e-01	1.00196409e+00
16	1.96605000e-03	9.96079464e-01	1.00392439e+00
17	3.93213000e-03	9.92181866e-01	1.00783353e+00
18	5.89821000e-03	9.88307102e-01	1.01172747e+00
19	7.86429000e-03	9.84454995e-01	1.01560636e+00
20	9.83037000e-03	9.80625371e-01	1.01947031e+00
21	1.17964500e-02	9.76818057e-01	1.02331946e+00
22	1.37625300e-02	9.73032883e-01	1.02715393e+00
23	1.57286100e-02	9.69269683e-01	1.03097385e+00
24	1.76946900e-02	9.65528291e-01	1.03477934e+00
25	1.96607700e-02	9.61808543e-01	1.03857052e+00
26	2.16268500e-02	9.58110278e-01	1.04234750e+00
27	2.35929300e-02	9.54433337e-01	1.04611042e+00
28	2.55590100e-02	9.50777562e-01	1.04985938e+00
29	2.75250900e-02	9.47142797e-01	1.05359449e+00
30	2.94911700e-02	9.43528890e-01	1.05731587e+00
31	3.14572500e-02	9.39935688e-01	1.06102363e+00
32	3.34233300e-02	9.36363041e-01	1.06471788e+00
33	3.53894100e-02	9.32810802e-01	1.06839873e+00
34	3.73554900e-02	9.29278824e-01	1.07206628e+00
35	3.93215700e-02	9.25766963e-01	1.07572063e+00
36	4.12876500e-02	9.22275075e-01	1.07936190e+00
37	4.32537300e-02	9.18803020e-01	1.08299018e+00
38	4.52198100e-02	9.15350657e-01	1.08660558e+00
39	4.71858900e-02	9.11917850e-01	1.09020819e+00
40	4.91519700e-02	9.08504461e-01	1.09379811e+00
41	5.11180500e-02	9.05110355e-01	1.09737544e+00
42	5.30841300e-02	9.01735400e-01	1.10094027e+00
43	5.50502100e-02	8.98379463e-01	1.10449271e+00
44	5.70162900e-02	8.95042415e-01	1.10803283e+00
45	5.89823700e-02	8.91724126e-01	1.11156073e+00
46	6.09484500e-02	8.88424469e-01	1.11507651e+00
47	6.29145300e-02	8.85143318e-01	1.11858026e+00
48	6.48806100e-02	8.81880548e-01	1.12207205e+00
49	6.68466900e-02	8.78636035e-01	1.12555199e+00
50	6.88127700e-02	8.75409659e-01	1.12902015e+00
51	7.07788500e-02	8.72201298e-01	1.13247661e+00
52	7.27449300e-02	8.69010833e-01	1.13592148e+00
53	7.47110100e-02	8.65838146e-01	1.13935482e+00
54	7.66770900e-02	8.62683120e-01	1.14277672e+00
55	7.86431700e-02	8.59545639e-01	1.14618726e+00
56	8.06092500e-02	8.56425589e-01	1.14958652e+00
57	8.25753300e-02	8.53322856e-01	1.15297458e+00
58	8.45414100e-02	8.50237329e-01	1.15635152e+00
59	8.65074900e-02	8.47168897e-01	1.15971742e+00
60	8.84735700e-02	8.44117450e-01	1.16307234e+00
61	9.04396500e-02	8.41082878e-01	1.16641638e+00
62	9.24057300e-02	8.38065075e-01	1.16974959e+00
63	9.43718100e-02	8.35063934e-01	1.17307206e+00
64	9.63378900e-02	8.32079350e-01	1.17638385e+00
65	1.00270050e-01	8.26159383e-01	1.18297575e+00
