Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
108	7.15653090e-01	7.42482697e+01	8.09629469e+01
109	7.23517410e-01	7.45968340e+01	8.08179763e+01
110	7.31381730e-01	7.49474599e+01	8.06743742e+01
111	7.39246050e-01	7.53001570e+01	8.05321409e+01
112	7.47110370e-01	7.56549349e+01	8.03912766e+01
113	7.54974690e-01	7.60118034e+01	8.02517815e+01
114	7.62839010e-01	7.63707720e+01	8.01136560e+01
115	7.70703330e-01	7.67318506e+01	7.99769004e+01
116	7.78567650e-01	7.70950489e+01	7.98415151e+01
117	7.86431970e-01	7.74603766e+01	7.97075008e+01
118	7.94296290e-01	7.78278434e+01	7.95748578e+01
119	8.02160610e-01	7.81974593e+01	7.94435868e+01
120	8.10024930e-01	7.85692339e+01	7.93136885e+01
121	8.17889250e-01	7.89431772e+01	7.91851635e+01
122	8.25753570e-01	7.93192989e+01	7.90580127e+01
123	8.33617890e-01	7.96976090e+01	7.89322368e+01
124	8.41482210e-01	8.00781173e+01	7.88078367e+01
125	8.49346530e-01	8.04608336e+01	7.86848134e+01
126	8.57210850e-01	8.08457680e+01	7.85631678e+01
127	8.65075170e-01	8.12329303e+01	7.84429011e+01
128	8.72939490e-01	8.16223305e+01	7.83240143e+01
129	8.80803810e-01	8.20139785e+01	7.82065087e+01
130	8.88668130e-01	8.24078842e+01	7.80903854e+01
131	8.96532450e-01	8.28040577e+01	7.79756457e+01
132	9.04396770e-01	8.32025089e+01	7.78622911e+01
133	9.12261090e-01	8.36032478e+01	7.77503229e+01
134	9.20125410e-01	8.40062844e+01	7.76397426e+01
135	9.27989730e-01	8.44116286e+01	7.75305519e+01
136	9.35854050e-01	8.48192906e+01	7.74227523e+01
137	9.43718370e-01	8.52292803e+01	7.73163454e+01
138	9.51582690e-01	8.56416078e+01	7.72113331e+01
139	9.59447010e-01	8.60562830e+01	7.71077171e+01
140	9.67311330e-01	8.64733160e+01	7.70054994e+01
141	9.75175650e-01	8.68927168e+01	7.69046819e+01
142	9.83039970e-01	8.73144955e+01	7.68052666e+01
143	9.90904290e-01	8.77386620e+01	7.67072556e+01
144	9.98768610e-01	8.81652265e+01	7.66106511e+01
145	1.00663293e+00	8.85941989e+01	7.65154552e+01
146	1.01449725e+00	8.90255892e+01	7.64216703e+01
147	1.02236157e+00	8.94594076e+01	7.63292988e+01
148	1.03022589e+00	8.98956639e+01	7.62383431e+01
149	1.03809021e+00	9.03343682e+01	7.61488057e+01
150	1.04595453e+00	9.07755305e+01	7.60606892e+01
151	1.05381885e+00	9.12191608e+01	7.59739963e+01
152	1.06168317e+00	9.16652691e+01	7.58887298e+01
153	1.06954749e+00	9.21138654e+01	7.58048923e+01
154	1.07741181e+00	9.25649595e+01	7.57224869e+01
155	1.08527613e+00	9.30185615e+01	7.56415166e+01
156	1.09314045e+00	9.34746813e+01	7.55619842e+01
157	1.10100477e+00	9.39333287e+01	7.54838931e+01
158	1.10886909e+00	9.43945138e+01	7.54072464e+01
159	1.11673341e+00	9.48582463e+01	7.53320474e+01
160	1.12459773e+00	9.53245362e+01	7.52582995e+01
161	1.13246205e+00	9.57933932e+01	7.51860061e+01
162	1.14032637e+00	9.62648271e+01	7.51151708e+01
163	1.14819069e+00	9.67388479e+01	7.50457972e+01
164	1.15605501e+00	9.72154652e+01	7.49778891e+01
165	1.16391933e+00	9.76946887e+01	7.49114501e+01
166	1.17178365e+00	9.81765282e+01	7.48464843e+01
167	1.17964797e+00	9.86609934e+01	7.47829955e+01
168	1.18751229e+00	9.91480938e+01	7.47209879e+01
169	1.19537661e+00	9.96378391e+01	7.46604656e+01
170	1.20324093e+00	1.00130239e+02	7.46014329e+01
171	1.21110525e+00	1.00625303e+02	7.45438940e+01
172	1.21896957e+00	1.01123040e+02	7.44878535e+01
173	1.22683389e+00	1.01623460e+02	7.44333158e+01
174	1.23469821e+00	1.02126573e+02	7.43802855e+01
175	1.24256253e+00	1.02632387e+02	7.43287675e+01
176	1.25042685e+00	1.03140913e+02	7.42787664e+01
177	1.25829117e+00	1.03652159e+02	7.42302872e+01
178	1.26615549e+00	1.04166134e+02	7.41833350e+01
179	1.27401981e+00	1.04682848e+02	7.41379148e+01
180	1.28188413e+00	1.05202310e+02	7.40940319e+01
181	1.28974845e+00	1.05724529e+02	7.40516915e+01
182	1.29761277e+00	1.06249514e+02	7.40108991e+01
183	1.30547709e+00	1.06777273e+02	7.39716602e+01
184	1.31334141e+00	1.07307817e+02	7.39339805e+01
185	1.32120573e+00	1.07841152e+02	7.38978656e+01
186	1.32907005e+00	1.08377290e+02	7.38633215e+01
187	1.33693437e+00	1.08916237e+02	7.38303541e+01
188	1.34479869e+00	1.09458003e+02	7.37989694e+01
189	1.35266301e+00	1.10002596e+02	7.37691737e+01
190	1.36052733e+00	1.10550024e+02	7.37409732e+01
191	1.36839165e+00	1.11100297e+02	7.37143744e+01
192	1.37625597e+00	1.11653422e+02	7.36893837e+01
193	1.38412029e+00	1.12209407e+02	7.36660079e+01
194	1.39198461e+00	1.12768261e+02	7.36442536e+01
195	1.39984893e+00	1.13329992e+02	7.36241279e+01
196	1.40771325e+00	1.13894607e+02	7.36056376e+01
197	1.41557757e+00	1.14462114e+02	7.35887899e+01
198	1.42344189e+00	1.15032522e+02	7.35735921e+01
199	1.43130621e+00	1.15605838e+02	7.35600515e+01
200	1.43917053e+00	1.16182069e+02	7.35481756e+01
201	1.44703485e+00	1.16761223e+02	7.35379722e+01
202	1.45489917e+00	1.17343307e+02	7.35294488e+01
203	1.46276349e+00	1.17928329e+02	7.35226136e+01
204	1.47062781e+00	1.18516295e+02	7.35174744e+01
205	1.47849213e+00	1.19107213e+02	7.35140394e+01
206	1.48635645e+00	1.19701089e+02	7.35123170e+01
207	1.49422077e+00	1.20297930e+02	7.35123156e+01
208	1.50208509e+00	1.20897743e+02	7.35140438e+01
209	1.50994941e+00	1.21500535e+02	7.35175102e+01
210	1.51781373e+00	1.22106311e+02	7.35227238e+01
211	1.52567805e+00	1.22715078e+02	7.35296936e+01
212	1.53354237e+00	1.23326842e+02	7.35384286e+01
213	1.54140669e+00	1.23941608e+02	7.35489384e+01
214	1.54927101e+00	1.24559384e+02	7.35612322e+01
215	1.55713533e+00	1.25180174e+02	7.35753197e+01
216	1.56499965e+00	1.25803983e+02	7.35912106e+01
217	1.57286397e+00	1.26430818e+02	7.36089149e+01
218	1.58072829e+00	1.27060683e+02	7.36284427e+01
219	1.58859261e+00	1.27693583e+02	7.36498041e+01
220	1.59645693e+00	1.28329523e+02	7.36730096e+01
221	1.60432125e+00	1.28968508e+02	7.36980697e+01
222	1.61218557e+00	1.29610542e+02	7.37249951e+01
223	1.62004989e+00	1.30255630e+02	7.37537968e+01
224	1.62791421e+00	1.30903775e+02	7.37844857e+01
225	1.63577853e+00	1.31554981e+02	7.38170732e+01
226	1.64364285e+00	1.32209253e+02	7.38515706e+01
227	1.65150717e+00	1.32866593e+02	7.38879894e+01
228	1.65937149e+00	1.33527006e+02	7.39263415e+01
229	1.66723581e+00	1.34190493e+02	7.39666388e+01
230	1.67510013e+00	1.34857059e+02	7.40088934e+01
231	1.68296445e+00	1.35526705e+02	7.40531175e+01
232	1.69082877e+00	1.36199434e+02	7.40993237e+01
233	1.69869309e+00	1.36875248e+02	7.41475246e+01
234	1.70655741e+00	1.37554149e+02	7.41977331e+01
235	1.71442173e+00	1.38236140e+02	7.42499622e+01
236	1.72228605e+00	1.38921220e+02	7.43042252e+01
237	1.73015037e+00	1.39609393e+02	7.43605355e+01
238	1.73801469e+00	1.40300658e+02	7.44189068e+01
239	1.74587901e+00	1.40995016e+02	7.44793529e+01
240	1.75374333e+00	1.41692469e+02	7.45418879e+01
241	1.76160765e+00	1.42393015e+02	7.46065260e+01
242	1.76947197e+00	1.43096655e+02	7.46732816e+01
243	1.77733629e+00	1.43803389e+02	7.47421695e+01
244	1.78520061e+00	1.44513215e+02	7.48132046e+01
245	1.79306493e+00	1.45226134e+02	7.48864019e+01
246	1.80092925e+00	1.45942143e+02	7.49617767e+01
247	1.80879357e+00	1.46661241e+02	7.50393447e+01
248	1.81665789e+00	1.47383427e+02	7.51191216e+01
249	1.82452221e+00	1.48108697e+02	7.52011233e+01
250	1.83238653e+00	1.48837051e+02	7.52853662e+01
251	1.84025085e+00	1.49568483e+02	7.53718666e+01
252	1.84811517e+00	1.50302993e+02	7.54606413e+01
253	1.85597949e+00	1.51040575e+02	7.55517072e+01
254	1.86384381e+00	1.51781227e+02	7.56450815e+01
