Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
158      5.48437500e-07    1.00000141e+00
159      5.53437500e-07    1.00000142e+00
160      5.58437500e-07    1.00000143e+00
161      5.63437500e-07    1.00000144e+00
162      5.68437500e-07    1.00000144e+00
163      5.73437500e-07    1.00000145e+00
164      5.78437500e-07    1.00000146e+00
165      5.83437500e-07    1.00000147e+00
166      5.88437500e-07    1.00000148e+00
167      5.93437500e-07    1.00000149e+00
168      5.98437500e-07    1.00000149e+00
169      6.03437500e-07    1.00000150e+00
170      6.08437500e-07    1.00000151e+00
171      6.13437500e-07    1.00000152e+00
172      6.18437500e-07    1.00000153e+00
173      6.23437500e-07    1.00000153e+00
174      6.28437500e-07    1.00000154e+00
175      6.33437500e-07    1.00000155e+00
176      6.38437500e-07    1.00000156e+00
177      6.43437500e-07    1.00000157e+00
178      6.48437500e-07    1.00000157e+00
179      6.53437500e-07    1.00000158e+00
180      6.58437500e-07    1.00000159e+00
181      6.63437500e-07    1.00000160e+00
182      6.68437500e-07    1.00000161e+00
183      6.73437500e-07    1.00000161e+00
184      6.78437500e-07    1.00000162e+00
185      6.83437500e-07    1.00000163e+00
186      6.88437500e-07    1.00000164e+00
187      6.98437500e-07    1.00000165e+00
188      7.08437500e-07    1.00000167e+00
189      7.18437500e-07    1.00000168e+00
190      7.28437500e-07    1.00000170e+00
191      7.38437500e-07    1.00000171e+00
192      7.48437500e-07    1.00000173e+00
193      7.58437500e-07    1.00000174e+00
194      7.68437500e-07    1.00000175e+00
195      7.78437500e-07    1.00000177e+00
196      7.88437500e-07    1.00000178e+00
197      7.98437500e-07    1.00000180e+00
198      8.08437500e-07    1.00000181e+00
199      8.18437500e-07    1.00000182e+00
200      8.28437500e-07    1.00000184e+00
201      8.38437500e-07    1.00000185e+00
202      8.48437500e-07    1.00000186e+00
203      8.58437500e-07    1.00000188e+00
204      8.68437500e-07    1.00000189e+00
205      8.78437500e-07    1.00000190e+00
206      8.88437500e-07    1.00000192e+00
207      8.98437500e-07    1.00000193e+00
208      9.08437500e-07    1.00000194e+00
209      9.18437500e-07    1.00000195e+00
210      9.28437500e-07    1.00000197e+00
211      9.38437500e-07    1.00000198e+00
212      9.48437500e-07    1.00000199e+00
213      9.58437500e-07    1.00000200e+00
214      9.68437500e-07    1.00000201e+00
215      9.78437500e-07    1.00000203e+00
216      9.88437500e-07    1.00000204e+00
217      9.98437500e-07    1.00000205e+00
218      1.00843750e-06    1.00000206e+00
219      1.01843750e-06    1.00000207e+00
220      1.02843750e-06    1.00000209e+00
221      1.03843750e-06    1.00000210e+00
222      1.04843750e-06    1.00000211e+00
223      1.05843750e-06    1.00000212e+00
224      1.06843750e-06    1.00000213e+00
225      1.07843750e-06    1.00000214e+00
226      1.08843750e-06    1.00000215e+00
227      1.09843750e-06    1.00000216e+00
228      1.10843750e-06    1.00000218e+00
229      1.11843750e-06    1.00000219e+00
230      1.12843750e-06    1.00000220e+00
231      1.13843750e-06    1.00000221e+00
232      1.14843750e-06    1.00000222e+00
233      1.15843750e-06    1.00000223e+00
234      1.16843750e-06    1.00000224e+00
235      1.17843750e-06    1.00000225e+00
236      1.18843750e-06    1.00000226e+00
237      1.19843750e-06    1.00000227e+00
238      1.20843750e-06    1.00000228e+00
239      1.21843750e-06    1.00000229e+00
240      1.22843750e-06    1.00000230e+00
241      1.23843750e-06    1.00000231e+00
242      1.24843750e-06    1.00000232e+00
243      1.25843750e-06    1.00000233e+00
244      1.26843750e-06    1.00000234e+00
245      1.27843750e-06    1.00000235e+00
246      1.28843750e-06    1.00000236e+00
247      1.29843750e-06    1.00000237e+00
248      1.30843750e-06    1.00000238e+00
249      1.31843750e-06    1.00000239e+00
250      1.32843750e-06    1.00000240e+00
251      1.33843750e-06    1.00000241e+00
252      1.34843750e-06    1.00000242e+00
253      1.35843750e-06    1.00000243e+00
254      1.36843750e-06    1.00000244e+00
255      1.37843750e-06    1.00000245e+00
256      1.38843750e-06    1.00000246e+00
257      1.39843750e-06    1.00000247e+00
258      1.40843750e-06    1.00000248e+00
259      1.41843750e-06    1.00000249e+00
260      1.42843750e-06    1.00000249e+00
261      1.43843750e-06    1.00000250e+00
262      1.45843750e-06    1.00000252e+00
263      1.47843750e-06    1.00000254e+00
264      1.49843750e-06    1.00000256e+00
265      1.51843750e-06    1.00000257e+00
266      1.53843750e-06    1.00000259e+00
267      1.55843750e-06    1.00000261e+00
268      1.57843750e-06    1.00000263e+00
269      1.59843750e-06    1.00000264e+00
270      1.61843750e-06    1.00000266e+00
271      1.63843750e-06    1.00000267e+00
272      1.65843750e-06    1.00000269e+00
273      1.67843750e-06    1.00000271e+00
274      1.69843750e-06    1.00000272e+00
275      1.71843750e-06    1.00000274e+00
276      1.73843750e-06    1.00000275e+00
277      1.75843750e-06    1.00000277e+00
278      1.77843750e-06    1.00000278e+00
279      1.79843750e-06    1.00000280e+00
280      1.81843750e-06    1.00000281e+00
281      1.83843750e-06    1.00000283e+00
282      1.85843750e-06    1.00000284e+00
283      1.87843750e-06    1.00000286e+00
284      1.89843750e-06    1.00000287e+00
285      1.91843750e-06    1.00000289e+00
286      1.93843750e-06    1.00000290e+00
287      1.95843750e-06    1.00000292e+00
288      1.97843750e-06    1.00000293e+00
289      1.99843750e-06    1.00000294e+00
290      2.01843750e-06    1.00000296e+00
291      2.03843750e-06    1.00000297e+00
292      2.05843750e-06    1.00000299e+00
293      2.07843750e-06    1.00000300e+00
294      2.09843750e-06    1.00000301e+00
295      2.11843750e-06    1.00000303e+00
296      2.13843750e-06    1.00000304e+00
297      2.15843750e-06    1.00000305e+00
298      2.17843750e-06    1.00000306e+00
299      2.19843750e-06    1.00000308e+00
300      2.21843750e-06    1.00000309e+00
301      2.23843750e-06    1.00000310e+00
302      2.25843750e-06    1.00000311e+00
303      2.27843750e-06    1.00000313e+00
304      2.29843750e-06    1.00000314e+00
305      2.31843750e-06    1.00000315e+00
306      2.33843750e-06    1.00000316e+00
307      2.35843750e-06    1.00000318e+00
308      2.37843750e-06    1.00000319e+00
309      2.39843750e-06    1.00000320e+00
310      2.41843750e-06    1.00000321e+00
311      2.43843750e-06    1.00000322e+00
312      2.45843750e-06    1.00000323e+00
313      2.47843750e-06    1.00000325e+00
314      2.49843750e-06    1.00000326e+00
315      2.51843750e-06    1.00000327e+00
316      2.53843750e-06    1.00000328e+00
317      2.55843750e-06    1.00000329e+00
318      2.57843750e-06    1.00000330e+00
319      2.59843750e-06    1.00000331e+00
320      2.61843750e-06    1.00000333e+00
321      2.63843750e-06    1.00000334e+00
322      2.65843750e-06    1.00000335e+00
323      2.67843750e-06    1.00000336e+00
324      2.69843750e-06    1.00000337e+00
325      2.71843750e-06    1.00000338e+00
326      2.75843750e-06    1.00000340e+00
327      2.79843750e-06    1.00000342e+00
328      2.83843750e-06    1.00000344e+00
329      2.87843750e-06    1.00000346e+00
330      2.91843750e-06    1.00000348e+00
331      2.95843750e-06    1.00000350e+00
332      2.99843750e-06    1.00000352e+00
333      3.03843750e-06    1.00000354e+00
334      3.07843750e-06    1.00000356e+00
335      3.11843750e-06    1.00000358e+00
336      3.15843750e-06    1.00000360e+00
337      3.19843750e-06    1.00000362e+00
338      3.23843750e-06    1.00000363e+00
339      3.27843750e-06    1.00000365e+00
340      3.31843750e-06    1.00000367e+00
341      3.35843750e-06    1.00000369e+00
342      3.39843750e-06    1.00000371e+00
343      3.43843750e-06    1.00000372e+00
344      3.47843750e-06    1.00000374e+00
345      3.51843750e-06    1.00000376e+00
346      3.55843750e-06    1.00000377e+00
