Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
0	0.00000000e+00	1.00000000e+00	1.00000000e+00
1	3.00000000e-08	9.99999979e-01	1.00000002e+00
2	9.00000000e-08	9.99999937e-01	1.00000006e+00
3	2.10000000e-07	9.99999853e-01	1.00000015e+00
4	4.50000000e-07	9.99999685e-01	1.00000031e+00
5	9.30000000e-07	9.99999349e-01	1.00000065e+00
6	1.89000000e-06	9.99998677e-01	1.00000132e+00
7	3.81000000e-06	9.99997333e-01	1.00000267e+00
8	7.65000000e-06	9.99994645e-01	1.00000535e+00
9	1.53300000e-05	9.99989269e-01	1.00001073e+00
10	3.06900000e-05	9.99978518e-01	1.00002148e+00
11	6.14100000e-05	9.99957015e-01	1.00004299e+00
12	1.22850000e-04	9.99914014e-01	1.00008599e+00
13	2.45730000e-04	9.99828025e-01	1.00017200e+00
14	4.91490000e-04	9.99656101e-01	1.00034398e+00
15	9.83010000e-04	9.99312468e-01	1.00068787e+00
16	1.96605000e-03	9.98626062e-01	1.00137529e+00
17	3.93213000e-03	9.97256684e-01	1.00274871e+00
18	7.86429000e-03	9.94531597e-01	1.00548995e+00
19	1.17964500e-02	9.91824634e-01	1.00822373e+00
20	1.57286100e-02	9.89135658e-01	1.01095014e+00
21	1.96607700e-02	9.86464534e-01	1.01366924e+00
22	2.35929300e-02	9.83811130e-01	1.01638108e+00
23	2.75250900e-02	9.81175315e-01	1.01908574e+00
24	3.14572500e-02	9.78556958e-01	1.02178327e+00
25	3.53894100e-02	9.75955930e-01	1.02447372e+00
26	3.93215700e-02	9.73372105e-01	1.02715717e+00
27	4.32537300e-02	9.70805357e-01	1.02983367e+00
28	4.71858900e-02	9.68255562e-01	1.03250328e+00
29	5.11180500e-02	9.65722596e-01	1.03516605e+00
30	5.50502100e-02	9.63206338e-01	1.03782204e+00
31	5.89823700e-02	9.60706667e-01	1.04047130e+00
32	6.29145300e-02	9.58223466e-01	1.04311390e+00
33	6.68466900e-02	9.55756615e-01	1.04574987e+00
34	7.07788500e-02	9.53305998e-01	1.04837928e+00
35	7.47110100e-02	9.50871500e-01	1.05100217e+00
36	7.86431700e-02	9.48453007e-01	1.05361860e+00
37	8.25753300e-02	9.46050406e-01	1.05622861e+00
38	8.65074900e-02	9.43663585e-01	1.05883227e+00
39	9.04396500e-02	9.41292433e-01	1.06142960e+00
40	9.43718100e-02	9.38936841e-01	1.06402067e+00
41	9.83039700e-02	9.36596701e-01	1.06660552e+00
42	1.06168290e-01	9.31962296e-01	1.07175678e+00
43	1.14032610e-01	9.27388425e-01	1.07688370e+00
44	1.21896930e-01	9.22874260e-01	1.08198666e+00
45	1.29761250e-01	9.18418989e-01	1.08706599e+00
46	1.37625570e-01	9.14021814e-01	1.09212203e+00
47	1.45489890e-01	9.09681956e-01	1.09715512e+00
48	1.53354210e-01	9.05398647e-01	1.10216556e+00
49	1.61218530e-01	9.01171135e-01	1.10715367e+00
50	1.69082850e-01	8.96998682e-01	1.11211975e+00
51	1.76947170e-01	8.92880564e-01	1.11706410e+00
52	1.84811490e-01	8.88816069e-01	1.12198700e+00
53	1.92675810e-01	8.84804499e-01	1.12688873e+00
54	2.00540130e-01	8.80845168e-01	1.13176956e+00
55	2.08404450e-01	8.76937402e-01	1.13662976e+00
56	2.16268770e-01	8.73080540e-01	1.14146960e+00
57	2.24133090e-01	8.69273931e-01	1.14628931e+00
58	2.31997410e-01	8.65516937e-01	1.15108915e+00
59	2.39861730e-01	8.61808928e-01	1.15586935e+00
60	2.47726050e-01	8.58149288e-01	1.16063016e+00
61	2.55590370e-01	8.54537409e-01	1.16537180e+00
62	2.63454690e-01	8.50972695e-01	1.17009450e+00
63	2.71319010e-01	8.47454558e-01	1.17479847e+00
64	2.79183330e-01	8.43982421e-01	1.17948393e+00
65	2.87047650e-01	8.40555716e-01	1.18415108e+00
66	2.94911970e-01	8.37173884e-01	1.18880013e+00
67	3.02776290e-01	8.33836374e-01	1.19343128e+00
68	3.10640610e-01	8.30542647e-01	1.19804472e+00
69	3.18504930e-01	8.27292169e-01	1.20264065e+00
70	3.26369250e-01	8.24084415e-01	1.20721924e+00
