Index         TIME             V(3)         {V(2)-V(27)}   {V(3)-(V(2)-V(27))}
66      1.03884250e-04   -1.10333609e+01  -1.10333609e+01  0.00000000e+00   
67      1.05926147e-04   -1.02376421e+01  -1.02376421e+01  0.00000000e+00   
68      1.07968045e-04   -9.36329139e+00  -9.36329139e+00  0.00000000e+00   
69      1.10009942e-04   -8.41659962e+00  -8.41659962e+00  0.00000000e+00   
70      1.12051839e-04   -7.40454982e+00  -7.40454982e+00  0.00000000e+00   
71      1.14093736e-04   -6.33475180e+00  -6.33475180e+00  0.00000000e+00   
72      1.16135633e-04   -5.21537005e+00  -5.21537005e+00  0.00000000e+00   
73      1.18177531e-04   -4.05504592e+00  -4.05504592e+00  0.00000000e+00   
74      1.20219428e-04   -2.86281495e+00  -2.86281495e+00  0.00000000e+00   
75      1.22261325e-04   -1.64802013e+00  -1.64802013e+00  0.00000000e+00   
76      1.24303222e-04   -4.20222037e-01  -4.20222037e-01  0.00000000e+00   
77      1.26345119e-04   8.10893345e-01   8.10893345e-01   0.00000000e+00   
78      1.28387017e-04   2.03560802e+00   2.03560802e+00   0.00000000e+00   
79      1.30428914e-04   3.24426575e+00   3.24426575e+00   0.00000000e+00   
80      1.32470811e-04   4.42736515e+00   4.42736515e+00   0.00000000e+00   
81      1.34512708e-04   5.57565124e+00   5.57565124e+00   0.00000000e+00   
82      1.36554605e-04   6.68020442e+00   6.68020442e+00   0.00000000e+00   
83      1.38596503e-04   7.73252600e+00   7.73252600e+00   0.00000000e+00   
84      1.40638400e-04   8.72461947e+00   8.72461947e+00   0.00000000e+00   
85      1.42680297e-04   9.64906647e+00   9.64906647e+00   0.00000000e+00   
86      1.44722194e-04   1.04990970e+01   1.04990970e+01   0.00000000e+00   
87      1.46764091e-04   1.12686528e+01   1.12686528e+01   0.00000000e+00   
88      1.48805988e-04   1.19524436e+01   1.19524436e+01   0.00000000e+00   
89      1.50847886e-04   1.25459953e+01   1.25459953e+01   0.00000000e+00   
90      1.52889783e-04   1.30456900e+01   1.30456900e+01   0.00000000e+00   
91      1.54931680e-04   1.34487970e+01   1.34487970e+01   0.00000000e+00   
92      1.56973577e-04   1.37534950e+01   1.37534950e+01   0.00000000e+00   
93      1.59015474e-04   1.39588850e+01   1.39588850e+01   0.00000000e+00   
94      1.61057372e-04   1.40649935e+01   1.40649935e+01   0.00000000e+00   
95      1.63099269e-04   1.40727664e+01   1.40727664e+01   0.00000000e+00   
96      1.65141166e-04   1.39840538e+01   1.39840538e+01   0.00000000e+00   
