Index      TIME           V(OUT)           V(IN)           V(1)
0       0.0000000000e+00   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
1       7.5000000000e-09   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
2       2.2500000000e-08   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
3       5.2500000000e-08   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
4       1.1250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
5       2.3250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
6       3.8250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
7       5.3250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
8       6.8250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
9       8.3250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
10      9.8250000000e-07   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
11      1.1325000000e-06   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
12      1.2825000000e-06   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
13      1.4325000000e-06   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
14      1.5000000000e-06   4.8060478621e+00   5.0000000000e+00   5.0000000000e+00   
15      1.5000250000e-06   4.8060194051e+00   4.9994224344e+00   4.9750000000e+00   
16      1.5000322481e-06   4.8060084285e+00   4.9992074673e+00   4.9677518795e+00   
17      1.5000394962e-06   4.8059946417e+00   4.9989455128e+00   4.9605037591e+00   
18      1.5000459253e-06   4.8059802353e+00   4.9986764713e+00   4.9540747495e+00   
19      1.5000523543e-06   4.8059637359e+00   4.9983709867e+00   4.9476457400e+00   
20      1.5000587833e-06   4.8059452552e+00   4.9980292961e+00   4.9412167304e+00   
21      1.5000652123e-06   4.8059249176e+00   4.9976516315e+00   4.9347877209e+00   
22      1.5000716413e-06   4.8059028519e+00   4.9972382220e+00   4.9283587113e+00   
23      1.5000780703e-06   4.8058791867e+00   4.9967892945e+00   4.9219297018e+00   
24      1.5000844993e-06   4.8058540479e+00   4.9963050736e+00   4.9155006922e+00   
25      1.5000909283e-06   4.8058275569e+00   4.9957857821e+00   4.9090716827e+00   
26      1.5000973573e-06   4.8057998300e+00   4.9952316407e+00   4.9026426731e+00   
27      1.5001102153e-06   4.8057402782e+00   4.9939856962e+00   4.8897846540e+00   
28      1.5001230734e-06   4.8056773909e+00   4.9926037994e+00   4.8769266349e+00   
29      1.5001359314e-06   4.8056118528e+00   4.9910876325e+00   4.8640686159e+00   
30      1.5001487894e-06   4.8055442770e+00   4.9894388513e+00   4.8512105968e+00   
31      1.5001616474e-06   4.8054752113e+00   4.9876590864e+00   4.8383525777e+00   
32      1.5001745054e-06   4.8054051437e+00   4.9857499434e+00   4.8254945586e+00   
33      1.5001873635e-06   4.8053345081e+00   4.9837130040e+00   4.8126365395e+00   
34      1.5002130795e-06   4.8051937234e+00   4.9791402305e+00   4.7869205013e+00   
35      1.5002387955e-06   4.8050555788e+00   4.9740805025e+00   4.7612044631e+00   
36      1.5002645116e-06   4.8049217317e+00   4.9685454283e+00   4.7354884249e+00   
37      1.5002902276e-06   4.8047934313e+00   4.9625462990e+00   4.7097723867e+00   
38      1.5003159437e-06   4.8046715918e+00   4.9560941019e+00   4.6840563485e+00   
39      1.5003673757e-06   4.8044575286e+00   4.9414608904e+00   4.6326242721e+00   
40      1.5004188078e-06   4.8042742147e+00   4.9251780742e+00   4.5811921957e+00   
41      1.5004702399e-06   4.8041211388e+00   4.9073209563e+00   4.5297601193e+00   
42      1.5005731040e-06   4.8039218862e+00   4.8658570012e+00   4.4268959665e+00   
43      1.5006759682e-06   4.8038100238e+00   4.8191406220e+00   4.3240318138e+00   
44      1.5007788323e-06   4.8037664434e+00   4.7676246192e+00   4.2211676610e+00   
45      1.5008816965e-06   4.8037741667e+00   4.7117216435e+00   4.1183035082e+00   
46      1.5009845606e-06   4.8038188993e+00   4.6518080239e+00   4.0154393554e+00   
47      1.5010874248e-06   4.8038890197e+00   4.5882271570e+00   3.9125752027e+00   
48      1.5012931531e-06   4.8040815351e+00   4.4487095319e+00   3.7068468971e+00   
49      1.5014988814e-06   4.8042810347e+00   4.2987747089e+00   3.5011185916e+00   
50      1.5017046097e-06   4.8044628306e+00   4.1400545165e+00   3.2953902860e+00   
51      1.5019103380e-06   4.8043281122e+00   3.9628812274e+00   3.0896619804e+00   
52      1.5019979967e-06   4.8038691710e+00   3.8758461399e+00   3.0020033446e+00   
53      1.5020737654e-06   4.8032493929e+00   3.7915716976e+00   2.9262346025e+00   
54      1.5021495341e-06   4.8027313193e+00   3.7032744887e+00   2.8504658605e+00   
55      1.5022253029e-06   4.8026455615e+00   3.6182872199e+00   2.7746971185e+00   
56      1.5022841523e-06   4.8028127536e+00   3.5550240636e+00   2.7158476588e+00   
57      1.5023430018e-06   4.8031054120e+00   3.4938575106e+00   2.6569981990e+00   
58      1.5024607007e-06   4.8037947857e+00   3.3751119997e+00   2.5392992796e+00   
59      1.5025783996e-06   4.8046912810e+00   3.2579209767e+00   2.4216003601e+00   
60      1.5026960986e-06   4.8058846475e+00   3.1410176323e+00   2.3039014406e+00   
61      1.5027944135e-06   4.8071591857e+00   3.0435586697e+00   2.2055864814e+00   
62      1.5028927285e-06   4.8087302014e+00   2.9463322338e+00   2.1072715221e+00   
63      1.5029710829e-06   4.8101870680e+00   2.8690152653e+00   2.0289171194e+00   
64      1.5030494373e-06   4.8118453047e+00   2.7918844041e+00   1.9505627167e+00   
65      1.5031133448e-06   4.8133381419e+00   2.7291088409e+00   1.8866552075e+00   
66      1.5031772523e-06   4.8149696901e+00   2.6664750433e+00   1.8227476983e+00   
67      1.5032257548e-06   4.8162939169e+00   2.6190256780e+00   1.7742451523e+00   
68      1.5032526972e-06   4.8170590924e+00   2.5926963683e+00   1.7473027943e+00   
69      1.5032662860e-06   4.8174530717e+00   2.5794241506e+00   1.7337140367e+00   
70      1.5032754890e-06   4.8177236749e+00   2.5704389257e+00   1.7245109885e+00   
71      1.5032846921e-06   4.8179980490e+00   2.5614571971e+00   1.7153079403e+00   
72      1.5032938951e-06   4.8182761723e+00   2.5524789805e+00   1.7061048921e+00   
73      1.5033123012e-06   4.8188465171e+00   2.5345366144e+00   1.6876987956e+00   
74      1.5033307073e-06   4.8194308531e+00   2.5166082925e+00   1.6692926992e+00   
75      1.5033491134e-06   4.8200291723e+00   2.4986941375e+00   1.6508866027e+00   
76      1.5033675195e-06   4.8206415248e+00   2.4807942766e+00   1.6324805062e+00   
77      1.5033859256e-06   4.8212680136e+00   2.4629088348e+00   1.6140744098e+00   
78      1.5034043317e-06   4.8219087934e+00   2.4450379340e+00   1.5956683133e+00   
79      1.5034227378e-06   4.8225640701e+00   2.4271816911e+00   1.5772622169e+00   
80      1.5034335482e-06   4.8229542981e+00   2.4166992456e+00   1.5664517926e+00   
81      1.5034443586e-06   4.8233499257e+00   2.4062219688e+00   1.5556413683e+00   
