Index         V(2)             V(1)             V(3)             V(4)
0       0.00000000e+00   5.00000000e+00   1.00000000e+02   1.00000000e+02   
1       1.00000000e+00   5.00000000e+00   1.00000000e+02   1.05000000e+02   
2       2.00000000e+00   5.00000000e+00   1.00000000e+02   1.10000000e+02   
3       3.00000000e+00   5.00000000e+00   1.00000000e+02   1.15000000e+02   
4       4.00000000e+00   5.00000000e+00   1.00000000e+02   1.20000000e+02   
5       5.00000000e+00   5.00000000e+00   1.00000000e+02   1.25000000e+02   
6       6.00000000e+00   5.00000000e+00   1.00000000e+02   1.30000000e+02   
7       7.00000000e+00   5.00000000e+00   1.00000000e+02   1.35000000e+02   
8       8.00000000e+00   5.00000000e+00   1.00000000e+02   1.40000000e+02   
9       9.00000000e+00   5.00000000e+00   1.00000000e+02   1.45000000e+02   
10      1.00000000e+01   5.00000000e+00   1.00000000e+02   1.50000000e+02   
End of Xyce(TM) Simulation
