Index       TIME              V(1)              V(1A)             I(L1)             V(2A)             I(L2)             V(3A)             I(L3)             V(4A)             I(L4)      
44       2.50485750e-03    9.69484165e-01   -3.05466866e-02    1.00003085e+03   -3.05466866e-02    1.00003085e+03   -5.30421459e-01    1.49990562e+03    2.19390700e-01    7.50093466e+02
45       2.60485750e-03    3.87800660e-01   -6.12226978e-01    1.00002764e+03   -6.12226978e-01    1.00002764e+03   -1.11209675e+00    1.49989741e+03   -3.62292091e-01    7.50092751e+02
46       2.70485750e-03    3.99564950e-02   -9.60063282e-01    1.00001978e+03   -9.60063282e-01    1.00001978e+03   -1.45992806e+00    1.49988455e+03   -7.10130894e-01    7.50087389e+02
47       2.80485750e-03    5.88163179e-02   -9.41193953e-01    1.00001027e+03   -9.41193953e-01    1.00001027e+03   -1.44105373e+00    1.49987005e+03   -6.91264064e-01    7.50080382e+02
48       2.90485750e-03    4.37176318e-01   -5.62826433e-01    1.00000275e+03   -5.62826433e-01    1.00000275e+03   -1.06268121e+00    1.49985753e+03   -3.12899044e-01    7.50075361e+02
49       3.00485750e-03    1.03051583e+00    3.05157456e-02    1.00000009e+03    3.05157456e-02    1.00000009e+03   -4.69334034e-01    1.49984987e+03    2.80440635e-01    7.50075199e+02
50       3.10485750e-03    1.61219934e+00    6.12196037e-01    1.00000330e+03    6.12196037e-01    1.00000330e+03    1.12351256e-01    1.49984808e+03    8.62118428e-01    7.50080912e+02
51       3.20485750e-03    1.96004351e+00    9.60032341e-01    1.00001116e+03    9.60032341e-01    1.00001116e+03    4.60192559e-01    1.49985095e+03    1.20995223e+00    7.50091272e+02
52       3.30485750e-03    1.94118368e+00    9.41163013e-01    1.00002067e+03    9.41163013e-01    1.00002067e+03    4.41328228e-01    1.49985545e+03    1.19108040e+00    7.50103277e+02
53       3.40485750e-03    1.56282368e+00    5.62795493e-01    1.00002819e+03    5.62795493e-01    1.00002819e+03    6.29657068e-02    1.49985798e+03    8.12710386e-01    7.50113296e+02
54       3.50485750e-03    9.69484165e-01   -3.05466851e-02    1.00003085e+03   -3.05466851e-02    1.00003085e+03   -5.30371473e-01    1.49985564e+03    2.19365709e-01    7.50118457e+02
55       3.60485750e-03    3.87800660e-01   -6.12226976e-01    1.00002764e+03   -6.12226976e-01    1.00002764e+03   -1.11204677e+00    1.49984743e+03   -3.62317082e-01    7.50117742e+02
56       3.70485750e-03    3.99564950e-02   -9.60063280e-01    1.00001978e+03   -9.60063280e-01    1.00001978e+03   -1.45987807e+00    1.49983457e+03   -7.10155885e-01    7.50112380e+02
57       3.80485750e-03    5.88163179e-02   -9.41193951e-01    1.00001027e+03   -9.41193951e-01    1.00001027e+03   -1.44100374e+00    1.49982006e+03   -6.91289054e-01    7.50105372e+02
58       3.90485750e-03    4.37176318e-01   -5.62826431e-01    1.00000275e+03   -5.62826431e-01    1.00000275e+03   -1.06263123e+00    1.49980754e+03   -3.12924034e-01    7.50100351e+02
59       4.00485750e-03    1.03051583e+00    3.05157472e-02    1.00000009e+03    3.05157472e-02    1.00000009e+03   -4.69284050e-01    1.49979988e+03    2.80415646e-01    7.50100189e+02
60       4.10485750e-03    1.61219934e+00    6.12196039e-01    1.00000330e+03    6.12196039e-01    1.00000330e+03    1.12401240e-01    1.49979810e+03    8.62093438e-01    7.50105901e+02
61       4.20485750e-03    1.96004351e+00    9.60032343e-01    1.00001116e+03    9.60032343e-01    1.00001116e+03    4.60242542e-01    1.49980096e+03    1.20992724e+00    7.50116261e+02
62       4.30485750e-03    1.94118368e+00    9.41163014e-01    1.00002067e+03    9.41163014e-01    1.00002067e+03    4.41378211e-01    1.49980547e+03    1.19105542e+00    7.50128266e+02
63       4.40485750e-03    1.56282368e+00    5.62795494e-01    1.00002819e+03    5.62795494e-01    1.00002819e+03    6.30156889e-02    1.49980799e+03    8.12685397e-01    7.50138285e+02
64       4.50485750e-03    9.69484165e-01   -3.05466835e-02    1.00003085e+03   -3.05466835e-02    1.00003085e+03   -5.30321491e-01    1.49980566e+03    2.19340720e-01    7.50143445e+02
65       4.60485750e-03    3.87800660e-01   -6.12226975e-01    1.00002764e+03   -6.12226975e-01    1.00002764e+03   -1.11199679e+00    1.49979745e+03   -3.62342070e-01    7.50142730e+02
66       4.70485750e-03    3.99564950e-02   -9.60063279e-01    1.00001977e+03   -9.60063279e-01    1.00001977e+03   -1.45982809e+00    1.49978459e+03   -7.10180873e-01    7.50137367e+02
67       4.80485750e-03    5.88163179e-02   -9.41193950e-01    1.00001027e+03   -9.41193950e-01    1.00001027e+03   -1.44095376e+00    1.49977008e+03   -6.91314042e-01    7.50130360e+02
68       4.90485750e-03    4.37176318e-01   -5.62826430e-01    1.00000275e+03   -5.62826430e-01    1.00000275e+03   -1.06258125e+00    1.49975756e+03   -3.12949021e-01    7.50125339e+02
69       5.00000000e-03    1.00000000e+00   -6.98977203e-08    1.00000007e+03   -6.98977203e-08    1.00000007e+03   -4.99750132e-01    1.49975013e+03    2.49874961e-01    7.50125039e+02
End of Xyce(TM) Simulation
