Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
29       1.11811500e-05    8.51433063e-06    1.70285705e-05    1.70285705e-05    9.99991486e-04    9.99982971e-04    9.99982971e-04    8.51425814e-09    1.70282805e-08    1.70282805e-08
30       1.14226832e-05    1.15334664e-05    2.30667815e-05    2.30667815e-05    9.99988467e-04    9.99976933e-04    9.99976933e-04    1.15333334e-08    2.30662494e-08    2.30662494e-08
31       1.19057498e-05    1.75717106e-05    3.51430942e-05    3.51430942e-05    9.99982428e-04    9.99964857e-04    9.99964857e-04    1.75714019e-08    3.51418592e-08    3.51418592e-08
32       1.28718830e-05    2.96480897e-05    5.92952821e-05    5.92952821e-05    9.99970352e-04    9.99940705e-04    9.99940705e-04    2.96472107e-08    5.92917662e-08    5.92917662e-08
33       1.48041492e-05    5.38004103e-05    1.07597908e-04    1.07597908e-04    9.99946200e-04    9.99892402e-04    9.99892402e-04    5.37975159e-08    1.07586331e-07    1.07586331e-07
34       1.86686818e-05    1.02103302e-04    2.04196160e-04    2.04196160e-04    9.99897897e-04    9.99795804e-04    9.99795804e-04    1.02092876e-07    2.04154464e-07    2.04154464e-07
35       2.63977469e-05    1.98702084e-04    3.97364668e-04    3.97364668e-04    9.99801298e-04    9.99602635e-04    9.99602635e-04    1.98662602e-07    3.97206770e-07    3.97206770e-07
36       4.18558770e-05    3.91871654e-04    7.83589731e-04    7.83589731e-04    9.99608128e-04    9.99216410e-04    9.99216410e-04    3.91718091e-07    7.82975718e-07    7.82975718e-07
37       7.27721374e-05    7.78098839e-04    1.55559226e-03    1.55559226e-03    9.99221901e-04    9.98444408e-04    9.98444408e-04    7.77493401e-07    1.55317239e-06    1.55317239e-06
38       1.34604658e-04    1.55010561e-03    3.09780863e-03    3.09780863e-03    9.98449894e-04    9.96902191e-04    9.96902191e-04    1.54770278e-06    3.08821221e-06    3.08821221e-06
39       2.58269700e-04    3.09233045e-03    6.17510048e-03    6.17510048e-03    9.96907670e-04    9.93824900e-04    9.93824900e-04    3.08276795e-06    6.13696861e-06    6.13696861e-06
40       5.05599782e-04    6.16963922e-03    1.23012306e-02    1.23012306e-02    9.93830361e-04    9.87698769e-04    9.87698769e-04    6.13157477e-06    1.21499104e-05    1.21499104e-05
41       1.00025995e-03    1.22958030e-02    2.44405511e-02    2.44405511e-02    9.87704197e-04    9.75559449e-04    9.75559449e-04    1.21446163e-05    2.38432106e-05    2.38432106e-05
42       1.98958028e-03    2.44351902e-02    4.82743305e-02    4.82743305e-02    9.75564810e-04    9.51725670e-04    9.51725670e-04    2.38381117e-05    4.59439195e-05    4.59439195e-05
43       3.96822094e-03    4.82691006e-02    9.42161293e-02    9.42161293e-02    9.51730899e-04    9.05783871e-04    9.05783871e-04    4.59391945e-05    8.53394503e-05    8.53394503e-05
