Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
33       1.49998380e-05    5.62463858e-05    1.12489590e-04    1.12489590e-04    9.99943754e-04    9.99887510e-04    9.99887510e-04    5.62432221e-08    1.12476936e-07    1.12476936e-07
34       1.90631655e-05    1.07033833e-04    2.14056192e-04    2.14056192e-04    9.99892966e-04    9.99785944e-04    9.99785944e-04    1.07022377e-07    2.14010372e-07    2.14010372e-07
35       2.71898206e-05    2.08600989e-04    4.17158447e-04    4.17158447e-04    9.99791399e-04    9.99582842e-04    9.99582842e-04    2.08557475e-07    4.16984426e-07    4.16984426e-07
36       4.34431306e-05    4.11704353e-04    8.23239191e-04    8.23239191e-04    9.99588296e-04    9.99176761e-04    9.99176761e-04    4.11534852e-07    8.22561468e-07    8.22561468e-07
37       7.59497508e-05    8.17787313e-04    1.63490587e-03    1.63490587e-03    9.99182213e-04    9.98365094e-04    9.98365094e-04    8.17118537e-07    1.63223295e-06    1.63223295e-06
38       1.40962991e-04    1.62945842e-03    3.25626199e-03    3.25626199e-03    9.98370542e-04    9.96743738e-04    9.96743738e-04    1.62680329e-06    3.24565875e-06    3.24565875e-06
39       2.70989472e-04    3.25082339e-03    6.49108135e-03    6.49108135e-03    9.96749177e-04    9.93508919e-04    9.93508919e-04    3.24025554e-06    6.44894721e-06    6.44894721e-06
40       5.31042433e-04    6.48566039e-03    1.29292764e-02    1.29292764e-02    9.93514340e-04    9.87070724e-04    9.87070724e-04    6.44359660e-06    1.27621102e-05    1.27621102e-05
41       1.05114835e-03    1.29238905e-02    2.56809071e-02    2.56809071e-02    9.87076109e-04    9.74319093e-04    9.74319093e-04    1.27568636e-05    2.50213981e-05    2.50213981e-05
42       2.09136020e-03    2.56755908e-02    5.06931384e-02    5.06931384e-02    9.74324409e-04    9.49306862e-04    9.49306862e-04    2.50163549e-05    4.81233441e-05    4.81233441e-05
43       4.17178389e-03    5.06879586e-02    9.88157087e-02    9.88157087e-02    9.49312041e-04    9.01184291e-04    9.01184291e-04    4.81186895e-05    8.90511644e-05    8.90511644e-05
44       6.25220758e-03    7.50582214e-02    1.44498834e-01    1.44498834e-01    9.24941779e-04    8.55501166e-04    8.55501166e-04    6.94244848e-05    1.23618921e-04    1.23618921e-04
45       8.33263126e-03    9.88028630e-02    1.87866176e-01    1.87866176e-01    9.01197137e-04    8.12133824e-04    8.12133824e-04    8.90408573e-05    1.52572476e-04    1.52572476e-04
46       1.04130550e-02    1.21937944e-01    2.29035126e-01    2.29035126e-01    8.78062056e-04    7.70964874e-04    7.70964874e-04    1.07069082e-04    1.76578037e-04    1.76578037e-04
47       1.24934786e-02    1.44479113e-01    2.68117127e-01    2.68117127e-01    8.55520887e-04    7.31882873e-04    7.31882873e-04    1.23604899e-04    1.96230333e-04    1.96230333e-04
48       1.45739023e-02    1.66441616e-01    3.05217970e-01    3.05217970e-01    8.33558384e-04    6.94782030e-04    6.94782030e-04    1.38738805e-04    2.12059961e-04    2.12059961e-04
49       1.66543260e-02    1.87840309e-01    3.40438086e-01    3.40438086e-01    8.12159691e-04    6.59561914e-04    6.59561914e-04    1.52556327e-04    2.24539995e-04    2.24539995e-04
50       1.87347497e-02    2.08689666e-01    3.73872811e-01    3.73872811e-01    7.91310334e-04    6.26127189e-04    6.26127189e-04    1.65138289e-04    2.34091932e-04    2.34091932e-04
51       2.28955971e-02    2.48803025e-01    4.35783302e-01    4.35783302e-01    7.51196975e-04    5.64216698e-04    5.64216698e-04    1.86900080e-04    2.45876216e-04    2.45876216e-04
52       2.70564445e-02    2.86882945e-01    4.91572179e-01    4.91572179e-01    7.13117055e-04    5.08427821e-04    5.08427821e-04    2.04581121e-04    2.49928972e-04    2.49928972e-04
