Index       V(1A)             I(R1)             P(R1)             V(2A)             I(R2)             P(R2)             V(3A)             I(R3)             P(R3)             V(4B)            I(R4B)            P(R4B)      
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    6.66666667e-01    6.66666667e-01    2.22222222e-01    3.33333333e-01    3.33333333e-01    2.22222222e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01    3.33333333e-01    3.33333333e-01    2.22222222e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    8.00000000e-01    8.00000000e-01    1.60000000e-01    3.33333333e-01    3.33333333e-01    2.22222222e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    6.66666667e-01    6.66666667e-01    2.22222222e-01    3.33333333e-01    3.33333333e-01    2.22222222e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    6.66666667e-01    6.66666667e-01    2.22222222e-01    2.00000000e-01    2.00000000e-01    1.60000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01    2.00000000e-01    2.00000000e-01    1.60000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    8.00000000e-01    8.00000000e-01    1.60000000e-01    2.00000000e-01    2.00000000e-01    1.60000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
0        5.00000000e-01    5.00000000e-01    2.50000000e-01    6.66666667e-01    6.66666667e-01    2.22222222e-01    2.00000000e-01    2.00000000e-01    1.60000000e-01    5.00000000e-01    5.00000000e-01    2.50000000e-01
End of Xyce(TM) Parameter Sweep
