Index       TIME              V(1A)             V(2A)             I(C1)             I(C2)             P(C1)             P(C2)      
39       4.97670000e-02    2.88117116e-01    2.88117116e-01   -2.88117116e-04   -2.88117116e-04   -8.30114725e-05   -8.30114725e-05
40       5.16102000e-02    2.75139679e-01    2.75139679e-01   -2.75139679e-04   -2.75139679e-04   -7.57018432e-05   -7.57018432e-05
41       5.34534000e-02    2.62746776e-01    2.62746776e-01   -2.62746776e-04   -2.62746776e-04   -6.90358680e-05   -6.90358680e-05
42       5.52966000e-02    2.50912076e-01    2.50912076e-01   -2.50912076e-04   -2.50912076e-04   -6.29568697e-05   -6.29568697e-05
43       5.71398000e-02    2.39610437e-01    2.39610437e-01   -2.39610437e-04   -2.39610437e-04   -5.74131615e-05   -5.74131615e-05
44       5.89830000e-02    2.28817849e-01    2.28817849e-01   -2.28817849e-04   -2.28817849e-04   -5.23576081e-05   -5.23576081e-05
45       6.08262000e-02    2.18511384e-01    2.18511384e-01   -2.18511384e-04   -2.18511384e-04   -4.77472248e-05   -4.77472248e-05
46       6.26694000e-02    2.08669144e-01    2.08669144e-01   -2.08669144e-04   -2.08669144e-04   -4.35428118e-05   -4.35428118e-05
47       6.45126000e-02    1.99270221e-01    1.99270221e-01   -1.99270221e-04   -1.99270221e-04   -3.97086211e-05   -3.97086211e-05
48       6.63558000e-02    1.90294647e-01    1.90294647e-01   -1.90294647e-04   -1.90294647e-04   -3.62120526e-05   -3.62120526e-05
49       6.81990000e-02    1.81723352e-01    1.81723352e-01   -1.81723352e-04   -1.81723352e-04   -3.30233767e-05   -3.30233767e-05
50       7.00422000e-02    1.73538128e-01    1.73538128e-01   -1.73538128e-04   -1.73538128e-04   -3.01154817e-05   -3.01154817e-05
51       7.18854000e-02    1.65721584e-01    1.65721584e-01   -1.65721584e-04   -1.65721584e-04   -2.74636433e-05   -2.74636433e-05
52       7.37286000e-02    1.58257115e-01    1.58257115e-01   -1.58257115e-04   -1.58257115e-04   -2.50453143e-05   -2.50453143e-05
53       7.55718000e-02    1.51128862e-01    1.51128862e-01   -1.51128862e-04   -1.51128862e-04   -2.28399328e-05   -2.28399328e-05
54       7.74150000e-02    1.44321681e-01    1.44321681e-01   -1.44321681e-04   -1.44321681e-04   -2.08287477e-05   -2.08287477e-05
55       7.92582000e-02    1.37821111e-01    1.37821111e-01   -1.37821111e-04   -1.37821111e-04   -1.89946587e-05   -1.89946587e-05
56       8.11014000e-02    1.31613341e-01    1.31613341e-01   -1.31613341e-04   -1.31613341e-04   -1.73220717e-05   -1.73220717e-05
57       8.29446000e-02    1.25685183e-01    1.25685183e-01   -1.25685183e-04   -1.25685183e-04   -1.57967653e-05   -1.57967653e-05
58       8.47878000e-02    1.20024043e-01    1.20024043e-01   -1.20024043e-04   -1.20024043e-04   -1.44057709e-05   -1.44057709e-05
59       8.66310000e-02    1.14617893e-01    1.14617893e-01   -1.14617893e-04   -1.14617893e-04   -1.31372613e-05   -1.31372613e-05
60       8.84742000e-02    1.09455248e-01    1.09455248e-01   -1.09455248e-04   -1.09455248e-04   -1.19804512e-05   -1.19804512e-05
61       9.03174000e-02    1.04525139e-01    1.04525139e-01   -1.04525139e-04   -1.04525139e-04   -1.09255048e-05   -1.09255048e-05
62       9.21606000e-02    9.98170944e-02    9.98170944e-02   -9.98170943e-05   -9.98170943e-05   -9.96345233e-06   -9.96345233e-06
63       9.40038000e-02    9.53211101e-02    9.53211101e-02   -9.53211101e-05   -9.53211101e-05   -9.08611404e-06   -9.08611404e-06
64       9.58470000e-02    9.10276350e-02    9.10276350e-02   -9.10276350e-05   -9.10276350e-05   -8.28603034e-06   -8.28603034e-06
65       9.76902000e-02    8.69275476e-02    8.69275476e-02   -8.69275476e-05   -8.69275476e-05   -7.55639854e-06   -7.55639854e-06
66       9.95334000e-02    8.30121373e-02    8.30121373e-02   -8.30121373e-05   -8.30121373e-05   -6.89101494e-06   -6.89101494e-06
67       1.01376600e-01    7.92730857e-02    7.92730857e-02   -7.92730858e-05   -7.92730858e-05   -6.28422213e-06   -6.28422213e-06
68       1.03219800e-01    7.57024494e-02    7.57024494e-02   -7.57024494e-05   -7.57024494e-05   -5.73086085e-06   -5.73086085e-06
69       1.05063000e-01    7.22926425e-02    7.22926425e-02   -7.22926425e-05   -7.22926425e-05   -5.22622616e-06   -5.22622616e-06
70       1.06906200e-01    6.90364209e-02    6.90364209e-02   -6.90364209e-05   -6.90364209e-05   -4.76602741e-06   -4.76602741e-06
71       1.08749400e-01    6.59268667e-02    6.59268667e-02   -6.59268667e-05   -6.59268667e-05   -4.34635176e-06   -4.34635176e-06
72       1.10592600e-01    6.29573738e-02    6.29573738e-02   -6.29573738e-05   -6.29573738e-05   -3.96363092e-06   -3.96363092e-06
73       1.12435800e-01    6.01216335e-02    6.01216335e-02   -6.01216335e-05   -6.01216335e-05   -3.61461082e-06   -3.61461082e-06
74       1.14279000e-01    5.74136212e-02    5.74136212e-02   -5.74136212e-05   -5.74136212e-05   -3.29632390e-06   -3.29632390e-06
75       1.16122200e-01    5.48275839e-02    5.48275839e-02   -5.48275839e-05   -5.48275839e-05   -3.00606395e-06   -3.00606395e-06
76       1.17965400e-01    5.23580274e-02    5.23580274e-02   -5.23580274e-05   -5.23580274e-05   -2.74136303e-06   -2.74136303e-06
77       1.19808600e-01    4.99997052e-02    4.99997052e-02   -4.99997052e-05   -4.99997052e-05   -2.49997052e-06   -2.49997052e-06
78       1.21651800e-01    4.77476071e-02    4.77476071e-02   -4.77476071e-05   -4.77476071e-05   -2.27983399e-06   -2.27983399e-06
79       1.23495000e-01    4.55969486e-02    4.55969486e-02   -4.55969486e-05   -4.55969486e-05   -2.07908172e-06   -2.07908172e-06
80       1.25338200e-01    4.35431605e-02    4.35431605e-02   -4.35431605e-05   -4.35431605e-05   -1.89600682e-06   -1.89600682e-06
81       1.27181400e-01    4.15818795e-02    4.15818795e-02   -4.15818796e-05   -4.15818796e-05   -1.72905271e-06   -1.72905271e-06
82       1.29024600e-01    3.97089391e-02    3.97089391e-02   -3.97089391e-05   -3.97089391e-05   -1.57679984e-06   -1.57679984e-06
83       1.30867800e-01    3.79203600e-02    3.79203600e-02   -3.79203600e-05   -3.79203600e-05   -1.43795371e-06   -1.43795371e-06
84       1.32711000e-01    3.62123426e-02    3.62123426e-02   -3.62123426e-05   -3.62123426e-05   -1.31133375e-06   -1.31133375e-06
85       1.34554200e-01    3.45812580e-02    3.45812580e-02   -3.45812580e-05   -3.45812580e-05   -1.19586341e-06   -1.19586341e-06
86       1.36397400e-01    3.30236411e-02    3.30236411e-02   -3.30236411e-05   -3.30236411e-05   -1.09056087e-06   -1.09056087e-06
87       1.38240600e-01    3.15361828e-02    3.15361828e-02   -3.15361828e-05   -3.15361828e-05   -9.94530825e-07   -9.94530825e-07
88       1.40083800e-01    3.01157229e-02    3.01157229e-02   -3.01157229e-05   -3.01157229e-05   -9.06956765e-07   -9.06956765e-07
89       1.41927000e-01    2.87592437e-02    2.87592437e-02   -2.87592437e-05   -2.87592437e-05   -8.27094096e-07   -8.27094096e-07
90       1.43770200e-01    2.74638633e-02    2.74638633e-02   -2.74638633e-05   -2.74638633e-05   -7.54263786e-07   -7.54263786e-07
91       1.45613400e-01    2.62268297e-02    2.62268297e-02   -2.62268297e-05   -2.62268297e-05   -6.87846597e-07   -6.87846597e-07
92       1.47456600e-01    2.50455149e-02    2.50455149e-02   -2.50455149e-05   -2.50455149e-05   -6.27277816e-07   -6.27277816e-07
93       1.49299800e-01    2.39174091e-02    2.39174091e-02   -2.39174091e-05   -2.39174091e-05   -5.72042459e-07   -5.72042459e-07
94       1.51143000e-01    2.28401157e-02    2.28401157e-02   -2.28401157e-05   -2.28401157e-05   -5.21670887e-07   -5.21670887e-07
95       1.52986200e-01    2.18113461e-02    2.18113461e-02   -2.18113461e-05   -2.18113461e-05   -4.75734817e-07   -4.75734817e-07
96       1.54829400e-01    2.08289145e-02    2.08289145e-02   -2.08289145e-05   -2.08289145e-05   -4.33843677e-07   -4.33843677e-07
97       1.56672600e-01    1.98907338e-02    1.98907338e-02   -1.98907338e-05   -1.98907338e-05   -3.95641290e-07   -3.95641290e-07
98       1.58515800e-01    1.89948108e-02    1.89948108e-02   -1.89948108e-05   -1.89948108e-05   -3.60802838e-07   -3.60802838e-07
99       1.60359000e-01    1.81392422e-02    1.81392422e-02   -1.81392422e-05   -1.81392422e-05   -3.29032109e-07   -3.29032109e-07
100      1.62202200e-01    1.73222104e-02    1.73222104e-02   -1.73222104e-05   -1.73222104e-05   -3.00058972e-07   -3.00058972e-07
101      1.64045400e-01    1.65419794e-02    1.65419794e-02   -1.65419794e-05   -1.65419794e-05   -2.73637084e-07   -2.73637084e-07
102      1.65888600e-01    1.57968918e-02    1.57968918e-02   -1.57968918e-05   -1.57968918e-05   -2.49541792e-07   -2.49541792e-07
103      1.67731800e-01    1.50853647e-02    1.50853647e-02   -1.50853647e-05   -1.50853647e-05   -2.27568227e-07   -2.27568227e-07
104      1.69575000e-01    1.44058862e-02    1.44058862e-02   -1.44058862e-05   -1.44058862e-05   -2.07529558e-07   -2.07529558e-07
105      1.71418200e-01    1.37570130e-02    1.37570130e-02   -1.37570130e-05   -1.37570130e-05   -1.89255408e-07   -1.89255408e-07
106      1.73261400e-01    1.31373665e-02    1.31373665e-02   -1.31373665e-05   -1.31373665e-05   -1.72590399e-07   -1.72590399e-07
107      1.75104600e-01    1.25456303e-02    1.25456303e-02   -1.25456303e-05   -1.25456303e-05   -1.57392839e-07   -1.57392839e-07
108      1.76947800e-01    1.19805472e-02    1.19805472e-02   -1.19805471e-05   -1.19805471e-05   -1.43533510e-07   -1.43533510e-07
109      1.78791000e-01    1.14409166e-02    1.14409166e-02   -1.14409166e-05   -1.14409166e-05   -1.30894573e-07   -1.30894573e-07
110      1.80634200e-01    1.09255923e-02    1.09255923e-02   -1.09255923e-05   -1.09255923e-05   -1.19368566e-07   -1.19368566e-07
111      1.82477400e-01    1.04334793e-02    1.04334793e-02   -1.04334793e-05   -1.04334793e-05   -1.08857489e-07   -1.08857489e-07
112      1.84320600e-01    9.96353211e-03    9.96353211e-03   -9.96353210e-06   -9.96353210e-06   -9.92719721e-08   -9.92719721e-08
113      1.86163800e-01    9.51475244e-03    9.51475244e-03   -9.51475245e-06   -9.51475245e-06   -9.05305140e-08   -9.05305140e-08
114      1.88007000e-01    9.08618680e-03    9.08618680e-03   -9.08618679e-06   -9.08618679e-06   -8.25587904e-08   -8.25587904e-08
115      1.89850200e-01    8.67692471e-03    8.67692471e-03   -8.67692472e-06   -8.67692472e-06   -7.52890225e-08   -7.52890225e-08
116      1.91693400e-01    8.28609669e-03    8.28609669e-03   -8.28609669e-06   -8.28609669e-06   -6.86593984e-08   -6.86593984e-08
