Index        V(1)             V(2)             V(3)
 99     0.00000000e+00   0.00000000e+00   1.57079633e+00   
100     1.00000000e-02   1.00001667e-02   1.56079616e+00   
101     2.00000000e-02   2.00013336e-02   1.55079499e+00   
102     3.00000000e-02   3.00045018e-02   1.54079182e+00   
103     4.00000000e-02   4.00106744e-02   1.53078565e+00   
104     5.00000000e-02   5.00208568e-02   1.52077547e+00   
105     6.00000000e-02   6.00360584e-02   1.51076027e+00   
106     7.00000000e-02   7.00572931e-02   1.50073903e+00   
107     8.00000000e-02   8.00855800e-02   1.49071075e+00   
108     9.00000000e-02   9.01219450e-02   1.48067438e+00   
109     1.00000000e-01   1.00167421e-01   1.47062891e+00   
110     1.10000000e-01   1.10223050e-01   1.46057328e+00   
111     1.20000000e-01   1.20289882e-01   1.45050644e+00   
112     1.30000000e-01   1.30368980e-01   1.44042735e+00   
113     1.40000000e-01   1.40461415e-01   1.43033491e+00   
114     1.50000000e-01   1.50568273e-01   1.42022805e+00   
115     1.60000000e-01   1.60690653e-01   1.41010567e+00   
116     1.70000000e-01   1.70829669e-01   1.39996666e+00   
117     1.80000000e-01   1.80986451e-01   1.38980988e+00   
118     1.90000000e-01   1.91162147e-01   1.37963418e+00   
119     2.00000000e-01   2.01357921e-01   1.36943841e+00   
120     2.10000000e-01   2.11574960e-01   1.35922137e+00   
121     2.20000000e-01   2.21814470e-01   1.34898186e+00   
122     2.30000000e-01   2.32077683e-01   1.33871864e+00   
123     2.40000000e-01   2.42365851e-01   1.32843048e+00   
124     2.50000000e-01   2.52680255e-01   1.31811607e+00   
125     2.60000000e-01   2.63022203e-01   1.30777412e+00   
126     2.70000000e-01   2.73393031e-01   1.29740330e+00   
127     2.80000000e-01   2.83794109e-01   1.28700222e+00   
128     2.90000000e-01   2.94226838e-01   1.27656949e+00   
129     3.00000000e-01   3.04692654e-01   1.26610367e+00   
130     3.10000000e-01   3.15193032e-01   1.25560329e+00   
131     3.20000000e-01   3.25729487e-01   1.24506684e+00   
132     3.30000000e-01   3.36303575e-01   1.23449275e+00   
133     3.40000000e-01   3.46916898e-01   1.22387943e+00   
134     3.50000000e-01   3.57571104e-01   1.21322522e+00   
135     3.60000000e-01   3.68267893e-01   1.20252843e+00   
136     3.70000000e-01   3.79009021e-01   1.19178731e+00   
137     3.80000000e-01   3.89796296e-01   1.18100003e+00   
138     3.90000000e-01   4.00631593e-01   1.17016473e+00   
139     4.00000000e-01   4.11516846e-01   1.15927948e+00   
140     4.10000000e-01   4.22454062e-01   1.14834226e+00   
141     4.20000000e-01   4.33445320e-01   1.13735101e+00   
142     4.30000000e-01   4.44492777e-01   1.12630355e+00   
143     4.40000000e-01   4.55598673e-01   1.11519765e+00   
144     4.50000000e-01   4.66765339e-01   1.10403099e+00   
145     4.60000000e-01   4.77995199e-01   1.09280113e+00   
146     4.70000000e-01   4.89290778e-01   1.08150555e+00   
147     4.80000000e-01   5.00654712e-01   1.07014161e+00   
148     4.90000000e-01   5.12089753e-01   1.05870657e+00   
149     5.00000000e-01   5.23598776e-01   1.04719755e+00   
150     5.10000000e-01   5.35184790e-01   1.03561154e+00   
151     5.20000000e-01   5.46850951e-01   1.02394538e+00   
152     5.30000000e-01   5.58600565e-01   1.01219576e+00   
153     5.40000000e-01   5.70437109e-01   1.00035922e+00   
154     5.50000000e-01   5.82364238e-01   9.88432089e-01   
155     5.60000000e-01   5.94385800e-01   9.76410527e-01   
156     5.70000000e-01   6.06505855e-01   9.64290472e-01   
157     5.80000000e-01   6.18728691e-01   9.52067636e-01   
158     5.90000000e-01   6.31058841e-01   9.39737486e-01   
159     6.00000000e-01   6.43501109e-01   9.27295218e-01   
160     6.10000000e-01   6.56060591e-01   9.14735736e-01   
161     6.20000000e-01   6.68742703e-01   9.02053624e-01   
162     6.30000000e-01   6.81553212e-01   8.89243115e-01   
163     6.40000000e-01   6.94498266e-01   8.76298061e-01   
164     6.50000000e-01   7.07584437e-01   8.63211890e-01   
165     6.60000000e-01   7.20818761e-01   8.49977566e-01   
166     6.70000000e-01   7.34208787e-01   8.36587539e-01   
167     6.80000000e-01   7.47762635e-01   8.23033692e-01   
168     6.90000000e-01   7.61489053e-01   8.09307274e-01   
169     7.00000000e-01   7.75397497e-01   7.95398830e-01   
170     7.10000000e-01   7.89498209e-01   7.81298117e-01   
171     7.20000000e-01   8.03802319e-01   7.66994008e-01   
172     7.30000000e-01   8.18321951e-01   7.52474376e-01   
173     7.40000000e-01   8.33070358e-01   7.37725968e-01   
174     7.50000000e-01   8.48062079e-01   7.22734248e-01   
175     7.60000000e-01   8.63313115e-01   7.07483212e-01   
176     7.70000000e-01   8.78841152e-01   6.91955175e-01   
177     7.80000000e-01   8.94665817e-01   6.76130510e-01   
178     7.90000000e-01   9.10808997e-01   6.59987329e-01   
179     8.00000000e-01   9.27295218e-01   6.43501109e-01   
180     8.10000000e-01   9.44152115e-01   6.26644212e-01   
181     8.20000000e-01   9.61411019e-01   6.09385308e-01   
182     8.30000000e-01   9.79107684e-01   5.91688642e-01   
183     8.40000000e-01   9.97283222e-01   5.73513104e-01   
184     8.50000000e-01   1.01598529e+00   5.54811033e-01   
185     8.60000000e-01   1.03526967e+00   5.35526654e-01   
186     8.70000000e-01   1.05520232e+00   5.15594006e-01   
187     8.80000000e-01   1.07586220e+00   4.94934126e-01   
188     8.90000000e-01   1.09734517e+00   4.73451157e-01   
189     9.00000000e-01   1.11976951e+00   4.51026812e-01   
190     9.10000000e-01   1.14328406e+00   4.27512265e-01   
191     9.20000000e-01   1.16808049e+00   4.02715842e-01   
192     9.30000000e-01   1.19441284e+00   3.76383482e-01   
193     9.40000000e-01   1.22263031e+00   3.48166021e-01   
194     9.50000000e-01   1.25323590e+00   3.17560429e-01   
195     9.60000000e-01   1.28700222e+00   2.83794109e-01   
196     9.70000000e-01   1.32523081e+00   2.45565518e-01   
197     9.80000000e-01   1.37046148e+00   2.00334842e-01   
198     9.90000000e-01   1.42925685e+00   1.41539473e-01   
End of Xyce(TM) Simulation
