Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
102      2.00000000e-03    0.00000000e+00    1.67827326e-12
103      3.00000000e-03    0.00000000e+00    2.51883461e-12
104      4.00000000e-03    0.00000000e+00    3.36084587e-12
105      5.00000000e-03    0.00000000e+00    4.20465285e-12
106      6.00000000e-03    0.00000000e+00    5.05064074e-12
107      7.00000000e-03    0.00000000e+00    5.89926611e-12
108      8.00000000e-03    0.00000000e+00    6.75107819e-12
109      9.00000000e-03    0.00000000e+00    7.60673159e-12
110      1.00000000e-02    0.00000000e+00    8.46699193e-12
111      1.10000000e-02    0.00000000e+00    9.33273539e-12
112      1.20000000e-02    0.00000000e+00    1.02049436e-11
113      1.30000000e-02    0.00000000e+00    1.10846954e-11
114      1.40000000e-02    0.00000000e+00    1.19731567e-11
115      1.50000000e-02    0.00000000e+00    1.28715697e-11
116      1.60000000e-02    0.00000000e+00    1.37812436e-11
117      1.70000000e-02    0.00000000e+00    1.47035455e-11
118      1.80000000e-02    0.00000000e+00    1.56398938e-11
119      1.90000000e-02    0.00000000e+00    1.65917525e-11
120      2.00000000e-02    0.00000000e+00    1.75606277e-11
121      2.10000000e-02    0.00000000e+00    1.85480644e-11
122      2.20000000e-02    0.00000000e+00    1.95556442e-11
123      2.30000000e-02    0.00000000e+00    2.05849842e-11
124      2.40000000e-02    0.00000000e+00    2.16377354e-11
125      2.50000000e-02    0.00000000e+00    2.27155820e-11
126      2.60000000e-02    0.00000000e+00    2.38202410e-11
127      2.70000000e-02    0.00000000e+00    2.49534617e-11
128      2.80000000e-02    0.00000000e+00    2.61170260e-11
129      2.90000000e-02    0.00000000e+00    2.73127487e-11
130      3.00000000e-02    0.00000000e+00    2.85424787e-11
131      3.10000000e-02    0.00000000e+00    2.98080997e-11
132      3.20000000e-02    0.00000000e+00    3.11115321e-11
133      3.30000000e-02    0.00000000e+00    3.24547344e-11
134      3.40000000e-02    0.00000000e+00    3.38397061e-11
135      3.50000000e-02    0.00000000e+00    3.52684892e-11
136      3.60000000e-02    0.00000000e+00    3.67431717e-11
137      3.70000000e-02    0.00000000e+00    3.82658897e-11
138      3.80000000e-02    0.00000000e+00    3.98388311e-11
139      3.90000000e-02    0.00000000e+00    4.14642386e-11
140      4.00000000e-02    0.00000000e+00    4.31444126e-11
141      4.10000000e-02    0.00000000e+00    4.48817156e-11
142      4.20000000e-02    0.00000000e+00    4.66785748e-11
143      4.30000000e-02    0.00000000e+00    4.85374866e-11
144      4.40000000e-02    0.00000000e+00    5.04610198e-11
145      4.50000000e-02    0.00000000e+00    5.24518199e-11
146      4.60000000e-02    0.00000000e+00    5.45126127e-11
147      4.70000000e-02    0.00000000e+00    5.66462088e-11
148      4.80000000e-02    0.00000000e+00    5.88555072e-11
149      4.90000000e-02    0.00000000e+00    6.11434999e-11
150      5.00000000e-02    0.00000000e+00    6.35132761e-11
151      5.10000000e-02    0.00000000e+00    6.59680268e-11
152      5.20000000e-02    0.00000000e+00    6.85110489e-11
153      5.30000000e-02    0.00000000e+00    7.11457504e-11
154      5.40000000e-02    0.00000000e+00    7.38756546e-11
155      5.50000000e-02    0.00000000e+00    7.67044053e-11
156      5.60000000e-02    0.00000000e+00    7.96357719e-11
157      5.70000000e-02    0.00000000e+00    8.26736541e-11
158      5.80000000e-02    0.00000000e+00    8.58220877e-11
159      5.90000000e-02    0.00000000e+00    8.90852497e-11
160      6.00000000e-02    0.00000000e+00    9.24674640e-11
161      6.10000000e-02    0.00000000e+00    9.59732071e-11
162      6.20000000e-02    0.00000000e+00    9.96071143e-11
163      6.30000000e-02    0.00000000e+00    1.03373985e-10
164      6.40000000e-02    0.00000000e+00    1.07278791e-10
165      6.50000000e-02    0.00000000e+00    1.11326681e-10
166      6.60000000e-02    0.00000000e+00    1.15522987e-10
167      6.70000000e-02    0.00000000e+00    1.19873234e-10
168      6.80000000e-02    0.00000000e+00    1.24383144e-10
169      6.90000000e-02    0.00000000e+00    1.29058647e-10
170      7.00000000e-02    0.00000000e+00    1.33905884e-10
171      7.10000000e-02    0.00000000e+00    1.38931220e-10
172      7.20000000e-02    0.00000000e+00    1.44141247e-10
173      7.30000000e-02    0.00000000e+00    1.49542800e-10
174      7.40000000e-02    0.00000000e+00    1.55142955e-10
175      7.50000000e-02    0.00000000e+00    1.60949050e-10
176      7.60000000e-02    0.00000000e+00    1.66968684e-10
177      7.70000000e-02    0.00000000e+00    1.73209736e-10
178      7.80000000e-02    0.00000000e+00    1.79680365e-10
179      7.90000000e-02    0.00000000e+00    1.86389031e-10
180      8.00000000e-02    0.00000000e+00    1.93344499e-10
181      8.10000000e-02    0.00000000e+00    2.00555850e-10
182      8.20000000e-02    0.00000000e+00    2.08032498e-10
183      8.30000000e-02    0.00000000e+00    2.15784195e-10
184      8.40000000e-02    0.00000000e+00    2.23821051e-10
185      8.50000000e-02    0.00000000e+00    2.32153540e-10
186      8.60000000e-02    0.00000000e+00    2.40792517e-10
187      8.70000000e-02    0.00000000e+00    2.49749231e-10
188      8.80000000e-02    0.00000000e+00    2.59035339e-10
189      8.90000000e-02    0.00000000e+00    2.68662923e-10
190      9.00000000e-02    0.00000000e+00    2.78644500e-10
191      9.10000000e-02    0.00000000e+00    2.88993045e-10
192      9.20000000e-02    0.00000000e+00    2.99722001e-10
193      9.30000000e-02    0.00000000e+00    3.10845301e-10
194      9.40000000e-02    0.00000000e+00    3.22377382e-10
195      9.50000000e-02    0.00000000e+00    3.34333204e-10
196      9.60000000e-02    0.00000000e+00    3.46728272e-10
197      9.70000000e-02    0.00000000e+00    3.59578652e-10
198      9.80000000e-02    0.00000000e+00    3.72900991e-10
199      9.90000000e-02    0.00000000e+00    3.86712542e-10
200      1.00000000e-01    0.00000000e+00    4.01031182e-10
201     -1.00000000e-01   -2.00000000e-01   -3.10041176e-07
202     -9.90000000e-02   -2.00000000e-01   -3.00054952e-07
203     -9.80000000e-02   -2.00000000e-01   -2.90366634e-07
204     -9.70000000e-02   -2.00000000e-01   -2.80968409e-07
205     -9.60000000e-02   -2.00000000e-01   -2.71852619e-07
206     -9.50000000e-02   -2.00000000e-01   -2.63011757e-07
207     -9.40000000e-02   -2.00000000e-01   -2.54438468e-07
208     -9.30000000e-02   -2.00000000e-01   -2.46125551e-07
209     -9.20000000e-02   -2.00000000e-01   -2.38065950e-07
210     -9.10000000e-02   -2.00000000e-01   -2.30252761e-07
211     -9.00000000e-02   -2.00000000e-01   -2.22679227e-07
212     -8.90000000e-02   -2.00000000e-01   -2.15338735e-07
213     -8.80000000e-02   -2.00000000e-01   -2.08224820e-07
214     -8.70000000e-02   -2.00000000e-01   -2.01331158e-07
215     -8.60000000e-02   -2.00000000e-01   -1.94651565e-07
216     -8.50000000e-02   -2.00000000e-01   -1.88180001e-07
217     -8.40000000e-02   -2.00000000e-01   -1.81910562e-07
218     -8.30000000e-02   -2.00000000e-01   -1.75837480e-07
219     -8.20000000e-02   -2.00000000e-01   -1.69955121e-07
220     -8.10000000e-02   -2.00000000e-01   -1.64257988e-07
221     -8.00000000e-02   -2.00000000e-01   -1.58740710e-07
222     -7.90000000e-02   -2.00000000e-01   -1.53398047e-07
223     -7.80000000e-02   -2.00000000e-01   -1.48224887e-07
224     -7.70000000e-02   -2.00000000e-01   -1.43216240e-07
225     -7.60000000e-02   -2.00000000e-01   -1.38367243e-07
226     -7.50000000e-02   -2.00000000e-01   -1.33673151e-07
227     -7.40000000e-02   -2.00000000e-01   -1.29129337e-07
228     -7.30000000e-02   -2.00000000e-01   -1.24731294e-07
229     -7.20000000e-02   -2.00000000e-01   -1.20474625e-07
