Index        TIME             R1:R            R1:TEMP           I(R1)            R2:R            R2:TEMP           I(R2)           R3:TEMP          R4:TEMP          R5:TEMP
61      4.05051461e-03   2.41368867e-04   1.31472967e+02   2.07151820e+04   3.84964315e-04   5.99790894e+01   1.29882168e+04   2.72363380e+01   2.79456050e+01   2.72363380e+01   
62      4.19546451e-03   2.43236077e-04   1.34222111e+02   2.05561612e+04   3.86380725e-04   6.10297552e+01   1.29406041e+04   2.72447775e+01   2.79793818e+01   2.72447775e+01   
63      4.35775336e-03   2.45160478e-04   1.37255372e+02   2.03948044e+04   3.87851657e-04   6.21979636e+01   1.28915267e+04   2.72542251e+01   2.80171942e+01   2.72542251e+01   
64      4.54433312e-03   2.47283761e-04   1.40687189e+02   2.02196860e+04   3.89487149e-04   6.35307365e+01   1.28373940e+04   2.72650851e+01   2.80606602e+01   2.72650851e+01   
65      4.75241904e-03   2.49686032e-04   1.44446367e+02   2.00251490e+04   3.91353031e-04   6.50042007e+01   1.27761883e+04   2.72771945e+01   2.81091284e+01   2.72771945e+01   
66      4.96716847e-03   2.52317457e-04   1.48250961e+02   1.98163063e+04   3.93415881e-04   6.65102977e+01   1.27091972e+04   2.72896892e+01   2.81591396e+01   2.72896892e+01   
67      5.17106940e-03   2.54980673e-04   1.51793405e+02   1.96093294e+04   3.95524417e-04   6.79263930e+01   1.26414446e+04   2.73015500e+01   2.82066156e+01   2.73015500e+01   
68      5.35734792e-03   2.57460383e-04   1.54971841e+02   1.94204636e+04   3.97506950e-04   6.92083141e+01   1.25783964e+04   2.73123836e+01   2.82499807e+01   2.73123836e+01   
69      5.53206233e-03   2.59685289e-04   1.57905511e+02   1.92540749e+04   3.99301640e-04   7.04007769e+01   1.25218619e+04   2.73225427e+01   2.82906472e+01   2.73225427e+01   
70      5.70798912e-03   2.61738858e-04   1.60816446e+02   1.91030099e+04   4.00971088e-04   7.15923729e+01   1.24697270e+04   2.73327706e+01   2.83315896e+01   2.73327706e+01   
71      5.89932437e-03   2.63776512e-04   1.63936838e+02   1.89554406e+04   4.02639322e-04   7.28785124e+01   1.24180618e+04   2.73438922e+01   2.83761112e+01   2.73438922e+01   
72      6.11762872e-03   2.65960787e-04   1.67442647e+02   1.87997639e+04   4.04439917e-04   7.43339833e+01   1.23627757e+04   2.73565791e+01   2.84268997e+01   2.73565791e+01   
73      6.36581985e-03   2.68414853e-04   1.71360597e+02   1.86278812e+04   4.06477577e-04   7.59735362e+01   1.23008015e+04   2.73709996e+01   2.84846305e+01   2.73709996e+01   
74      6.63208726e-03   2.71157418e-04   1.75484768e+02   1.84394734e+04   4.08772951e-04   7.77144257e+01   1.22317291e+04   2.73864666e+01   2.85465526e+01   2.73864666e+01   
75      6.89430826e-03   2.74044338e-04   1.79466591e+02   1.82452228e+04   4.11210196e-04   7.94102577e+01   1.21592316e+04   2.74016945e+01   2.86075196e+01   2.74016945e+01   
76      7.13678423e-03   2.76831613e-04   1.83079495e+02   1.80615210e+04   4.13584361e-04   8.09619077e+01   1.20894320e+04   2.74157720e+01   2.86638830e+01   2.74157720e+01   
77      7.36028036e-03   2.79360646e-04   1.86353357e+02   1.78980113e+04   4.15756671e-04   8.23784070e+01   1.20262652e+04   2.74287444e+01   2.87158237e+01   2.74287444e+01   
78      7.57762769e-03   2.81652350e-04   1.89488777e+02   1.77523816e+04   4.17739770e-04   8.37439443e+01   1.19691740e+04   2.74413572e+01   2.87663256e+01   2.74413572e+01   
79      7.80607461e-03   2.83847144e-04   1.92736705e+02   1.76151147e+04   4.19651522e-04   8.51672226e+01   1.19146476e+04   2.74546111e+01   2.88193965e+01   2.74546111e+01   
80      8.06200462e-03   2.86120694e-04   1.96321330e+02   1.74751429e+04   4.21644112e-04   8.67478999e+01   1.18583418e+04   2.74694562e+01   2.88788404e+01   2.74694562e+01   
81      8.35493858e-03   2.88629931e-04   2.00357562e+02   1.73232207e+04   4.23857060e-04   8.85397853e+01   1.17964297e+04   2.74864433e+01   2.89468639e+01   2.74864433e+01   
82      8.67912256e-03   2.91455294e-04   2.04743422e+02   1.71552897e+04   4.26365699e-04   9.05014116e+01   1.17270221e+04   2.75052371e+01   2.90221251e+01   2.75052371e+01   
83      9.01138475e-03   2.94525396e-04   2.09150948e+02   1.69764648e+04   4.29111976e-04   9.24882959e+01   1.16519703e+04   2.75244929e+01   2.90992400e+01   2.75244929e+01   
84      9.32634236e-03   2.97610663e-04   2.13247879e+02   1.68004733e+04   4.31893614e-04   9.43494208e+01   1.15769250e+04   2.75427398e+01   2.91723177e+01   2.75427398e+01   
