Index       TIME            {V(4)+1}         {V(11)-0.5}   
105      1.03876933e-03    1.00000000e+00   -5.01883243e-01
106      1.04215026e-03    1.00000000e+00   -4.99480173e-01
107      1.04891213e-03    1.00000000e+00   -5.02160312e-01
108      1.05567399e-03    1.00000000e+00   -4.99403076e-01
109      1.06919771e-03    1.00000000e+00   -5.02188208e-01
110      1.09624517e-03    1.00000000e+00   -4.99400126e-01
111      1.12329262e-03    1.00000000e+00   -5.02186513e-01
112      1.17738752e-03    1.00000000e+00   -4.99402767e-01
113      1.28557733e-03    1.00000000e+00   -5.02184709e-01
114      1.39376713e-03    1.00000000e+00   -4.99404187e-01
115      1.59376713e-03    1.00000000e+00   -5.02183544e-01
116      1.79376713e-03    1.00000000e+00   -4.99405068e-01
117      1.99376713e-03    1.00000000e+00   -5.02182634e-01
118      2.00000000e-03    1.00000000e+00   -4.99429234e-01
119      2.00000006e-03    1.23441591e+00   -4.99429887e-01
120      2.00000011e-03    1.44539024e+00   -4.99430475e-01
121      2.00000016e-03    1.65636456e+00   -4.99431062e-01
122      2.00000027e-03    2.07831321e+00   -4.99432238e-01
123      2.00000048e-03    2.92221050e+00   -4.99434586e-01
124      2.00000090e-03    4.61000508e+00   -4.99439276e-01
125      2.00000100e-03    5.00000000e+00   -4.99440359e-01
126      2.00000108e-03    5.00000000e+00   -4.99441295e-01
127      2.00000125e-03    5.00000000e+00   -4.99443167e-01
128      2.00000159e-03    5.00000000e+00   -4.99446907e-01
129      2.00000227e-03    5.00000000e+00   -4.99454371e-01
130      2.00000362e-03    5.00000000e+00   -4.99469230e-01
131      2.00000632e-03    5.00000000e+00   -4.99498678e-01
132      2.00001172e-03    5.00000000e+00   -4.99556470e-01
133      2.00002252e-03    5.00000000e+00   -4.99667559e-01
134      2.00004412e-03    5.00000000e+00   -4.99871659e-01
135      2.00008733e-03    5.00000000e+00   -5.00214799e-01
136      2.00017375e-03    5.00000000e+00   -5.00808512e-01
137      2.00034658e-03    5.00000000e+00   -5.03284640e-01
138      2.00069224e-03    5.00000000e+00   -5.15814652e-01
139      2.00103790e-03    5.00000000e+00   -5.31226107e-01
140      2.00172922e-03    5.00000000e+00   -5.48056437e-01
141      2.00242054e-03    5.00000000e+00   -5.55896548e-01
142      2.00380318e-03    5.00000000e+00   -5.73308671e-01
143      2.00656846e-03    5.00000000e+00   -6.12490051e-01
144      2.00696680e-03    5.00000000e+00   -6.18791029e-01
