Index       TIME             V(GATE)           V(OUT)      
108      3.83254989e-10    5.02350317e-01    2.29070124e-01
109      3.83927082e-10    4.82187541e-01    3.70044694e-01
110      3.84599175e-10    4.62024764e-01    5.14386895e-01
111      3.85271267e-10    4.41861987e-01    6.62416836e-01
112      3.85943360e-10    4.21699211e-01    8.12860497e-01
113      3.86637022e-10    4.00889348e-01    9.62657886e-01
114      3.86924223e-10    3.92273322e-01    1.01835865e+00
115      3.87211424e-10    3.83657295e-01    1.06754268e+00
116      3.87498624e-10    3.75041268e-01    1.10787379e+00
117      3.87785825e-10    3.66425241e-01    1.13944028e+00
118      3.88073026e-10    3.57809214e-01    1.16382313e+00
119      3.88360227e-10    3.49193187e-01    1.18292179e+00
120      3.88934629e-10    3.31961134e-01    1.21098474e+00
121      3.90083432e-10    2.97497026e-01    1.24654962e+00
122      3.92381040e-10    2.28568812e-01    1.28726207e+00
123      3.94678647e-10    1.59640597e-01    1.31291918e+00
124      3.99273861e-10    2.17841682e-02    1.34689134e+00
125      4.00000000e-10    6.66133815e-16    1.35097938e+00
126      4.00284581e-10    0.00000000e+00    1.35627989e+00
127      4.00540148e-10    0.00000000e+00    1.36086086e+00
128      4.00795714e-10    0.00000000e+00    1.36534276e+00
129      4.01306848e-10    0.00000000e+00    1.37381871e+00
130      4.02329114e-10    0.00000000e+00    1.38902858e+00
131      4.04373647e-10    0.00000000e+00    1.41378852e+00
132      4.06418180e-10    0.00000000e+00    1.43265787e+00
133      4.08462714e-10    0.00000000e+00    1.44719325e+00
134      4.10507247e-10    0.00000000e+00    1.45847386e+00
135      4.14596313e-10    0.00000000e+00    1.47435062e+00
136      4.22774446e-10    0.00000000e+00    1.49066515e+00
137      4.30952578e-10    0.00000000e+00    1.49656674e+00
138      4.39130711e-10    0.00000000e+00    1.49873254e+00
139      4.47308844e-10    0.00000000e+00    1.49953142e+00
140      4.63665109e-10    0.00000000e+00    1.49998040e+00
141      4.80021374e-10    0.00000000e+00    1.49999911e+00
142      5.12733905e-10    0.00000000e+00    1.50000016e+00
143      5.62733905e-10    0.00000000e+00    1.49999981e+00
144      6.00000000e-10    0.00000000e+00    1.49999996e+00
End of Xyce(TM) Simulation
