 TITLE = " Xyce homotopy data, homotopy-step-tecplot.cir", 
	VARIABLES = " Vtest:DCV0" 
" IVAR" 
" I(VTEST)" 
DATASETAUXDATA TIME= " 12:03:40 PM Oct 09, 2017 " 
ZONE F=POINT T= "  IVAR = 1.00e+00 A = 3.00e+00" 
    1.62408141e+00   1.50000000e+00    1.06139329e+00
    1.57004495e+00   1.50000000e+00    1.15147433e+00
    1.49473317e+00   1.50000000e+00    1.21954443e+00
    1.41188651e+00   1.50000000e+00    1.27754379e+00
    1.32544990e+00   1.50000000e+00    1.32989142e+00
    1.23705110e+00   1.50000000e+00    1.37880419e+00
    1.14753224e+00   1.50000000e+00    1.42561680e+00
    1.05741411e+00   1.50000000e+00    1.47125735e+00
    9.67080182e-01   1.50000000e+00    1.51646661e+00
    8.76869287e-01   1.50000000e+00    1.56192148e+00
    7.87145316e-01   1.50000000e+00    1.60833433e+00
    6.98380451e-01   1.50000000e+00    1.65656668e+00
    6.11303946e-01   1.50000000e+00    1.70780930e+00
    5.27260963e-01   1.50000000e+00    1.76395503e+00
    4.49321574e-01   1.50000000e+00    1.82852522e+00
    3.87058298e-01   1.50000000e+00    1.90939603e+00
    3.81487431e-01   1.50000000e+00    2.01921717e+00
    4.48547918e-01   1.50000000e+00    2.10044102e+00
    5.33913394e-01   1.50000000e+00    2.15547178e+00
    6.25448642e-01   1.50000000e+00    2.19852070e+00
    7.19878500e-01   1.50000000e+00    2.23453913e+00
    8.15936951e-01   1.50000000e+00    2.26586941e+00
    9.13022483e-01   1.50000000e+00    2.29381592e+00
    1.01080781e+00   1.50000000e+00    2.31918524e+00
    1.10909715e+00   1.50000000e+00    2.34251409e+00
    1.20776491e+00   1.50000000e+00    2.36417951e+00
    1.30672615e+00   1.50000000e+00    2.38445760e+00
    1.40592094e+00   1.50000000e+00    2.40355733e+00
    1.50530554e+00   1.50000000e+00    2.42164113e+00
    1.60484715e+00   1.50000000e+00    2.43883807e+00
    1.70452056e+00   1.50000000e+00    2.45525263e+00
    1.80430600e+00   1.50000000e+00    2.47097088e+00
    1.90418778e+00   1.50000000e+00    2.48606412e+00
    2.00003721e+00   1.50000000e+00    2.50000540e+00
    2.00000000e+00   1.50000000e+00    2.50000000e+00
DATASETAUXDATA TIME= " 12:03:40 PM Oct 09, 2017 " 
