Index    Vtest:DCV0          IVAR            I(VTEST)     
0        0.00000000e+00    1.00000000e+00    0.00000000e+00
1        9.99963150e-03    1.00000000e+00    1.43115092e-03
2        2.07495160e-02    1.00000000e+00    2.97558916e-03
3        3.23058626e-02    1.00000000e+00    4.64279460e-03
4        4.48677335e-02    1.00000000e+00    6.46326972e-03
5        5.85224863e-02    1.00000000e+00    8.45194181e-03
6        7.33650391e-02    1.00000000e+00    1.06253607e-02
7        8.94985164e-02    1.00000000e+00    1.30019099e-02
8        1.07034950e-01    1.00000000e+00    1.56020532e-02
9        1.26096038e-01    1.00000000e+00    1.84486236e-02
10       1.46813960e-01    1.00000000e+00    2.15671638e-02
11       1.69332265e-01    1.00000000e+00    2.49863308e-02
12       1.93806821e-01    1.00000000e+00    2.87383806e-02
13       2.20406838e-01    1.00000000e+00    3.28597516e-02
14       2.49315967e-01    1.00000000e+00    3.73917753e-02
15       2.80733471e-01    1.00000000e+00    4.23815496e-02
16       3.14875471e-01    1.00000000e+00    4.78830221e-02
17       3.51976255e-01    1.00000000e+00    5.39583527e-02
18       3.92289651e-01    1.00000000e+00    6.06796516e-02
19       4.35607080e-01    1.00000000e+00    6.80480960e-02
20       4.82148307e-01    1.00000000e+00    7.61434821e-02
21       5.32147848e-01    1.00000000e+00    8.50597110e-02
22       5.85855425e-01    1.00000000e+00    9.49084693e-02
23       6.43536133e-01    1.00000000e+00    1.05824255e-01
24       7.05470128e-01    1.00000000e+00    1.17971415e-01
25       7.71951457e-01    1.00000000e+00    1.31554282e-01
26       8.43285363e-01    1.00000000e+00    1.46832254e-01
27       9.19782788e-01    1.00000000e+00    1.64143147e-01
28       1.00174941e+00    1.00000000e+00    1.83941123e-01
29       1.08946336e+00    1.00000000e+00    2.06862080e-01
30       1.18312716e+00    1.00000000e+00    2.33845347e-01
31       1.27919345e+00    1.00000000e+00    2.65136161e-01
32       1.37363243e+00    1.00000000e+00    3.01095430e-01
33       1.46517016e+00    1.00000000e+00    3.44038121e-01
34       1.55046119e+00    1.00000000e+00    3.98765566e-01
35       1.61699237e+00    1.00000000e+00    4.77346351e-01
36       1.61311425e+00    1.00000000e+00    5.90251521e-01
37       1.55020415e+00    1.00000000e+00    6.71935254e-01
38       1.47210788e+00    1.00000000e+00    7.36504310e-01
39       1.38801117e+00    1.00000000e+00    7.92615526e-01
40       1.30091022e+00    1.00000000e+00    8.43831831e-01
41       1.21213254e+00    1.00000000e+00    8.92046610e-01
42       1.12240202e+00    1.00000000e+00    9.38449365e-01
43       1.03218832e+00    1.00000000e+00    9.83899589e-01
44       9.41854836e-01    1.00000000e+00    1.02910958e+00
45       8.51740513e-01    1.00000000e+00    1.07475637e+00
46       7.62229503e-01    1.00000000e+00    1.12158075e+00
47       6.73846020e-01    1.00000000e+00    1.17051347e+00
48       5.87439292e-01    1.00000000e+00    1.22289013e+00
49       5.04662537e-01    1.00000000e+00    1.28092368e+00
50       4.29578364e-01    1.00000000e+00    1.34894167e+00
51       3.76358647e-01    1.00000000e+00    1.43700609e+00
52       3.97648852e-01    1.00000000e+00    1.54792750e+00
53       4.72869175e-01    1.00000000e+00    1.61854327e+00
54       5.60662844e-01    1.00000000e+00    1.66920105e+00
55       6.53262450e-01    1.00000000e+00    1.70981443e+00
56       7.48265759e-01    1.00000000e+00    1.74425922e+00
57       8.44675395e-01    1.00000000e+00    1.77447744e+00
58       9.41995238e-01    1.00000000e+00    1.80158964e+00
59       1.03994670e+00    1.00000000e+00    1.82630578e+00
60       1.13835927e+00    1.00000000e+00    1.84910676e+00
61       1.23712169e+00    1.00000000e+00    1.87033495e+00
62       1.33615767e+00    1.00000000e+00    1.89024376e+00
63       1.43541281e+00    1.00000000e+00    1.90902658e+00
64       1.53484707e+00    1.00000000e+00    1.92683483e+00
65       1.63443017e+00    1.00000000e+00    1.94378948e+00
66       1.73413871e+00    1.00000000e+00    1.95998899e+00
67       1.83395423e+00    1.00000000e+00    1.97551478e+00
68       1.93386204e+00    1.00000000e+00    1.99043456e+00
69       2.00001720e+00    1.00000000e+00    2.00000248e+00
70       2.00000000e+00    1.00000000e+00    2.00000000e+00
End of Xyce(TM) Homotopy Simulation
