Index    TIME    {V(DRAIN)}_regr_pce_mean    {V(DRAIN)}_regr_pce_meanPlus    {V(DRAIN)}_regr_pce_meanMinus    {V(DRAIN)}_regr_pce_stddev    {V(DRAIN)}_regr_pce_variance    
37   4.50213200e-07   8.90463700e-01   1.13643000e+00   6.44497100e-01   2.45966500e-01   6.04995400e-02   
38   4.50470600e-07   8.82729200e-01   1.13911700e+00   6.26341000e-01   2.56388300e-01   6.57349400e-02   
39   4.50728000e-07   8.74835200e-01   1.14136800e+00   6.08301900e-01   2.66533300e-01   7.10400000e-02   
40   4.50985500e-07   8.66751300e-01   1.14327500e+00   5.90227200e-01   2.76524100e-01   7.64655700e-02   
41   4.51242900e-07   8.58533300e-01   1.14459100e+00   5.72476100e-01   2.86057200e-01   8.18287400e-02   
42   4.51500300e-07   8.50129600e-01   1.14538400e+00   5.54875000e-01   2.95254600e-01   8.71753000e-02   
43   4.51757800e-07   8.41472500e-01   1.14590300e+00   5.37041500e-01   3.04431000e-01   9.26782200e-02   
44   4.52015200e-07   8.32693200e-01   1.14603700e+00   5.19349600e-01   3.13343600e-01   9.81842400e-02   
45   4.52272600e-07   8.23710600e-01   1.14586600e+00   5.01555500e-01   3.22155100e-01   1.03783900e-01   
46   4.52530000e-07   8.14293200e-01   1.14564200e+00   4.82944300e-01   3.31349000e-01   1.09792100e-01   
47   4.52787500e-07   8.04419100e-01   1.14537500e+00   4.63463100e-01   3.40956000e-01   1.16251000e-01   
48   4.53044900e-07   7.94331800e-01   1.14482000e+00   4.43844100e-01   3.50487800e-01   1.22841700e-01   
49   4.53302300e-07   7.84550500e-01   1.14352600e+00   4.25574500e-01   3.58976000e-01   1.28863800e-01   
50   4.53559700e-07   7.75339400e-01   1.14109400e+00   4.09585200e-01   3.65754200e-01   1.33776100e-01   
51   4.53817200e-07   7.66443800e-01   1.13757600e+00   3.95311900e-01   3.71131900e-01   1.37738900e-01   
52   4.54074600e-07   7.57527200e-01   1.13338300e+00   3.81671600e-01   3.75855600e-01   1.41267400e-01   
53   4.54332000e-07   7.48301700e-01   1.12891100e+00   3.67692600e-01   3.80609100e-01   1.44863300e-01   
54   4.54589500e-07   7.38600200e-01   1.12439200e+00   3.52808500e-01   3.85791700e-01   1.48835300e-01   
55   4.54846900e-07   7.28414000e-01   1.11987000e+00   3.36958200e-01   3.91455800e-01   1.53237700e-01   
56   4.55361700e-07   7.06753600e-01   1.11071000e+00   3.02797600e-01   4.03956000e-01   1.63180400e-01   
57   4.55876600e-07   6.83993000e-01   1.10105400e+00   2.66931700e-01   4.17061300e-01   1.73940100e-01   
58   4.56391400e-07   6.61364700e-01   1.09047500e+00   2.32254200e-01   4.29110500e-01   1.84135900e-01   
59   4.56854800e-07   6.42460900e-01   1.07944400e+00   2.05477700e-01   4.36983100e-01   1.90954300e-01   
60   4.57244200e-07   6.27178700e-01   1.06889500e+00   1.85462000e-01   4.41716700e-01   1.95113700e-01   
61   4.57633600e-07   6.12310100e-01   1.05758000e+00   1.67040100e-01   4.45270000e-01   1.98265400e-01   
62   4.57984000e-07   5.99776700e-01   1.04666800e+00   1.52885000e-01   4.46891700e-01   1.99712200e-01   
63   4.58334500e-07   5.87205600e-01   1.03502800e+00   1.39383200e-01   4.47822400e-01   2.00544900e-01   
64   4.58684900e-07   5.74113500e-01   1.02276000e+00   1.25467400e-01   4.48646100e-01   2.01283400e-01   
65   4.59035400e-07   5.60509200e-01   1.01003800e+00   1.10980000e-01   4.49529200e-01   2.02076500e-01   
66   4.59385800e-07   5.46834100e-01   9.97085200e-01   9.65829800e-02   4.50251100e-01   2.02726100e-01   
67   4.59736300e-07   5.33340800e-01   9.83903600e-01   8.27780000e-02   4.50562800e-01   2.03006800e-01   
68   4.60086700e-07   5.20015400e-01   9.70450900e-01   6.95798200e-02   4.50435600e-01   2.02892200e-01   
69   4.60437200e-07   5.07248600e-01   9.56836000e-01   5.76611700e-02   4.49587400e-01   2.02128800e-01   
70   4.60787600e-07   4.94725600e-01   9.43038600e-01   4.64125200e-02   4.48313100e-01   2.00984600e-01   
71   4.61138100e-07   4.81882900e-01   9.29040800e-01   3.47250900e-02   4.47157800e-01   1.99950100e-01   
72   4.61488500e-07   4.69077500e-01   9.14990100e-01   2.31648500e-02   4.45912600e-01   1.98838100e-01   
73   4.61839000e-07   4.56422100e-01   9.00820400e-01   1.20237800e-02   4.44398300e-01   1.97489900e-01   
74   4.62189400e-07   4.43517100e-01   8.86363300e-01   6.70917100e-04   4.42846200e-01   1.96112700e-01   
75   4.62539900e-07   4.30369600e-01   8.71615600e-01   -1.08763700e-02   4.41246000e-01   1.94698000e-01   
76   4.62890300e-07   4.17259600e-01   8.56614200e-01   -2.20951000e-02   4.39354700e-01   1.93032500e-01   
77   4.63240800e-07   4.04144100e-01   8.41330000e-01   -3.30418200e-02   4.37185900e-01   1.91131500e-01   
78   4.63591200e-07   3.91323600e-01   8.25783100e-01   -4.31358800e-02   4.34459500e-01   1.88755100e-01   
79   4.63941700e-07   3.79238500e-01   8.09962700e-01   -5.14857400e-02   4.30724200e-01   1.85523400e-01   
80   4.64292100e-07   3.67515700e-01   7.93691900e-01   -5.86605100e-02   4.26176200e-01   1.81626100e-01   
81   4.64642600e-07   3.55888300e-01   7.76995200e-01   -6.52185000e-02   4.21106800e-01   1.77331000e-01   
82   4.64993000e-07   3.44422300e-01   7.60072900e-01   -7.12282400e-02   4.15650600e-01   1.72765400e-01   
83   4.65343500e-07   3.32962800e-01   7.43001700e-01   -7.70761900e-02   4.10039000e-01   1.68132000e-01   
84   4.65693900e-07   3.21492600e-01   7.25922800e-01   -8.29376200e-02   4.04430200e-01   1.63563800e-01   
85   4.66044400e-07   3.10495300e-01   7.09169500e-01   -8.81788100e-02   3.98674200e-01   1.58941100e-01   
86   4.66394800e-07   3.00304400e-01   6.92841100e-01   -9.22322400e-02   3.92536600e-01   1.54085000e-01   
87   4.66745300e-07   2.90273800e-01   6.76426300e-01   -9.58787100e-02   3.86152500e-01   1.49113800e-01   
88   4.67095700e-07   2.79724700e-01   6.59470500e-01   -1.00021000e-01   3.79745700e-01   1.44206800e-01   
89   4.67446200e-07   2.68668700e-01   6.41994100e-01   -1.04656600e-01   3.73325400e-01   1.39371800e-01   
90   4.67796600e-07   2.57508900e-01   6.24187900e-01   -1.09170100e-01   3.66679000e-01   1.34453500e-01   
91   4.68147000e-07   2.46401200e-01   6.06033900e-01   -1.13231500e-01   3.59632700e-01   1.29335700e-01   
92   4.68497500e-07   2.35080700e-01   5.87411900e-01   -1.17250600e-01   3.52331200e-01   1.24137300e-01   
93   4.68847900e-07   2.23605800e-01   5.68566600e-01   -1.21355000e-01   3.44960800e-01   1.18998000e-01   
94   4.69198400e-07   2.12263300e-01   5.49761100e-01   -1.25234500e-01   3.37497800e-01   1.13904800e-01   
95   4.69548800e-07   2.01027000e-01   5.30684200e-01   -1.28630300e-01   3.29657200e-01   1.08673900e-01   
96   4.69899300e-07   1.89772100e-01   5.10956100e-01   -1.31411800e-01   3.21183900e-01   1.03159100e-01   
97   4.70249700e-07   1.78408100e-01   4.90531100e-01   -1.33714800e-01   3.12122900e-01   9.74207300e-02   
98   4.70600200e-07   1.66894500e-01   4.69516700e-01   -1.35727600e-01   3.02622200e-01   9.15801900e-02   
99   4.70950600e-07   1.55433900e-01   4.48188300e-01   -1.37320600e-01   2.92754500e-01   8.57051800e-02   
100   4.71301100e-07   1.44813700e-01   4.27237400e-01   -1.37610000e-01   2.82423700e-01   7.97631500e-02   
101   4.71651500e-07   1.35650100e-01   4.07024300e-01   -1.35724100e-01   2.71374200e-01   7.36439800e-02   
102   4.72002000e-07   1.27574700e-01   3.87115000e-01   -1.31965600e-01   2.59540300e-01   6.73611600e-02   
103   4.72352400e-07   1.19672500e-01   3.66681900e-01   -1.27336800e-01   2.47009300e-01   6.10136100e-02   
104   4.72702900e-07   1.11375000e-01   3.45214700e-01   -1.22464700e-01   2.33839700e-01   5.46809900e-02   
105   4.73053300e-07   1.02661100e-01   3.22718400e-01   -1.17396300e-01   2.20057300e-01   4.84252300e-02   
106   4.73754200e-07   8.41486500e-02   2.74991000e-01   -1.06693600e-01   1.90842300e-01   3.64207800e-02   
107   4.74455100e-07   6.51539900e-02   2.24786400e-01   -9.44783900e-02   1.59632400e-01   2.54825000e-02   
108   4.75085900e-07   4.81402100e-02   1.78223100e-01   -8.19427300e-02   1.30082900e-01   1.69215700e-02   
109   4.75716700e-07   3.24209300e-02   1.32197700e-01   -6.73558500e-02   9.97767800e-02   9.95540600e-03   
110   4.76264300e-07   2.16221300e-02   9.69565000e-02   -5.37122400e-02   7.53343700e-02   5.67526800e-03   
111   4.76757100e-07   1.45515700e-02   7.08457100e-02   -4.17425700e-02   5.62941400e-02   3.16903000e-03   
112   4.77200600e-07   9.50754700e-03   4.99148100e-02   -3.08997200e-02   4.04072600e-02   1.63274700e-03   
113   4.77644100e-07   5.21488100e-03   3.09708100e-02   -2.05410500e-02   2.57559300e-02   6.63368100e-04   
114   4.78087600e-07   2.18948500e-03   1.66254800e-02   -1.22465100e-02   1.44360000e-02   2.08398000e-04   
115   4.78531200e-07   8.18594300e-04   8.69051100e-03   -7.05332200e-03   7.87191600e-03   6.19670700e-05   
116   4.78974700e-07   4.61794600e-04   3.78193200e-03   -2.85834300e-03   3.32013700e-03   1.10233100e-05   
117   4.79418200e-07   3.22313700e-04   9.97486900e-04   -3.52859500e-04   6.75173200e-04   4.55858900e-07   
118   4.79861700e-07   2.72780100e-04   5.68886000e-04   -2.33258100e-05   2.96105900e-04   8.76786900e-08   
119   4.80305200e-07   2.57912800e-04   5.56113600e-04   -4.02880500e-05   2.98200800e-04   8.89237300e-08   
120   4.80748700e-07   2.39060700e-04   5.02566800e-04   -2.44453900e-05   2.63506100e-04   6.94354700e-08   
121   4.81635800e-07   2.08916800e-04   4.31664300e-04   -1.38307100e-05   2.22747500e-04   4.96164500e-08   
122   4.83409800e-07   1.62377800e-04   3.19685700e-04   5.06991800e-06   1.57307900e-04   2.47457800e-08   
123   4.86958000e-07   1.06552500e-04   1.92320500e-04   2.07844400e-05   8.57680100e-05   7.35615100e-09   
124   4.94054200e-07   5.89262700e-05   9.04586100e-05   2.73939400e-05   3.15323300e-05   9.94288100e-10   
125   5.00000000e-07   4.27673900e-05   5.96100800e-05   2.59247100e-05   1.68426800e-05   2.83675900e-10   
126   5.01419300e-07   1.55556400e-07   2.76658600e-07   3.44541000e-08   1.21102300e-07   1.46657600e-14   
127   5.04257800e-07   9.27572500e-09   1.42790000e-08   4.27244600e-09   5.00327900e-09   2.50328000e-17   
128   5.09934800e-07   8.70702400e-09   1.32346800e-08   4.17936900e-09   4.52765500e-09   2.04996600e-17   
129   5.21288800e-07   9.27220200e-09   1.42723200e-08   4.27208400e-09   5.00011800e-09   2.50011800e-17   
130   5.43996800e-07   8.70793000e-09   1.32364700e-08   4.17939200e-09   4.52853800e-09   2.05076500e-17   
131   5.89412900e-07   9.27181400e-09   1.42715200e-08   4.27210700e-09   4.99970700e-09   2.49970700e-17   
132   6.80245200e-07   8.70809200e-09   1.32367800e-08   4.17940300e-09   4.52868900e-09   2.05090200e-17   
133   7.80245200e-07   9.27167100e-09   1.42712200e-08   4.27212000e-09   4.99955000e-09   2.49955000e-17   
134   8.80245200e-07   8.70822800e-09   1.32370500e-08   4.17940600e-09   4.52882200e-09   2.05102300e-17   
135   9.00000000e-07   9.27125600e-09   1.42703500e-08   4.27215800e-09   4.99909800e-09   2.49909800e-17   
136   9.00625000e-07   -4.36881100e-05   -2.60837800e-05   -6.12924400e-05   1.76043300e-05   3.09912500e-10   
137   9.01875000e-07   -4.66712700e-05   -2.65755400e-05   -6.67670000e-05   2.00957300e-05   4.03838500e-10   
138   9.04375000e-07   -5.33077700e-05   -2.72716300e-05   -7.93439000e-05   2.60361400e-05   6.77880400e-10   
139   9.09375000e-07   -7.52569300e-05   -2.65347000e-05   -1.23979200e-04   4.87222300e-05   2.37385600e-09   
140   9.19375000e-07   -2.36958900e-04   2.17900000e-05   -4.95707800e-04   2.58748900e-04   6.69509900e-08   
141   9.24375000e-07   -5.50672700e-04   1.70230500e-04   -1.27157600e-03   7.20903200e-04   5.19701400e-07   
142   9.29375000e-07   -1.26434000e-03   5.70975000e-04   -3.09965600e-03   1.83531500e-03   3.36838300e-06   
143   9.32566700e-07   -2.17382100e-03   1.29126800e-03   -5.63890900e-03   3.46508800e-03   1.20068400e-05   
144   9.35758400e-07   -2.66548300e-03   3.98018300e-03   -9.31114900e-03   6.64566600e-03   4.41648800e-05   
145   9.36310000e-07   -2.60150700e-03   5.25094600e-03   -1.04539600e-02   7.85245400e-03   6.16610300e-05   
146   9.37413300e-07   -2.13655000e-03   9.22476700e-03   -1.34978700e-02   1.13613200e-02   1.29079500e-04   
147   9.39620000e-07   1.66305600e-03   2.92377700e-02   -2.59116500e-02   2.75747100e-02   7.60364600e-04   
148   9.41486900e-07   9.58465500e-03   6.37763400e-02   -4.46070300e-02   5.41916800e-02   2.93673900e-03   
149   9.43089000e-07   2.23964300e-02   1.11449100e-01   -6.66562700e-02   8.90527000e-02   7.93038300e-03   
150   9.44431200e-07   3.98092200e-02   1.68553300e-01   -8.89349200e-02   1.28744100e-01   1.65750500e-02   
151   9.45548200e-07   6.08374100e-02   2.31046000e-01   -1.09371200e-01   1.70208600e-01   2.89709700e-02   
152   9.46532800e-07   8.44621000e-02   2.92852500e-01   -1.23928300e-01   2.08390400e-01   4.34265500e-02   
153   9.46669300e-07   8.80264800e-02   3.01141400e-01   -1.25088500e-01   2.13114900e-01   4.54179800e-02   
