Index    TIME    v(5)quad_pce_mean    v(5)quad_pce_meanPlus    v(5)quad_pce_meanMinus    v(5)quad_pce_stddev    v(5)quad_pce_variance    v(2)quad_pce_mean    v(2)quad_pce_meanPlus    v(2)quad_pce_meanMinus    v(2)quad_pce_stddev    v(2)quad_pce_variance    
25   1.87352000e-09   2.57018200e+00   2.58067400e+00   2.55969000e+00   1.04923500e-02   1.10089400e-04   2.49911500e+00   2.51271100e+00   2.48551900e+00   1.35959900e-02   1.84850900e-04   
26   1.89236200e-09   2.57218300e+00   2.58298800e+00   2.56137700e+00   1.08054200e-02   1.16757100e-04   2.50762100e+00   2.52206600e+00   2.49317600e+00   1.44448400e-02   2.08653300e-04   
27   1.91120400e-09   2.57392400e+00   2.58508500e+00   2.56276200e+00   1.11616700e-02   1.24582900e-04   2.51765100e+00   2.53317300e+00   2.50212900e+00   1.55220400e-02   2.40933600e-04   
28   1.94888900e-09   2.57619500e+00   2.58820900e+00   2.56418200e+00   1.20136400e-02   1.44327600e-04   2.54022800e+00   2.55844500e+00   2.52201000e+00   1.82175200e-02   3.31877900e-04   
29   2.00000000e-09   2.57621300e+00   2.58977400e+00   2.56265100e+00   1.35614700e-02   1.83913500e-04   2.57845800e+00   2.60183300e+00   2.55508200e+00   2.33755000e-02   5.46413900e-04   
30   2.00753700e-09   2.57575600e+00   2.58959600e+00   2.56191600e+00   1.38401400e-02   1.91549400e-04   2.58368600e+00   2.60802700e+00   2.55934600e+00   2.43405700e-02   5.92463500e-04   
31   2.01432000e-09   2.57516900e+00   2.58926300e+00   2.56107500e+00   1.40936700e-02   1.98631600e-04   2.58725000e+00   2.61241000e+00   2.56209000e+00   2.51596600e-02   6.33008500e-04   
32   2.02788700e-09   2.57359100e+00   2.58819000e+00   2.55899200e+00   1.45993200e-02   2.13140200e-04   2.59046900e+00   2.61691500e+00   2.56402400e+00   2.64454900e-02   6.99364100e-04   
33   2.05501900e-09   2.56799800e+00   2.58361900e+00   2.55237700e+00   1.56209400e-02   2.44013700e-04   2.57803300e+00   2.60471300e+00   2.55135400e+00   2.66796600e-02   7.11804400e-04   
34   2.08215200e-09   2.56021900e+00   2.57694900e+00   2.54348900e+00   1.67299900e-02   2.79892400e-04   2.55793700e+00   2.58388600e+00   2.53198800e+00   2.59488200e-02   6.73341400e-04   
35   2.10928500e-09   2.55168700e+00   2.56968100e+00   2.53369300e+00   1.79942100e-02   3.23791600e-04   2.53988600e+00   2.56546000e+00   2.51431300e+00   2.55731300e-02   6.53984900e-04   
36   2.13641800e-09   2.54277400e+00   2.56222200e+00   2.52332600e+00   1.94480700e-02   3.78227600e-04   2.52243500e+00   2.54771800e+00   2.49715300e+00   2.52826700e-02   6.39213600e-04   
37   2.19068400e-09   2.52461100e+00   2.54767800e+00   2.50154400e+00   2.30669200e-02   5.32082900e-04   2.49116100e+00   2.51605500e+00   2.46626700e+00   2.48938500e-02   6.19703800e-04   
38   2.29921500e-09   2.48947900e+00   2.52655500e+00   2.45240300e+00   3.70763000e-02   1.37465200e-03   2.44091500e+00   2.46570500e+00   2.41612500e+00   2.47899300e-02   6.14540500e-04   
39   2.40774600e-09   2.45754500e+00   2.52298200e+00   2.39210800e+00   6.54373900e-02   4.28205200e-03   2.40763200e+00   2.43381000e+00   2.38145500e+00   2.61777200e-02   6.85272800e-04   
40   2.51627800e-09   2.43228400e+00   2.51273600e+00   2.35183200e+00   8.04516900e-02   6.47247400e-03   2.38873900e+00   2.41657600e+00   2.36090100e+00   2.78374700e-02   7.74925000e-04   
41   2.61395600e-09   2.41407400e+00   2.49936700e+00   2.32878000e+00   8.52934800e-02   7.27497700e-03   2.38262300e+00   2.41109800e+00   2.35414800e+00   2.84750700e-02   8.10829400e-04   
42   2.71163400e-09   2.39829600e+00   2.48750000e+00   2.30909100e+00   8.92045200e-02   7.95744600e-03   2.38449100e+00   2.41383400e+00   2.35514800e+00   2.93430500e-02   8.61014900e-04   
43   2.80931300e-09   2.38396300e+00   2.47381200e+00   2.29411400e+00   8.98490200e-02   8.07284600e-03   2.39332400e+00   2.42343400e+00   2.36321400e+00   3.01101800e-02   9.06622900e-04   
