Index        TIME                V(1)                I(V1)       
0        0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
1        1.0000000000e-09    6.2790519529e-01   -6.2790519529e-02
2        1.5177932120e-09    9.5221273117e-01   -9.5221273117e-02
3        2.0355864239e-09    1.2755124815e+00   -1.2755124815e-01
4        2.5533796359e-09    1.5974622783e+00   -1.5974622783e-01
5        3.0711728479e-09    1.9177213820e+00   -1.9177213820e-01
6        3.5889660598e-09    2.2359508428e+00   -2.2359508428e-01
7        4.1067592718e-09    2.5518138588e+00   -2.5518138588e-01
8        4.6245524837e-09    2.8649761326e+00   -2.8649761326e-01
9        5.1423456957e-09    3.1751062252e+00   -3.1751062252e-01
10       5.6601389077e-09    3.4818759069e+00   -3.4818759069e-01
11       6.1779321196e-09    3.7849605042e+00   -3.7849605042e-01
12       6.6957253316e-09    4.0840392442e+00   -4.0840392442e-01
13       7.2135185436e-09    4.3787955933e+00   -4.3787955933e-01
14       7.7313117555e-09    4.6689175926e+00   -4.6689175926e-01
15       8.2491049675e-09    4.9540981881e+00   -4.9540981881e-01
16       8.7668981794e-09    5.2340355556e+00   -5.2340355556e-01
17       9.2846913914e-09    5.5084334200e+00   -5.5084334200e-01
18       9.8024846034e-09    5.7770013693e+00   -5.7770013693e-01
19       1.0320277815e-08    6.0394551612e+00   -6.0394551612e-01
20       1.0838071027e-08    6.2955170249e+00   -6.2955170249e-01
21       1.1355864239e-08    6.5449159541e+00   -6.5449159541e-01
22       1.1873657451e-08    6.7873879947e+00   -6.7873879947e-01
23       1.2391450663e-08    7.0226765234e+00   -7.0226765234e-01
24       1.2909243875e-08    7.2505325199e+00   -7.2505325199e-01
25       1.3427037087e-08    7.4707148302e+00   -7.4707148302e-01
26       1.3944830299e-08    7.6829904216e+00   -7.6829904216e-01
27       1.4462623511e-08    7.8871346299e+00   -7.8871346299e-01
28       1.4980416723e-08    8.0829313966e+00   -8.0829313966e-01
29       1.5498209935e-08    8.2701734978e+00   -8.2701734978e-01
30       1.6016003147e-08    8.4486627638e+00   -8.4486627638e-01
31       1.6533796359e-08    8.6182102883e+00   -8.6182102883e-01
32       1.7051589571e-08    8.7786366287e+00   -8.7786366287e-01
33       1.7569382783e-08    8.9297719958e+00   -8.9297719958e-01
34       1.8087175995e-08    9.0714564339e+00   -9.0714564339e-01
35       1.8604969207e-08    9.2035399894e+00   -9.2035399894e-01
36       1.9122762419e-08    9.3258828703e+00   -9.3258828703e-01
37       1.9640555631e-08    9.4383555935e+00   -9.4383555935e-01
38       2.0158348843e-08    9.5408391222e+00   -9.5408391222e-01
