Index       TIME              R1:R              R2:R              V(1)              V(2)       
27       2.70000000e-01    1.00000000e+00    1.00000000e+00    9.91957181e-01    4.95978591e-01
28       2.80000000e-01    1.00000000e+00    1.00000000e+00    9.82112267e-01    4.91056134e-01
29       2.90000000e-01    1.00000000e+00    1.00000000e+00    9.68438951e-01    4.84219476e-01
30       3.00000000e-01    1.00000000e+00    1.00000000e+00    9.50879839e-01    4.75439919e-01
31       3.10000000e-01    1.00000000e+00    1.00000000e+00    9.29647896e-01    4.64823948e-01
32       3.20000000e-01    1.00000000e+00    1.00000000e+00    9.04652695e-01    4.52326348e-01
33       3.30000000e-01    1.00000000e+00    1.00000000e+00    8.76195376e-01    4.38097688e-01
34       3.40000000e-01    1.00000000e+00    1.00000000e+00    8.44159972e-01    4.22079986e-01
35       3.50000000e-01    1.00000000e+00    1.00000000e+00    8.08923933e-01    4.04461967e-01
36       3.60000000e-01    1.00000000e+00    1.00000000e+00    7.70355721e-01    3.85177860e-01
37       3.70000000e-01    1.00000000e+00    1.00000000e+00    7.28894021e-01    3.64447010e-01
38       3.80000000e-01    1.00000000e+00    1.00000000e+00    6.84403864e-01    3.42201932e-01
39       3.90000000e-01    1.00000000e+00    1.00000000e+00    6.37367283e-01    3.18683641e-01
40       4.00000000e-01    1.00000000e+00    1.00000000e+00    5.87659842e-01    2.93829921e-01
41       4.10000000e-01    1.00000000e+00    1.00000000e+00    5.35786672e-01    2.67893336e-01
42       4.20000000e-01    1.00000000e+00    1.00000000e+00    4.81649246e-01    2.40824623e-01
43       4.30000000e-01    1.00000000e+00    1.00000000e+00    4.25753704e-01    2.12876852e-01
44       4.40000000e-01    1.00000000e+00    1.00000000e+00    3.68043758e-01    1.84021879e-01
45       4.50000000e-01    1.00000000e+00    1.00000000e+00    3.09003215e-01    1.54501607e-01
46       4.60000000e-01    1.00000000e+00    1.00000000e+00    2.48634802e-01    1.24317401e-01
47       4.70000000e-01    1.00000000e+00    1.00000000e+00    1.87376008e-01    9.36880041e-02
48       4.80000000e-01    1.00000000e+00    1.00000000e+00    1.25305295e-01    6.26526474e-02
49       4.90000000e-01    1.00000000e+00    1.00000000e+00    6.27898441e-02    3.13949221e-02
50       5.00000000e-01    1.00000000e+00    1.00000000e+00    1.01918052e-06    5.09590261e-07
51       5.10000000e-01    1.00000000e+00    1.00000000e+00   -6.27789037e-02   -3.13894519e-02
52       5.20000000e-01    1.00000000e+00    1.00000000e+00   -1.25316429e-01   -6.26582146e-02
53       5.30000000e-01    1.00000000e+00    1.00000000e+00   -1.87379745e-01   -9.36898726e-02
54       5.40000000e-01    1.00000000e+00    1.00000000e+00   -2.48656658e-01   -1.24328329e-01
55       5.50000000e-01    1.00000000e+00    1.00000000e+00   -3.08966334e-01   -1.54483167e-01
56       5.60000000e-01    1.00000000e+00    1.00000000e+00   -3.68090969e-01   -1.84045485e-01
57       5.70000000e-01    1.00000000e+00    1.00000000e+00   -4.25751128e-01   -2.12875564e-01
58       5.80000000e-01    1.00000000e+00    1.00000000e+00   -4.81677974e-01   -2.40838987e-01
59       5.90000000e-01    1.00000000e+00    1.00000000e+00   -5.35747146e-01   -2.67873573e-01
