STEPNUM  Index       TIME              R1:R              R2:R              V(1)              V(2)       
0        56       5.60000000e-01    1.00000000e+00    3.00000000e+00   -3.68067176e-01   -2.76050382e-01
0        57       5.70000000e-01    1.00000000e+00    3.00000000e+00   -4.25733658e-01   -3.19300244e-01
0        58       5.80000000e-01    1.00000000e+00    3.00000000e+00   -4.81748984e-01   -3.61311738e-01
0        59       5.90000000e-01    1.00000000e+00    3.00000000e+00   -5.35764915e-01   -4.01823686e-01
0        60       6.00000000e-01    1.00000000e+00    3.00000000e+00   -5.87693046e-01   -4.40769785e-01
0        61       6.10000000e-01    1.00000000e+00    3.00000000e+00   -6.37339900e-01   -4.78004925e-01
0        62       6.20000000e-01    1.00000000e+00    3.00000000e+00   -6.84520071e-01   -5.13390053e-01
0        63       6.30000000e-01    1.00000000e+00    3.00000000e+00   -7.28906514e-01   -5.46679885e-01
0        64       6.40000000e-01    1.00000000e+00    3.00000000e+00   -7.70397839e-01   -5.77798379e-01
0        65       6.50000000e-01    1.00000000e+00    3.00000000e+00   -8.08896942e-01   -6.06672707e-01
0        66       6.60000000e-01    1.00000000e+00    3.00000000e+00   -8.44260171e-01   -6.33195128e-01
0        67       6.70000000e-01    1.00000000e+00    3.00000000e+00   -8.76266123e-01   -6.57199593e-01
0        68       6.80000000e-01    1.00000000e+00    3.00000000e+00   -9.04705513e-01   -6.78529135e-01
0        69       6.90000000e-01    1.00000000e+00    3.00000000e+00   -9.29630982e-01   -6.97223237e-01
0        70       7.00000000e-01    1.00000000e+00    3.00000000e+00   -9.50949767e-01   -7.13212325e-01
0        71       7.10000000e-01    1.00000000e+00    3.00000000e+00   -9.68581853e-01   -7.26436390e-01
0        72       7.20000000e-01    1.00000000e+00    3.00000000e+00   -9.82178791e-01   -7.36634094e-01
0        73       7.30000000e-01    1.00000000e+00    3.00000000e+00   -9.91959740e-01   -7.43969805e-01
0        74       7.40000000e-01    1.00000000e+00    3.00000000e+00   -9.97891334e-01   -7.48418501e-01
0        75       7.50000000e-01    1.00000000e+00    3.00000000e+00   -9.99951211e-01   -7.49963408e-01
0        76       7.60000000e-01    1.00000000e+00    3.00000000e+00   -9.97948922e-01   -7.48461691e-01
