Index    TIME    V(DRAIN)quad_pce_mean    V(DRAIN)quad_pce_meanPlus    V(DRAIN)quad_pce_meanMinus    V(DRAIN)quad_pce_stddev    V(DRAIN)quad_pce_variance    
47   4.54973300e-07   6.98845400e-01   1.08573000e+00   3.11960800e-01   3.86884600e-01   1.49679700e-01   
48   4.55423900e-07   6.76626300e-01   1.08106500e+00   2.72187700e-01   4.04438600e-01   1.63570600e-01   
49   4.55874400e-07   6.54541200e-01   1.07630600e+00   2.32776000e-01   4.21765200e-01   1.77885900e-01   
50   4.56324900e-07   6.35200200e-01   1.06973100e+00   2.00669600e-01   4.34530600e-01   1.88816800e-01   
51   4.56718100e-07   6.20928000e-01   1.06201400e+00   1.79842000e-01   4.41086100e-01   1.94556900e-01   
52   4.57111300e-07   6.08328500e-01   1.05279700e+00   1.63860200e-01   4.44468200e-01   1.97552000e-01   
53   4.57465100e-07   5.98300900e-01   1.04339400e+00   1.53207400e-01   4.45093500e-01   1.98108300e-01   
54   4.57819000e-07   5.88922300e-01   1.03340700e+00   1.44437800e-01   4.44484500e-01   1.97566500e-01   
55   4.58172800e-07   5.80033100e-01   1.02293400e+00   1.37132400e-01   4.42900800e-01   1.96161100e-01   
56   4.58526700e-07   5.71386300e-01   1.01190700e+00   1.30865900e-01   4.40520400e-01   1.94058200e-01   
57   4.58880500e-07   5.62540500e-01   1.00025200e+00   1.24829100e-01   4.37711300e-01   1.91591200e-01   
58   4.59234400e-07   5.53132300e-01   9.87936500e-01   1.18328100e-01   4.34804200e-01   1.89054700e-01   
59   4.59588200e-07   5.42986100e-01   9.74978300e-01   1.10993800e-01   4.31992200e-01   1.86617300e-01   
60   4.60295900e-07   5.20252400e-01   9.47353200e-01   9.31515200e-02   4.27100900e-01   1.82415100e-01   
61   4.61003600e-07   4.94154900e-01   9.18094900e-01   7.02148500e-02   4.23940000e-01   1.79725100e-01   
62   4.61711300e-07   4.64623600e-01   8.88026500e-01   4.12206700e-02   4.23402900e-01   1.79270000e-01   
63   4.62419000e-07   4.31697700e-01   8.57955900e-01   5.43948100e-03   4.26258200e-01   1.81696100e-01   
64   4.63126700e-07   3.95496900e-01   8.28556300e-01   -3.75625000e-02   4.33059400e-01   1.87540400e-01   
65   4.63834400e-07   3.57483400e-01   8.00800500e-01   -8.58337900e-02   4.43317100e-01   1.96530100e-01   
