Index        V(1)             V(2)             V(3)            V(NODE)           I(H2)            I(E3)            I(B4)           V(SUM)      {1+5*I(H2)/V(1)-I(E3)/4-I(B4)/4}
0       1.00000000e+00   2.00000000e-01   3.00000000e+00   1.00000000e-02   -2.00000000e-01  -3.00000000e+00  -1.00000000e+00  1.00000000e+00   1.00000000e+00   
1       2.00000000e+00   4.00000000e-01   6.00000000e+00   2.00000000e-02   -4.00000000e-01  -6.00000000e+00  -2.00000000e+00  2.00000000e+00   2.00000000e+00   
2       3.00000000e+00   6.00000000e-01   9.00000000e+00   3.00000000e-02   -6.00000000e-01  -9.00000000e+00  -3.00000000e+00  3.00000000e+00   3.00000000e+00   
3       4.00000000e+00   8.00000000e-01   1.20000000e+01   4.00000000e-02   -8.00000000e-01  -1.20000000e+01  -4.00000000e+00  4.00000000e+00   4.00000000e+00   
4       5.00000000e+00   1.00000000e+00   1.50000000e+01   5.00000000e-02   -1.00000000e+00  -1.50000000e+01  -5.00000000e+00  5.00000000e+00   5.00000000e+00   
5       6.00000000e+00   1.20000000e+00   1.80000000e+01   6.00000000e-02   -1.20000000e+00  -1.80000000e+01  -6.00000000e+00  6.00000000e+00   6.00000000e+00   
6       7.00000000e+00   1.40000000e+00   2.10000000e+01   7.00000000e-02   -1.40000000e+00  -2.10000000e+01  -7.00000000e+00  7.00000000e+00   7.00000000e+00   
7       8.00000000e+00   1.60000000e+00   2.40000000e+01   8.00000000e-02   -1.60000000e+00  -2.40000000e+01  -8.00000000e+00  8.00000000e+00   8.00000000e+00   
8       9.00000000e+00   1.80000000e+00   2.70000000e+01   9.00000000e-02   -1.80000000e+00  -2.70000000e+01  -9.00000000e+00  9.00000000e+00   9.00000000e+00   
9       1.00000000e+01   2.00000000e+00   3.00000000e+01   1.00000000e-01   -2.00000000e+00  -3.00000000e+01  -1.00000000e+01  1.00000000e+01   1.00000000e+01   
End of Xyce(TM) Simulation
