Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
33       1.65000000e+00    0.00000000e+00   -1.07298911e-08    2.72557631e-07    2.81701948e-01    3.82403476e-02    1.65000000e+00    0.00000000e+00    0.00000000e+00    1.61175965e+00
34       1.70000000e+00    0.00000000e+00   -1.10466115e-08    2.80563661e-07    2.81015297e-01    3.82394270e-02    1.70000000e+00    0.00000000e+00    0.00000000e+00    1.66176057e+00
35       1.75000000e+00    0.00000000e+00   -1.13713987e-08    2.88771991e-07    2.80328646e-01    3.82385132e-02    1.75000000e+00    0.00000000e+00    0.00000000e+00    1.71176149e+00
36       1.80000000e+00    0.00000000e+00   -1.17044636e-08    2.97187864e-07    2.79641996e-01    3.82376063e-02    1.80000000e+00    0.00000000e+00    0.00000000e+00    1.76176239e+00
37       1.85000000e+00    0.00000000e+00   -1.20460210e-08    3.05816608e-07    2.78955345e-01    3.82367066e-02    1.85000000e+00    0.00000000e+00    0.00000000e+00    1.81176329e+00
38       1.90000000e+00    0.00000000e+00   -1.23962893e-08    3.14663643e-07    2.78268694e-01    3.82358141e-02    1.90000000e+00    0.00000000e+00    0.00000000e+00    1.86176419e+00
39       1.95000000e+00    0.00000000e+00   -1.27554911e-08    3.23734490e-07    2.77582044e-01    3.82349290e-02    1.95000000e+00    0.00000000e+00    0.00000000e+00    1.91176507e+00
40       2.00000000e+00    0.00000000e+00   -1.31238533e-08    3.33034771e-07    2.76895393e-01    3.82340515e-02    2.00000000e+00    0.00000000e+00    0.00000000e+00    1.96176595e+00
41       2.05000000e+00    0.00000000e+00   -1.35016072e-08    3.42570217e-07    2.76208742e-01    3.82331817e-02    2.05000000e+00    0.00000000e+00    0.00000000e+00    2.01176682e+00
42       2.10000000e+00    0.00000000e+00   -1.38889887e-08    3.52346669e-07    2.75522091e-01    3.82323197e-02    2.10000000e+00    0.00000000e+00    0.00000000e+00    2.06176768e+00
43       2.15000000e+00    0.00000000e+00   -1.42862386e-08    3.62370086e-07    2.74835441e-01    3.82314658e-02    2.15000000e+00    0.00000000e+00    0.00000000e+00    2.11176853e+00
44       2.20000000e+00    0.00000000e+00   -1.46936026e-08    3.72646548e-07    2.74148790e-01    3.82306201e-02    2.20000000e+00    0.00000000e+00    0.00000000e+00    2.16176938e+00
45       2.25000000e+00    0.00000000e+00   -1.51113317e-08    3.83182258e-07    2.73462139e-01    3.82297827e-02    2.25000000e+00    0.00000000e+00    0.00000000e+00    2.21177022e+00
46       2.30000000e+00    0.00000000e+00   -1.55396820e-08    3.93983549e-07    2.72775488e-01    3.82289539e-02    2.30000000e+00    0.00000000e+00    0.00000000e+00    2.26177105e+00
47       2.35000000e+00    0.00000000e+00   -1.59789152e-08    4.05056886e-07    2.72088838e-01    3.82281337e-02    2.35000000e+00    0.00000000e+00    0.00000000e+00    2.31177187e+00
48       2.40000000e+00    0.00000000e+00   -1.64292987e-08    4.16408868e-07    2.71402187e-01    3.82273225e-02    2.40000000e+00    0.00000000e+00    0.00000000e+00    2.36177268e+00
49       2.45000000e+00    0.00000000e+00   -1.68911055e-08    4.28046238e-07    2.70715536e-01    3.82265203e-02    2.45000000e+00    0.00000000e+00    0.00000000e+00    2.41177348e+00
50       2.50000000e+00    0.00000000e+00   -1.73646148e-08    4.39975879e-07    2.70028886e-01    3.82257273e-02    2.50000000e+00    0.00000000e+00    0.00000000e+00    2.46177427e+00
51       2.55000000e+00    0.00000000e+00   -1.78501117e-08    4.52204823e-07    2.69342235e-01    3.82249438e-02    2.55000000e+00    0.00000000e+00    0.00000000e+00    2.51177506e+00
52       2.60000000e+00    0.00000000e+00   -1.83478876e-08    4.64740253e-07    2.68655584e-01    3.82241698e-02    2.60000000e+00    0.00000000e+00    0.00000000e+00    2.56177583e+00
53       2.65000000e+00    0.00000000e+00   -1.88582405e-08    4.77589508e-07    2.67968933e-01    3.82234057e-02    2.65000000e+00    0.00000000e+00    0.00000000e+00    2.61177659e+00
54       2.70000000e+00    0.00000000e+00   -1.93814748e-08    4.90760085e-07    2.67282283e-01    3.82226516e-02    2.70000000e+00    0.00000000e+00    0.00000000e+00    2.66177735e+00
55       2.75000000e+00    0.00000000e+00   -1.99179017e-08    5.04259642e-07    2.66595632e-01    3.82219076e-02    2.75000000e+00    0.00000000e+00    0.00000000e+00    2.71177809e+00
56       2.80000000e+00    0.00000000e+00   -2.04678393e-08    5.18096006e-07    2.65908981e-01    3.82211740e-02    2.80000000e+00    0.00000000e+00    0.00000000e+00    2.76177883e+00
57       2.85000000e+00    0.00000000e+00   -2.10316129e-08    5.32277173e-07    2.65222331e-01    3.82204511e-02    2.85000000e+00    0.00000000e+00    0.00000000e+00    2.81177955e+00
58       2.90000000e+00    0.00000000e+00   -2.16095548e-08    5.46811314e-07    2.64535680e-01    3.82197389e-02    2.90000000e+00    0.00000000e+00    0.00000000e+00    2.86178026e+00
59       2.95000000e+00    0.00000000e+00   -2.22020050e-08    5.61706778e-07    2.63849029e-01    3.82190378e-02    2.95000000e+00    0.00000000e+00    0.00000000e+00    2.91178096e+00
60       3.00000000e+00    0.00000000e+00   -2.28093108e-08    5.76972096e-07    2.63162378e-01    3.82183479e-02    3.00000000e+00    0.00000000e+00    0.00000000e+00    2.96178165e+00
61       3.05000000e+00    0.00000000e+00   -2.34318276e-08    5.92615985e-07    2.62475728e-01    3.82176694e-02    3.05000000e+00    0.00000000e+00    0.00000000e+00    3.01178233e+00
62       3.10000000e+00    0.00000000e+00   -2.40699184e-08    6.08647354e-07    2.61789077e-01    3.82170026e-02    3.10000000e+00    0.00000000e+00    0.00000000e+00    3.06178300e+00
63       3.15000000e+00    0.00000000e+00   -2.47239545e-08    6.25075305e-07    2.61102426e-01    3.82163477e-02    3.15000000e+00    0.00000000e+00    0.00000000e+00    3.11178365e+00
64       3.20000000e+00    0.00000000e+00   -2.53943155e-08    6.41909140e-07    2.60415776e-01    3.82157049e-02    3.20000000e+00    0.00000000e+00    0.00000000e+00    3.16178430e+00
65       3.25000000e+00    0.00000000e+00   -2.60813894e-08    6.59158364e-07    2.59729125e-01    3.82150745e-02    3.25000000e+00    0.00000000e+00    0.00000000e+00    3.21178493e+00
66       3.30000000e+00    0.00000000e+00   -2.67855731e-08    6.76832691e-07    2.59042474e-01    3.82144567e-02    3.30000000e+00    0.00000000e+00    0.00000000e+00    3.26178554e+00
67       3.35000000e+00    0.00000000e+00   -2.75072720e-08    6.94942044e-07    2.58355823e-01    3.82138517e-02    3.35000000e+00    0.00000000e+00    0.00000000e+00    3.31178615e+00
68       3.40000000e+00    0.00000000e+00   -2.82469010e-08    7.13496567e-07    2.57669173e-01    3.82132597e-02    3.40000000e+00    0.00000000e+00    0.00000000e+00    3.36178674e+00
69       3.45000000e+00    0.00000000e+00   -2.90048839e-08    7.32506622e-07    2.56982522e-01    3.82126811e-02    3.45000000e+00    0.00000000e+00    0.00000000e+00    3.41178732e+00
