Index              V(4)           V(5)
0       1.00000000e-01   3.33333333e-02   
1       1.77827941e-01   5.92759803e-02   
2       3.16227766e-01   1.05409255e-01   
3       5.62341325e-01   1.87447108e-01   
4       1.00000000e+00   3.33333333e-01   
5       1.77827941e+00   5.92759803e-01   
6       3.16227766e+00   1.05409255e+00   
7       5.62341325e+00   1.87447108e+00   
8       1.00000000e+01   3.33333333e+00   
9       1.77827941e+01   5.92759803e+00   
10      3.16227766e+01   1.05409255e+01   
11      5.62341325e+01   1.87447108e+01   
12      1.00000000e+02   3.33333333e+01   
End of Xyce(TM) Simulation
