[Version] 2.0
# Hz Y MA R 50
[Number of Ports] 1
[Number of Frequencies] 61
[Reference] 50
[Network Data]
! This is not a "standard" Touchstone 2 file.  It also has the extra columns
! for the frequency-domain ISC data.
! Freq             magY11                   angY11                     magIsc1                 angIsc1
1.900e+08    1.919092122179937e-03    -6.819189830110456e+01    6.118235198747782e-01    -7.396426575935146e+01
2.000e+08    1.500698435947435e-03    -6.812423876503372e+01    5.199814143973039e-01    -7.534205294357498e+01
2.100e+08    1.195813719472391e-03    -6.720123496914901e+01    4.557922314891318e-01    -7.626658086348321e+01
2.200e+08    9.602194018325773e-04    -6.544401250468971e+01    4.085754686158992e-01    -7.692360493722319e+01
2.300e+08    7.702351811353077e-04    -6.268638334714190e+01    3.725470921394916e-01    -7.741376115908491e+01
2.400e+08    6.125108607879042e-04    -5.853307015634476e+01    3.443148248994495e-01    -7.779666639873055e+01
2.500e+08    4.798915743681420e-04    -5.220798348479495e+01    3.217665540289118e-01    -7.811031188114035e+01
2.600e+08    3.703044299933455e-04    -4.225136139585892e+01    3.035268239955924e-01    -7.838054035602578e+01
2.700e+08    2.880808114330230e-04    -2.627205779841683e+01    2.886704477713849e-01    -7.862610122523921e+01
2.800e+08    2.460627099985666e-04    -2.693005738718336e+00    2.765626775183953e-01    -7.886157716611467e+01
2.900e+08    2.568382420966463e-04    2.329552258841418e+01    2.667662736847452e-01    -7.909923863948246e+01
3.000e+08    3.131258942261727e-04    4.318996650184810e+01    2.589863791001725e-01    -7.935036286229321e+01
3.100e+08    3.973678929102235e-04    5.589085916257207e+01    2.530384072039625e-01    -7.962632685115882e+01
3.200e+08    4.990636573134951e-04    6.389966655799248e+01    2.488314495370898e-01    -7.993969333909776e+01
3.300e+08    6.148939545531384e-04    6.915885454573993e+01    2.463639279627226e-01    -8.030549711041942e+01
3.400e+08    7.455248545329043e-04    7.275191000352291e+01    2.457312860872253e-01    -8.074299821039052e+01
3.500e+08    8.942088255188817e-04    7.525903883822737e+01    2.471487081167865e-01    -8.127832586450363e+01
3.600e+08    1.066709748363662e-03    7.699023329818043e+01    2.509966089858317e-01    -8.194877937054305e+01
3.700e+08    1.272175174968244e-03    7.809928430133934e+01    2.579055559220360e-01    -8.281029708146053e+01
3.800e+08    1.525190053195174e-03    7.863119601106489e+01    2.689163179494742e-01    -8.395131271481524e+01
3.900e+08    1.850023991257268e-03    7.852656242940212e+01    2.857952387126861e-01    -8.552045320179766e+01
4.000e+08    2.289750976838251e-03    7.757863388645104e+01    3.116977620280071e-01    -8.778711973527247e+01
4.100e+08    2.927445132298878e-03    7.529530160044435e+01    3.526767974593115e-01    -9.128974660714111e+01
4.200e+08    3.939512751831350e-03    7.048801548316644e+01    4.213237936075394e-01    -9.725318888329299e+01
4.300e+08    5.720546757897681e-03    5.991110704625596e+01    5.441930985377348e-01    -1.089535701334872e+02
4.400e+08    8.686256468140698e-03    3.424905955527404e+01    7.356660375501054e-01    -1.357340538874310e+02
4.500e+08    9.111971714935042e-03    -1.134613440841919e+01    6.869283340322908e-01    1.775299760795467e+02
4.600e+08    6.005929509031355e-03    -4.103688205360265e+01    4.024775305798100e-01    1.466465061435703e+02
4.700e+08    3.999985715791591e-03    -5.306497721747889e+01    2.376372555829298e-01    1.333389894282115e+02
4.800e+08    2.882040097067973e-03    -5.812395682767947e+01    1.511401250427163e-01    1.268700764567885e+02
4.900e+08    2.192883457134241e-03    -6.011471906048606e+01    1.008645755357738e-01    1.232801791515317e+02
5.000e+08    1.726293588027025e-03    -6.039703927496653e+01    6.899989479339948e-02    1.211266153637621e+02
5.100e+08    1.387301247173099e-03    -5.947509164744940e+01    4.753782362511766e-02    1.197820634358771e+02
5.200e+08    1.127867731983204e-03    -5.748883159079448e+01    3.246890630608752e-02    1.189136440867893e+02
5.300e+08    9.217748747073107e-04    -5.436142314736657e+01    2.159501001091651e-02    1.182755794698850e+02
5.400e+08    7.541633948005405e-04    -4.982498998758501e+01    1.362247630750889e-02    1.175416747146745e+02
5.500e+08    6.169748894519723e-04    -4.339128072779503e+01    7.749466894893024e-03    1.158891158679125e+02
5.600e+08    5.071340436534010e-04    -3.432426364615620e+01    3.477332247227882e-03    1.095751190173897e+02
5.700e+08    4.260897643073470e-04    -2.179212845732340e+01    9.030581129940373e-04    5.152809937808856e+01
5.800e+08    3.791273748289999e-04    -5.618145772070656e+00    2.147049186607798e-03    -2.568572154405844e+01
5.900e+08    3.715799658509573e-04    1.243545085498616e+01    3.525671271268089e-03    -3.006534101430407e+01
6.000e+08    4.024735687174194e-04    2.908487437056837e+01    4.405127110824059e-03    -2.528358224663991e+01
