Index       TIME              V(1)              I(L1)             V(3)              V(2)              I(VS)      
48       2.06547619e-04    0.00000000e+00    0.00000000e+00    6.17096130e-03    2.20953358e-02    1.59243745e-05
49       2.11309524e-04    0.00000000e+00    0.00000000e+00    1.06588738e-02    2.19706189e-02    1.13117451e-05
50       2.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    2.19543833e-02    1.01735439e-05
51       2.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    2.11545697e-02    4.88594340e-06
52       2.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    2.11040364e-02    3.47768732e-07
53       2.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    2.11195448e-02   -4.12417836e-06
54       2.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    2.12066905e-02   -8.52426218e-06
55       2.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    2.13710107e-02   -1.28469053e-05
56       2.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    2.16167660e-02   -1.70878071e-05
57       2.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    2.19462836e-02   -2.12446000e-05
58       2.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    2.23598020e-02   -2.53170056e-05
59       2.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    2.28556738e-02   -2.93066309e-05
60       2.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    2.34307784e-02   -3.32165565e-05
61       2.62500000e-04    0.00000000e+00    0.00000000e+00    5.88896943e-02    2.37422162e-02   -3.51474781e-05
62       2.67261905e-04    0.00000000e+00    0.00000000e+00    6.33739512e-02    2.44285489e-02   -3.89454023e-05
63       2.72023810e-04    0.00000000e+00    0.00000000e+00    6.78576408e-02    2.51831008e-02   -4.26745401e-05
64       2.76785714e-04    0.00000000e+00    0.00000000e+00    7.23407230e-02    2.60013309e-02   -4.63393921e-05
65       2.81547619e-04    0.00000000e+00    0.00000000e+00    7.68231576e-02    2.68791354e-02   -4.99440222e-05
66       2.86309524e-04    0.00000000e+00    0.00000000e+00    8.13049044e-02    2.78130527e-02   -5.34918517e-05
67       2.91071429e-04    0.00000000e+00    0.00000000e+00    8.57859234e-02    2.88003851e-02   -5.69855384e-05
68       2.95833333e-04    0.00000000e+00    0.00000000e+00    7.84929521e-02    2.96552777e-02   -4.88376744e-05
69       3.00595238e-04    0.00000000e+00    0.00000000e+00    5.60997851e-04    2.92758211e-02    2.87148233e-05
70       3.05357143e-04    0.00000000e+00    0.00000000e+00    5.04897564e-03    2.89701610e-02    2.39211854e-05
71       3.10119048e-04    0.00000000e+00    0.00000000e+00    9.53690823e-03    2.87370680e-02    1.92001598e-05
72       3.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    2.86522805e-02    1.68714411e-05
73       3.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    2.75058293e-02    1.12372030e-05
74       3.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    2.74240554e-02    6.66778779e-06
