Index       V(G)              V(D)        {N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)} {((N(X2:M1:IDS)+N(X2:M1:IDB)-N(X2:M1:IGD))-(N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)))/(V(G2)-V(G))}    N(X1:M1:GM)    {N(X1:M1:GM)-{((N(X2:M1:IDS)+N(X2:M1:IDB)-N(X2:M1:IGD))-(N(X1:M1:IDS)+N(X1:M1:IDB)-N(X1:M1:IGD)))/(V(G2)-V(G))}}   N(X1:M1:VTH)      N(X1:M1:VDS)      N(X1:M1:VSB)      N(X1:M1:VGS)      N(X1:M1:VDSS)  
0       -1.00000000e+00    1.00000000e+00    3.21927949e-03   -4.30367545e-06   -4.30368741e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -1.00000000e+00    1.21141022e-01
1       -9.90000000e-01    1.00000000e+00    3.21923792e-03   -4.01404497e-06   -4.01405484e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.90000000e-01    1.21141022e-01
2       -9.80000000e-01    1.00000000e+00    3.21919915e-03   -3.74138255e-06   -3.74135253e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.80000000e-01    1.21141022e-01
3       -9.70000000e-01    1.00000000e+00    3.21916304e-03   -3.48478226e-06   -3.48475519e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.70000000e-01    1.21141022e-01
4       -9.60000000e-01    1.00000000e+00    3.21912941e-03   -3.24352632e-06   -3.24346869e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.60000000e-01    1.21141022e-01
5       -9.50000000e-01    1.00000000e+00    3.21909812e-03   -3.01668412e-06   -3.01672923e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.50000000e-01    1.21141022e-01
6       -9.40000000e-01    1.00000000e+00    3.21906903e-03   -2.80379295e-06   -2.80380266e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.40000000e-01    1.21141022e-01
7       -9.30000000e-01    1.00000000e+00    3.21904200e-03   -2.60399714e-06   -2.60398370e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.30000000e-01    1.21141022e-01
8       -9.20000000e-01    1.00000000e+00    3.21901691e-03   -2.41659237e-06   -2.41659518e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.20000000e-01    1.21141022e-01
9       -9.10000000e-01    1.00000000e+00    3.21899363e-03   -2.24093867e-06   -2.24098736e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.10000000e-01    1.21141022e-01
10      -9.00000000e-01    1.00000000e+00    3.21897205e-03   -2.07651220e-06   -2.07653713e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -9.00000000e-01    1.21141022e-01
11      -8.90000000e-01    1.00000000e+00    3.21895206e-03   -1.92266810e-06   -1.92264729e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.90000000e-01    1.21141022e-01
12      -8.80000000e-01    1.00000000e+00    3.21893356e-03   -1.77873224e-06   -1.77874589e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.80000000e-01    1.21141022e-01
13      -8.70000000e-01    1.00000000e+00    3.21891646e-03   -1.64429851e-06   -1.64428541e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.70000000e-01    1.21141022e-01
14      -8.60000000e-01    1.00000000e+00    3.21890065e-03   -1.51868988e-06   -1.51874213e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.60000000e-01    1.21141022e-01
15      -8.50000000e-01    1.00000000e+00    3.21888605e-03   -1.40160554e-06   -1.40161541e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.50000000e-01    1.21141022e-01
16      -8.40000000e-01    1.00000000e+00    3.21887259e-03   -1.29242061e-06   -1.29242695e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.40000000e-01    1.21141022e-01
17      -8.30000000e-01    1.00000000e+00    3.21886018e-03   -1.19074136e-06   -1.19072015e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.30000000e-01    1.21141022e-01
18      -8.20000000e-01    1.00000000e+00    3.21884875e-03   -1.09599617e-06   -1.09605938e-06    0.00000000e+00    2.38586129e-01    1.00000000e+00    0.00000000e+00   -8.20000000e-01    1.21141022e-01
