Index        TIME               V(VOUT)              V(IN)               V(1)        
66       1.5028098107e-06    2.2721293858e+00    1.4681506857e+00    1.4455249146e+00
67       1.5028397296e-06    2.2951874865e+00    1.4482973974e+00    1.4257784799e+00
68       1.5028666565e-06    2.3150437672e+00    1.4304315904e+00    1.4080066886e+00
69       1.5028935835e-06    2.3342098860e+00    1.4125606564e+00    1.3902348974e+00
70       1.5029474374e-06    2.3696871665e+00    1.3768220036e+00    1.3546913150e+00
71       1.5030012913e-06    2.4020911743e+00    1.3411493100e+00    1.3191477325e+00
72       1.5030551452e-06    2.4316660381e+00    1.3054954501e+00    1.2836041501e+00
73       1.5031089991e-06    2.4588257667e+00    1.2698677648e+00    1.2480605676e+00
74       1.5031628531e-06    2.4838718387e+00    1.2342523124e+00    1.2125169852e+00
75       1.5032167070e-06    2.5071356843e+00    1.1986500826e+00    1.1769734027e+00
76       1.5032705609e-06    2.5288742486e+00    1.1630540409e+00    1.1414298203e+00
77       1.5033244148e-06    2.5493282976e+00    1.1274637346e+00    1.1058862378e+00
78       1.5033782687e-06    2.5686881575e+00    1.0918758285e+00    1.0703426554e+00
79       1.5034321226e-06    2.5871218509e+00    1.0562899079e+00    1.0347990729e+00
80       1.5035398304e-06    2.6217352529e+00    9.8511890499e-01    9.6371190804e-01
81       1.5036475383e-06    2.6540008929e+00    9.1394360045e-01    8.9262474315e-01
82       1.5037552461e-06    2.6845117258e+00    8.4276083785e-01    8.2153757825e-01
83       1.5038629539e-06    2.7136433610e+00    7.7156221621e-01    7.5045041336e-01
84       1.5039706617e-06    2.7416337390e+00    7.0034215936e-01    6.7936324846e-01
85       1.5040783696e-06    2.7685742359e+00    6.2908825725e-01    6.0827608356e-01
86       1.5041860774e-06    2.7944352036e+00    5.5778686973e-01    5.3718891867e-01
87       1.5042937852e-06    2.8190301258e+00    4.8641487705e-01    4.6610175377e-01
88       1.5044014930e-06    2.8419861456e+00    4.1494234240e-01    3.9501458888e-01
89       1.5045092009e-06    2.8626366291e+00    3.4332838825e-01    3.2392742398e-01
90       1.5046169087e-06    2.8799183522e+00    2.7152529887e-01    2.5284025909e-01
91       1.5047246165e-06    2.8923937333e+00    1.9945159188e-01    1.8175309419e-01
92       1.5048323243e-06    2.8986931961e+00    1.2695945000e-01    1.1066592930e-01
93       1.5049292614e-06    2.8992395136e+00    6.1478484643e-02    4.6687480890e-02
94       1.5050000000e-06    2.8978160836e+00    1.4137699359e-02    3.1974423109e-14
95       1.5050047157e-06    2.8977264488e+00    1.1575470644e-02    0.0000000000e+00
96       1.5050084399e-06    2.8976670932e+00    9.8529929172e-03    0.0000000000e+00
97       1.5050121641e-06    2.8976126148e+00    8.2686138095e-03    0.0000000000e+00
98       1.5050196124e-06    2.8975276879e+00    5.8080790317e-03    0.0000000000e+00
99       1.5050270607e-06    2.8974671302e+00    4.0815346402e-03    0.0000000000e+00
100      1.5050419573e-06    2.8973917905e+00    1.9746639885e-03    0.0000000000e+00
101      1.5050717506e-06    2.8973332386e+00    3.7125807254e-04    0.0000000000e+00
102      1.5051313372e-06    2.8973187119e+00   -2.2174850836e-05    0.0000000000e+00
103      1.5051849651e-06    2.8973210906e+00    4.1764006823e-05    0.0000000000e+00
104      1.5052385931e-06    2.8973207966e+00    3.4185157516e-05    0.0000000000e+00
105      1.5053458489e-06    2.8973208507e+00    3.5340886796e-05    0.0000000000e+00
106      1.5055603606e-06    2.8973208188e+00    3.4753822193e-05    0.0000000000e+00
107      1.5059893839e-06    2.8973208444e+00    3.5183960166e-05    0.0000000000e+00
108      1.5068474306e-06    2.8973208213e+00    3.4813890712e-05    0.0000000000e+00
109      1.5085635240e-06    2.8973208433e+00    3.5157529914e-05    0.0000000000e+00
110      1.5119957109e-06    2.8973208218e+00    3.4826303459e-05    0.0000000000e+00
111      1.5188600845e-06    2.8973208430e+00    3.5151513090e-05    0.0000000000e+00
112      1.5325888318e-06    2.8973208220e+00    3.4829265792e-05    0.0000000000e+00
113      1.5600463265e-06    2.8973208430e+00    3.5150043284e-05    0.0000000000e+00
114      1.6149613157e-06    2.8973208220e+00    3.4829997874e-05    0.0000000000e+00
115      1.7247912943e-06    2.8973208429e+00    3.5149677946e-05    0.0000000000e+00
116      1.9444512513e-06    2.8973208220e+00    3.4830180368e-05    0.0000000000e+00
117      2.2454512513e-06    2.8973208429e+00    3.5149572777e-05    0.0000000000e+00
118      2.5464512513e-06    2.8973208220e+00    3.4830269078e-05    0.0000000000e+00
119      2.8474512513e-06    2.8973208429e+00    3.5149484092e-05    0.0000000000e+00
