Index       V(G)             I(V_D)      
52       4.80000000e-01   -3.21873383e-03
53       4.70000000e-01   -3.21873350e-03
54       4.60000000e-01   -3.21873321e-03
55       4.50000000e-01   -3.21873295e-03
56       4.40000000e-01   -3.21873272e-03
57       4.30000000e-01   -3.21873252e-03
58       4.20000000e-01   -3.21873234e-03
59       4.10000000e-01   -3.21873218e-03
60       4.00000000e-01   -3.21873205e-03
61       3.90000000e-01   -3.21873193e-03
62       3.80000000e-01   -3.21873182e-03
63       3.70000000e-01   -3.21873173e-03
64       3.60000000e-01   -3.21873165e-03
65       3.50000000e-01   -3.21873157e-03
66       3.40000000e-01   -3.21873151e-03
67       3.30000000e-01   -3.21873146e-03
68       3.20000000e-01   -3.21873141e-03
69       3.10000000e-01   -3.21873137e-03
70       3.00000000e-01   -3.21873134e-03
71       2.90000000e-01   -3.21873132e-03
72       2.80000000e-01   -3.21873130e-03
73       2.70000000e-01   -3.21873128e-03
74       2.60000000e-01   -3.21873128e-03
75       2.50000000e-01   -3.21873128e-03
76       2.40000000e-01   -3.21873129e-03
77       2.30000000e-01   -3.21873131e-03
78       2.20000000e-01   -3.21873135e-03
79       2.10000000e-01   -3.21873140e-03
80       2.00000000e-01   -3.21873148e-03
81       1.90000000e-01   -3.21873158e-03
82       1.80000000e-01   -3.21873172e-03
83       1.70000000e-01   -3.21873191e-03
84       1.60000000e-01   -3.21873216e-03
85       1.50000000e-01   -3.21873249e-03
86       1.40000000e-01   -3.21873292e-03
87       1.30000000e-01   -3.21873348e-03
88       1.20000000e-01   -3.21873422e-03
89       1.10000000e-01   -3.21873518e-03
90       1.00000000e-01   -3.21873644e-03
91       9.00000000e-02   -3.21873808e-03
92       8.00000000e-02   -3.21874022e-03
93       7.00000000e-02   -3.21874302e-03
94       6.00000000e-02   -3.21874666e-03
95       5.00000000e-02   -3.21875142e-03
96       4.00000000e-02   -3.21875762e-03
97       3.00000000e-02   -3.21876572e-03
98       2.00000000e-02   -3.21877628e-03
99       1.00000000e-02   -3.21879008e-03
100      0.00000000e+00   -3.21880809e-03
101     -1.00000000e-02   -3.21883160e-03
102     -2.00000000e-02   -3.21886231e-03
103     -3.00000000e-02   -3.21890243e-03
104     -4.00000000e-02   -3.21895484e-03
105     -5.00000000e-02   -3.21902332e-03
106     -6.00000000e-02   -3.21911280e-03
107     -7.00000000e-02   -3.21922973e-03
108     -8.00000000e-02   -3.21938253e-03
109     -9.00000000e-02   -3.21958218e-03
110     -1.00000000e-01   -3.21984299e-03
111     -1.10000000e-01   -3.22018359e-03
112     -1.20000000e-01   -3.22062817e-03
113     -1.30000000e-01   -3.22120806e-03
114     -1.40000000e-01   -3.22196369e-03
115     -1.50000000e-01   -3.22294693e-03
116     -1.60000000e-01   -3.22422395e-03
117     -1.70000000e-01   -3.22587838e-03
118     -1.80000000e-01   -3.22801468e-03
119     -1.90000000e-01   -3.23076148e-03
120     -2.00000000e-01   -3.23427410e-03
121     -2.10000000e-01   -3.23873584e-03
122     -2.20000000e-01   -3.24435698e-03
123     -2.30000000e-01   -3.25137093e-03
124     -2.40000000e-01   -3.26002738e-03
125     -2.50000000e-01   -3.27058284e-03
126     -2.60000000e-01   -3.28328992e-03
127     -2.70000000e-01   -3.29838677e-03
128     -2.80000000e-01   -3.31608836e-03
129     -2.90000000e-01   -3.33658045e-03
130     -3.00000000e-01   -3.36001652e-03
131     -3.10000000e-01   -3.38651739e-03
132     -3.20000000e-01   -3.41617275e-03
133     -3.30000000e-01   -3.44904400e-03
134     -3.40000000e-01   -3.48516754e-03
135     -3.50000000e-01   -3.52455829e-03
136     -3.60000000e-01   -3.56721295e-03
137     -3.70000000e-01   -3.61311295e-03
138     -3.80000000e-01   -3.66222704e-03
139     -3.90000000e-01   -3.71451353e-03
140     -4.00000000e-01   -3.76992215e-03
141     -4.10000000e-01   -3.82839565e-03
142     -4.20000000e-01   -3.88987116e-03
143     -4.30000000e-01   -3.95428133e-03
144     -4.40000000e-01   -4.02155534e-03
145     -4.50000000e-01   -4.09161970e-03
146     -4.60000000e-01   -4.16439899e-03
147     -4.70000000e-01   -4.23981649e-03
148     -4.80000000e-01   -4.31779467e-03
149     -4.90000000e-01   -4.39825571e-03
150     -5.00000000e-01   -4.48112183e-03
151     -5.10000000e-01   -4.56631565e-03
152     -5.20000000e-01   -4.65376049e-03
153     -5.30000000e-01   -4.74338056e-03
154     -5.40000000e-01   -4.83510118e-03
155     -5.50000000e-01   -4.92884895e-03
156     -5.60000000e-01   -5.02455185e-03
157     -5.70000000e-01   -5.12213935e-03
158     -5.80000000e-01   -5.22154249e-03
159     -5.90000000e-01   -5.32269390e-03
160     -6.00000000e-01   -5.42552788e-03
161     -6.10000000e-01   -5.52998035e-03
162     -6.20000000e-01   -5.63598893e-03
163     -6.30000000e-01   -5.74349286e-03
164     -6.40000000e-01   -5.85243304e-03
165     -6.50000000e-01   -5.96275194e-03
166     -6.60000000e-01   -6.07439364e-03
167     -6.70000000e-01   -6.18730375e-03
168     -6.80000000e-01   -6.30142940e-03
169     -6.90000000e-01   -6.41671919e-03
170     -7.00000000e-01   -6.53312312e-03
171     -7.10000000e-01   -6.65059261e-03
172     -7.20000000e-01   -6.76908042e-03
173     -7.30000000e-01   -6.88854061e-03
174     -7.40000000e-01   -7.00892852e-03
175     -7.50000000e-01   -7.13020072e-03
176     -7.60000000e-01   -7.25231497e-03
177     -7.70000000e-01   -7.37523017e-03
178     -7.80000000e-01   -7.49890637e-03
179     -7.90000000e-01   -7.62330468e-03
180     -8.00000000e-01   -7.74838726e-03
181     -8.10000000e-01   -7.87411730e-03
182     -8.20000000e-01   -8.00045897e-03
183     -8.30000000e-01   -8.12737739e-03
184     -8.40000000e-01   -8.25483860e-03
185     -8.50000000e-01   -8.38280954e-03
186     -8.60000000e-01   -8.51125801e-03
187     -8.70000000e-01   -8.64015266e-03
188     -8.80000000e-01   -8.76946291e-03
189     -8.90000000e-01   -8.89915901e-03
190     -9.00000000e-01   -9.02921194e-03
191     -9.10000000e-01   -9.15959341e-03
192     -9.20000000e-01   -9.29027585e-03
193     -9.30000000e-01   -9.42123236e-03
194     -9.40000000e-01   -9.55243672e-03
195     -9.50000000e-01   -9.68386333e-03
196     -9.60000000e-01   -9.81548721e-03
