Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
44       2.9040187709e-10    4.5028585180e-01    2.0013604618e+00    2.0000000000e+00    4.1283376769e-03    7.9690244645e-04
45       3.0316030906e-10    4.5033140772e-01    2.0009427720e+00    2.0000000000e+00    4.4956349790e-03    8.6027712422e-04
46       3.1591874103e-10    4.5030462511e-01    2.0005503888e+00    2.0000000000e+00    4.8628713617e-03    9.2386379234e-04
47       3.2867717300e-10    4.5035335354e-01    2.0004024580e+00    2.0000000000e+00    5.2300710962e-03    9.8759560425e-04
48       3.4143560497e-10    4.5032045772e-01    2.0002209964e+00    2.0000000000e+00    5.5972481477e-03    1.0514107976e-03
49       3.5419403694e-10    4.5035680399e-01    2.0001726127e+00    2.0000000000e+00    5.9644026698e-03    1.1152891537e-03
50       3.7971090088e-10    4.5033121358e-01    2.0000473637e+00    2.0000000000e+00    6.6986802353e-03    1.2431311887e-03
51       4.0522776481e-10    4.5035931222e-01    2.0000370814e+00    2.0000000000e+00    7.4329164331e-03    1.3710441770e-03
52       4.5626149269e-10    4.5033560152e-01    1.9999899522e+00    2.0000000000e+00    8.9013152312e-03    1.6269166352e-03
53       5.0729522057e-10    4.5035945077e-01    2.0000110075e+00    2.0000000000e+00    1.0369617908e-02    1.8828045176e-03
54       6.0936267632e-10    4.5033718131e-01    1.9999893484e+00    2.0000000000e+00    1.3305967611e-02    2.3945344392e-03
55       7.1143013207e-10    4.5035975588e-01    2.0000101245e+00    2.0000000000e+00    1.6241966974e-02    2.9062100063e-03
56       9.1556504357e-10    4.5033890274e-01    1.9999899517e+00    2.0000000000e+00    2.2112929897e-02    3.9293802168e-03
57       1.1196999551e-09    4.5036122509e-01    2.0000097490e+00    2.0000000000e+00    2.7982501792e-02    4.9523205892e-03
58       1.5279697781e-09    4.5034173309e-01    1.9999902361e+00    2.0000000000e+00    3.9717487510e-02    6.9974953972e-03
59       1.9362396011e-09    4.5036458867e-01    2.0000095630e+00    2.0000000000e+00    5.1446921553e-02    9.0417402916e-03
60       2.7527792471e-09    4.5034709743e-01    1.9999903797e+00    2.0000000000e+00    7.4889156959e-02    1.3127425659e-02
61       3.5693188931e-09    4.5037152375e-01    2.0000094664e+00    2.0000000000e+00    9.8309223978e-02    1.7209385446e-02
62       5.2023981852e-09    4.5035766768e-01    1.9999904561e+00    2.0000000000e+00    1.4508294826e-01    2.5362126423e-02
63       6.8354774772e-09    4.5038546868e-01    2.0000094129e+00    2.0000000000e+00    1.9176825476e-01    3.3499994706e-02
64       1.0101636061e-08    4.5037865664e-01    1.9999905001e+00    2.0000000000e+00    2.8487433437e-01    4.9731216167e-02
65       1.3367794645e-08    4.5041326005e-01    2.0000093805e+00    2.0000000000e+00    3.7762874953e-01    6.5903260291e-02
66       1.9900111813e-08    4.5042024562e-01    1.9999905287e+00    2.0000000000e+00    5.6208840934e-01    9.8070761230e-02
67       2.6432428982e-08    4.5046823390e-01    2.0000093585e+00    2.0000000000e+00    7.4515732722e-01    1.3000411906e-01
68       3.9497063318e-08    4.5050197100e-01    1.9999905500e+00    2.0000000000e+00    1.1071694634e+00    1.9317600761e-01
69       5.2561697654e-08    4.5057566204e-01    2.0000093421e+00    2.0000000000e+00    1.4637437539e+00    2.5543158847e-01
70       6.5626331990e-08    4.5060645487e-01    1.9999905435e+00    2.0000000000e+00    1.8149662740e+00    3.1678437121e-01
71       7.8690966327e-08    4.5067727225e-01    2.0000093263e+00    2.0000000000e+00    2.1609216494e+00    3.7724764277e-01
72       1.0482023500e-07    4.5075696171e-01    1.9999905743e+00    2.0000000000e+00    2.8373749223e+00    4.9556281134e-01
73       1.3094950367e-07    4.5087364173e-01    2.0000093143e+00    2.0000000000e+00    3.4936784259e+00    6.1047125909e-01
74       1.5707877234e-07    4.5094488692e-01    1.9999905677e+00    2.0000000000e+00    4.1304496729e+00    7.2207193872e-01
75       1.8320804102e-07    4.5105348376e-01    2.0000093036e+00    2.0000000000e+00    4.7482866666e+00    8.3046079995e-01
76       2.0933730969e-07    4.5111692098e-01    1.9999905623e+00    2.0000000000e+00    5.3477686846e+00    9.3573109222e-01
77       2.3546657836e-07    4.5121806040e-01    2.0000092940e+00    2.0000000000e+00    5.9294566269e+00    1.0379732338e+00
78       2.6159584703e-07    4.5127431893e-01    1.9999905582e+00    2.0000000000e+00    6.4938937348e+00    1.1372750894e+00
79       3.1385438438e-07    4.5145027532e-01    2.0000093392e+00    2.0000000000e+00    7.5732071194e+00    1.3274289163e+00
80       3.6611292172e-07    4.5157320455e-01    1.9999905547e+00    2.0000000000e+00    8.5893087468e+00    1.5067940990e+00
81       4.1837145907e-07    4.5172740420e-01    2.0000093344e+00    2.0000000000e+00    9.5459583715e+00    1.6759852789e+00
82       4.7062999641e-07    4.5183006341e-01    1.9999905530e+00    2.0000000000e+00    1.0446688475e+01    1.8355822580e+00
83       5.2288853376e-07    4.5196552908e-01    2.0000093312e+00    2.0000000000e+00    1.1294817492e+01    1.9861313114e+00
84       5.7514707110e-07    4.5205079728e-01    1.9999905529e+00    2.0000000000e+00    1.2093463122e+01    2.1281477227e+00
85       6.2740560845e-07    4.5217025114e-01    2.0000093295e+00    2.0000000000e+00    1.2845553965e+01    2.2621169717e+00
86       6.7966414579e-07    4.5224071888e-01    1.9999905544e+00    2.0000000000e+00    1.3553841333e+01    2.3884969738e+00
87       7.3192268314e-07    4.5234660499e-01    2.0000093294e+00    2.0000000000e+00    1.4220909536e+01    2.5077191548e+00
88       8.3643975783e-07    4.5249529236e-01    1.9999906008e+00    2.0000000000e+00    1.5441588694e+01    2.7264496107e+00
89       9.4095683252e-07    4.5266401258e-01    2.0000093307e+00    2.0000000000e+00    1.6523705314e+01    2.9210600813e+00
90       1.0454739072e-06    4.5277213287e-01    1.9999906040e+00    2.0000000000e+00    1.7483108976e+01    3.0942167492e+00
91       1.1499909819e-06    4.5290567557e-01    2.0000093332e+00    2.0000000000e+00    1.8333816946e+01    3.2482895402e+00
92       1.2545080566e-06    4.5298326921e-01    1.9999906082e+00    2.0000000000e+00    1.9088227411e+01    3.3853862689e+00
93       1.3590251313e-06    4.5309050332e-01    2.0000093367e+00    2.0000000000e+00    1.9757306093e+01    3.5073805569e+00
94       1.4635422060e-06    4.5314543132e-01    1.9999906132e+00    2.0000000000e+00    2.0350752805e+01    3.6159388017e+00
95       1.5000000000e-06    4.5318177246e-01    2.0000092754e+00    2.0000000000e+00    2.0541457302e+01    3.6508931003e+00
96       1.5004550492e-06    4.5201862197e-01    1.9144143041e+00    1.9089901604e+00    2.0543233699e+01    3.6531753099e+00
97       1.5008486300e-06    4.4747439591e-01    1.8359904575e+00    1.8302740010e+00    2.0544194149e+01    3.6569436954e+00
98       1.5012422108e-06    4.4361478861e-01    1.7573253961e+00    1.7515578416e+00    2.0544878306e+01    3.6616964778e+00
99       1.5020293724e-06    4.6814216865e-01    1.6003930961e+00    1.5941255227e+00    2.0545540125e+01    3.6768675316e+00
100      1.5028165340e-06    7.1458630825e-01    1.4459898281e+00    1.4366932039e+00    2.0550908488e+01    3.6955241863e+00
101      1.5035116350e-06    1.0917335712e+00    1.3059725469e+00    1.2976730028e+00    2.0566584410e+01    3.7091294236e+00
102      1.5042067360e-06    1.4557746760e+00    1.1674394798e+00    1.1586528018e+00    2.0595117397e+01    3.7173346380e+00
103      1.5049018370e-06    1.7143502321e+00    1.0276285605e+00    1.0196326007e+00    2.0633086327e+01    3.7207612127e+00
104      1.5055969380e-06    1.7888025068e+00    8.8706901887e-01    8.8061239963e-01    2.0672354464e+01    3.7215478014e+00
105      1.5062920390e-06    1.7944886395e+00    7.4756198535e-01    7.4159219857e-01    2.0705985746e+01    3.7219062344e+00
106      1.5069871400e-06    1.7724667749e+00    6.0809168364e-01    6.0257199751e-01    2.0731643308e+01    3.7229836139e+00
107      1.5083773420e-06    1.7010605890e+00    3.2998373158e-01    3.2453159538e-01    2.0757580039e+01    3.7303679192e+00
108      1.5097675440e-06    1.8010580822e+00    5.4958170146e-02    4.6491193249e-02    2.0755549814e+01    3.7380989918e+00
109      1.5100000000e-06    1.8425322904e+00    8.4544451693e-03    1.9095836024e-14    2.0753119378e+01    3.7384951394e+00
110      1.5101251182e-06    1.8487293215e+00    2.2036598206e-03    0.0000000000e+00    2.0751653810e+01    3.7385227192e+00
111      1.5103753545e-06    1.8505695300e+00    3.3326614963e-04    0.0000000000e+00    2.0748704180e+01    3.7385544967e+00
112      1.5106255909e-06    1.8510552101e+00   -1.5115824724e-04    0.0000000000e+00    2.0745752490e+01    3.7385832451e+00
113      1.5111260636e-06    1.8508059434e+00    1.1136576690e-04    0.0000000000e+00    2.0739849417e+01    3.7386378781e+00
114      1.5121270091e-06    1.8510158691e+00   -9.0546671027e-05    0.0000000000e+00    2.0728054690e+01    3.7387483634e+00
115      1.5141289000e-06    1.8508506493e+00    8.4403890578e-05    0.0000000000e+00    2.0704504119e+01    3.7389673205e+00
116      1.5181326818e-06    1.8510215410e+00   -8.0016351366e-05    0.0000000000e+00    2.0657562295e+01    3.7394044261e+00
117      1.5261402453e-06    1.8508673906e+00    7.8667927971e-05    0.0000000000e+00    2.0564305700e+01    3.7402718655e+00
118      1.5421553725e-06    1.8510211941e+00   -7.7601090578e-05    0.0000000000e+00    2.0380273096e+01    3.7419887021e+00
119      1.5741856268e-06    1.8508533059e+00    7.7290453283e-05    0.0000000000e+00    2.0021899875e+01    3.7453529803e+00
120      1.6382461355e-06    1.8509735155e+00   -7.7009929284e-05    0.0000000000e+00    1.9342236531e+01    3.7518278776e+00
121      1.7663671528e-06    1.8507524821e+00    7.6948055443e-05    0.0000000000e+00    1.8118840341e+01    3.7638284970e+00
122      1.8944881701e-06    1.8508509635e+00   -7.6801048217e-05    0.0000000000e+00    1.7058543654e+01    3.7746407733e+00
123      2.0226091874e-06    1.8506515478e+00    7.6734174636e-05    0.0000000000e+00    1.6139594548e+01    3.7843562812e+00
124      2.1507302047e-06    1.8507678619e+00   -7.6592161852e-05    0.0000000000e+00    1.5343144897e+01    3.7930655168e+00
125      2.2788512220e-06    1.8505835305e+00    7.6521143154e-05    0.0000000000e+00    1.4652861802e+01    3.8008559123e+00
126      2.4069722393e-06    1.8507121700e+00   -7.6383348733e-05    0.0000000000e+00    1.4054592101e+01    3.8078113493e+00
127      2.5350932566e-06    1.8505385400e+00    7.6308945933e-05    0.0000000000e+00    1.3536069941e+01    3.8140099159e+00
128      2.6632142739e-06    1.8506757621e+00   -7.6174686889e-05    0.0000000000e+00    1.3086666285e+01    3.8195255132e+00
129      2.7913352912e-06    1.8505098353e+00    7.6097547416e-05    0.0000000000e+00    1.2697168452e+01    3.8244251824e+00
130      2.9194563085e-06    1.8506530508e+00   -7.5966252900e-05    0.0000000000e+00    1.2359593282e+01    3.8287720561e+00
131      3.0100000000e-06    1.8504971918e+00    7.5851626640e-05    0.0000000000e+00    1.2148710709e+01    3.8315374487e+00
132      3.0100000001e-06    1.8504943949e+00    1.9924356764e-03    2.9624384407e-08    1.2148710708e+01    3.8315374487e+00
133      3.0100000004e-06    1.8504938964e+00    1.9922746205e-03    8.8873068518e-08    1.2148710708e+01    3.8315374488e+00
134      3.0100000007e-06    1.8504938045e+00    1.9919479156e-03    1.4812175263e-07    1.2148710707e+01    3.8315374488e+00
135      3.0100000013e-06    1.8504938319e+00    1.9913673563e-03    2.6661920555e-07    1.2148710706e+01    3.8315374488e+00
136      3.0100000025e-06    1.8504937230e+00    1.9901532063e-03    5.0361411141e-07    1.2148710703e+01    3.8315374488e+00
137      3.0100000049e-06    1.8504936484e+00    1.9877856440e-03    9.7760383840e-07    1.2148710698e+01    3.8315374489e+00
138      3.0100000096e-06    1.8504933576e+00    1.9830487587e-03    1.9255832924e-06    1.2148710688e+01    3.8315374491e+00
139      3.0100000191e-06    1.8504928865e+00    1.9737960328e-03    3.8215422851e-06    1.2148710667e+01    3.8315374495e+00
140      3.0100000381e-06    1.8504917285e+00    1.9559238767e-03    7.6134602705e-06    1.2148710625e+01    3.8315374502e+00
141      3.0100000760e-06    1.8504892119e+00    1.9227452916e-03    1.5197296241e-05    1.2148710542e+01    3.8315374516e+00
142      3.0100001518e-06    1.8504828539e+00    1.8651113193e-03    3.0364968183e-05    1.2148710377e+01    3.8315374545e+00
143      3.0100003035e-06    1.8504665338e+00    1.7767933477e-03    6.0700312066e-05    1.2148710050e+01    3.8315374604e+00
144      3.0100006069e-06    1.8504255033e+00    1.6662266102e-03    1.2137099975e-04    1.2148709403e+01    3.8315374728e+00
145      3.0100012136e-06    1.8503373121e+00    1.5569041792e-03    2.4271237520e-04    1.2148708120e+01    3.8315374998e+00
146      3.0100024270e-06    1.8501892729e+00    1.4477483906e-03    4.8539512609e-04    1.2148705553e+01    3.8315375616e+00
147      3.0100048538e-06    1.8500081303e+00    1.3233231934e-03    9.7076062780e-04    1.2148700387e+01    3.8315377067e+00
148      3.0100097075e-06    1.8498585771e+00    1.2891217511e-03    1.9414916313e-03    1.2148690002e+01    3.8315380399e+00
149      3.0100194148e-06    1.8496683157e+00    1.6709535909e-03    3.8829536383e-03    1.2148669290e+01    3.8315387904e+00
150      3.0100388294e-06    1.8486558434e+00    3.3449256121e-03    7.7658776523e-03    1.2148628884e+01    3.8315408760e+00
151      3.0100776586e-06    1.8445711174e+00    8.7082211064e-03    1.5531725680e-02    1.2148554652e+01    3.8315500949e+00
152      3.0101553171e-06    1.8327761701e+00    2.2764544264e-02    3.1063421736e-02    1.2148440917e+01    3.8316009269e+00
153      3.0103106341e-06    1.8046961113e+00    5.3523379589e-02    6.2126813848e-02    1.2148367315e+01    3.8318750189e+00
154      3.0106212680e-06    1.7404547577e+00    1.1532711809e-01    1.2425359807e-01    1.2148800668e+01    3.8333089361e+00
155      3.0106989265e-06    1.7226259627e+00    1.3078613906e-01    1.3978529413e-01    1.2149042557e+01    3.8339223657e+00
156      3.0108542434e-06    1.6848786042e+00    1.6163575058e-01    1.7084868624e-01    1.2149598795e+01    3.8353588218e+00
157      3.0108930727e-06    1.6748819089e+00    1.6936399605e-01    1.7861453427e-01    1.2149764034e+01    3.8357988233e+00
158      3.0109707312e-06    1.6656370462e+00    1.8675353191e-01    1.9414623032e-01    1.2150128426e+01    3.8367020395e+00
159      3.0110483896e-06    1.6696109863e+00    2.0437628444e-01    2.0967792638e-01    1.2150578235e+01    3.8376105249e+00
160      3.0110678043e-06    1.6705620390e+00    2.0816733576e-01    2.1356085039e-01    1.2150709224e+01    3.8378311005e+00
161      3.0111066335e-06    1.6723889407e+00    2.1580152181e-01    2.2132669842e-01    1.2150982583e+01    3.8382682612e+00
162      3.0111842920e-06    1.6761450496e+00    2.3130807111e-01    2.3685839448e-01    1.2151598781e+01    3.8391184301e+00
163      3.0113396089e-06    1.6839315351e+00    2.6240725889e-01    2.6792178659e-01    1.2153116044e+01    3.8407215248e+00
