Index       V(D)              V(G)             I(V_D)          N(M:X1:1_T)   
0        1.00000000e-01   -1.60000000e+00    4.45560111e-16    2.07019328e-26
1        2.00000000e-01   -1.60000000e+00    1.33445168e-15    9.90881831e-26
2        3.00000000e-01   -1.60000000e+00    3.43298756e-15    3.36329331e-25
3        4.00000000e-01   -1.60000000e+00    8.22817616e-15    9.73111930e-25
4        5.00000000e-01   -1.60000000e+00    1.85871838e-14    2.53343093e-24
5        6.00000000e-01   -1.60000000e+00    3.97473131e-14    6.07991424e-24
6        7.00000000e-01   -1.60000000e+00    8.07287247e-14    1.36343872e-23
7        8.00000000e-01   -1.60000000e+00    1.56193648e-13    2.88185726e-23
8        9.00000000e-01   -1.60000000e+00    2.88678260e-13    5.77805703e-23
9        1.00000000e+00   -1.60000000e+00    5.11018228e-13    1.10481883e-22
10       1.10000000e+00   -1.60000000e+00    8.68711826e-13    2.02417809e-22
11       1.20000000e+00   -1.60000000e+00    1.42194206e-12    3.56876752e-22
12       1.30000000e+00   -1.60000000e+00    2.24701442e-12    6.07820671e-22
13       1.40000000e+00   -1.60000000e+00    3.43704275e-12    1.00357830e-21
14       1.50000000e+00   -1.60000000e+00    5.10180915e-12    1.61143037e-21
15       1.00000000e-01    4.00000000e-01    1.26012944e-08    1.33423833e-04
16       2.00000000e-01    4.00000000e-01    2.12322132e-08    4.49617809e-04
17       3.00000000e-01    4.00000000e-01    3.38341321e-08    1.07471800e-03
18       4.00000000e-01    4.00000000e-01    5.20671242e-08    2.20516852e-03
19       5.00000000e-01    4.00000000e-01    7.77342084e-08    4.11528910e-03
20       6.00000000e-01    4.00000000e-01    1.12930266e-07    7.17430301e-03
21       7.00000000e-01    4.00000000e-01    1.60086250e-07    1.18650649e-02
22       8.00000000e-01    4.00000000e-01    2.22148537e-07    1.88170438e-02
23       9.00000000e-01    4.00000000e-01    3.03163474e-07    2.88893125e-02
24       1.00000000e+00    4.00000000e-01    4.09913158e-07    4.34019744e-02
25       1.10000000e+00    4.00000000e-01    5.55925346e-07    6.47480140e-02
26       1.20000000e+00    4.00000000e-01    7.68738530e-07    9.76734394e-02
27       1.30000000e+00    4.00000000e-01    1.09378086e-06    1.50552672e-01
28       1.40000000e+00    4.00000000e-01    1.58137436e-06    2.34408095e-01
29       1.50000000e+00    4.00000000e-01    2.27399096e-06    3.61140504e-01
30       1.00000000e-01    1.60000000e+00    3.55328325e-05    3.76225121e-01
31       2.00000000e-01    1.60000000e+00    6.48443714e-05    1.37315723e+00
32       3.00000000e-01    1.60000000e+00    8.88259140e-05    2.82149284e+00
33       4.00000000e-01    1.60000000e+00    1.08236641e-04    4.58408150e+00
34       5.00000000e-01    1.60000000e+00    1.23689658e-04    6.54819264e+00
35       6.00000000e-01    1.60000000e+00    1.35841678e-04    8.62983241e+00
36       7.00000000e-01    1.60000000e+00    1.45626985e-04    1.07933929e+01
37       8.00000000e-01    1.60000000e+00    1.53876195e-04    1.30340543e+01
38       9.00000000e-01    1.60000000e+00    1.61136915e-04    1.53552065e+01
39       1.00000000e+00    1.60000000e+00    1.67752872e-04    1.77618445e+01
40       1.10000000e+00    1.60000000e+00    1.73941769e-04    2.02588423e+01
41       1.20000000e+00    1.60000000e+00    1.79844363e-04    2.28505155e+01
42       1.30000000e+00    1.60000000e+00    1.85554343e-04    2.55406538e+01
43       1.40000000e+00    1.60000000e+00    1.91136364e-04    2.83326869e+01
44       1.50000000e+00    1.60000000e+00    1.96637038e-04    3.12298397e+01
End of Xyce(TM) Simulation
