Index       TIME            V(OUT25)          V(OUT50)     
0        0.00000000e+00  -1.74924456e-119   -4.02627416e-07
1        5.00000000e-13    3.49995805e-04    3.13401161e-04
2        1.50000000e-12    1.05003798e-03    9.37779316e-04
3        3.50000000e-12    2.45031151e-03    2.18089239e-03
4        7.50000000e-12    5.25161272e-03    4.63946779e-03
5        1.55000000e-11    1.08572116e-02    9.49183895e-03
6        2.55000000e-11    1.78697700e-02    1.55028720e-02
7        3.55000000e-11    2.48884256e-02    2.14995980e-02
8        4.55000000e-11    3.19130955e-02    2.74991502e-02
9        5.55000000e-11    3.89437013e-02    3.35059542e-02
10       6.55000000e-11    4.59801692e-02    3.95211073e-02
11       7.55000000e-11    5.30222879e-02    4.55445458e-02
12       8.55000000e-11    6.00697038e-02    5.15763627e-02
13       9.55000000e-11    6.71224432e-02    5.76166167e-02
14       1.00000000e-10    7.02978993e-02    6.03375098e-02
15       1.01000000e-10    7.10037008e-02    6.10012229e-02
16       1.02000000e-10    7.17095547e-02    6.16654949e-02
17       1.04000000e-10    7.31214198e-02    6.29951304e-02
18       1.08000000e-10    7.59457777e-02    6.56594793e-02
19       1.16000000e-10    8.15969951e-02    7.10016976e-02
20       1.32000000e-10    9.29093739e-02    8.17157737e-02
21       1.64000000e-10    1.15573583e-01    1.03213928e-01
22       2.28000000e-10    1.61060978e-01    1.46521814e-01
23       3.56000000e-10    2.52885807e-01    2.37418718e-01
24       3.69577138e-10    2.62728459e-01    2.47775562e-01
25       3.83154275e-10    2.72602341e-01    2.58266275e-01
26       4.10308551e-10    2.92513435e-01    2.79613844e-01
27       4.37462826e-10    3.12755705e-01    3.01550825e-01
28       4.64617102e-10    3.33546369e-01    3.24223701e-01
29       4.89055949e-10    3.52980611e-01    3.45520143e-01
30       5.13494797e-10    3.73376290e-01    3.67877476e-01
31       5.37933645e-10    3.94938288e-01    3.91481704e-01
32       5.59928608e-10    4.15345961e-01    4.13776320e-01
33       5.81923571e-10    4.36476039e-01    4.36915205e-01
34       6.01615868e-10    4.55663191e-01    4.58085335e-01
35       6.19338935e-10    4.72857452e-01    4.77222518e-01
36       6.35289695e-10    4.88116147e-01    4.94298662e-01
37       6.51240455e-10    5.03111625e-01    5.11064123e-01
38       6.65322842e-10    5.16138056e-01    5.25519062e-01
39       6.77996991e-10    5.27710272e-01    5.38217721e-01
40       6.89403724e-10    5.38016989e-01    5.49391203e-01
41       7.00810458e-10    5.48229704e-01    5.60329784e-01
42       7.10928206e-10    5.57214384e-01    5.69846309e-01
43       7.21045955e-10    5.66131065e-01    5.79198527e-01
44       7.31163704e-10    5.74981546e-01    5.88398070e-01
45       7.40269678e-10    5.82892716e-01    5.96557586e-01
46       7.49375651e-10    5.90755950e-01    6.04613834e-01
47       7.57571028e-10    5.97796097e-01    6.11785378e-01
48       7.65766404e-10    6.04806747e-01    6.18891422e-01
49       7.73142243e-10    6.11096114e-01    6.25238712e-01
50       7.80518082e-10    6.17371784e-01    6.31548199e-01
51       7.87893921e-10    6.23639296e-01    6.37827482e-01
52       7.95269759e-10    6.29904354e-01    6.44084209e-01
53       8.01908014e-10    6.35545384e-01    6.49702101e-01
54       8.08546269e-10    6.41192999e-01    6.55313213e-01
55       8.15184524e-10    6.46850875e-01    6.60922635e-01
56       8.21158954e-10    6.51954422e-01    6.65973552e-01
57       8.27133383e-10    6.57071118e-01    6.71030217e-01
58       8.33107812e-10    6.62202692e-01    6.76095560e-01
59       8.39082242e-10    6.67350027e-01    6.81172204e-01
60       8.44459228e-10    6.71994710e-01    6.85752718e-01
61       8.49836215e-10    6.76642440e-01    6.90345711e-01
62       8.55213201e-10    6.81262104e-01    6.94952408e-01
63       8.60590188e-10    6.85754269e-01    6.99573829e-01
64       8.65429476e-10    6.89474603e-01    7.03746366e-01
65       8.70268763e-10    6.92401133e-01    7.07931969e-01
66       8.75108051e-10    6.93532678e-01    7.12130990e-01
67       8.79947339e-10    6.90987789e-01    7.16343680e-01
68       8.84786627e-10    6.81769912e-01    7.20570195e-01
69       8.89625915e-10    6.61877969e-01    7.24810609e-01
70       8.94465203e-10    6.22934266e-01    7.29064919e-01
71       8.99304490e-10    5.60098224e-01    7.33333059e-01
72       9.03659850e-10    4.92464920e-01    7.37186111e-01
73       9.08015209e-10    4.24796534e-01    7.41050147e-01
74       9.12370568e-10    3.66137586e-01    7.44925015e-01
75       9.16725927e-10    3.18874834e-01    7.48810544e-01
76       9.21081286e-10    2.78274397e-01    7.52706541e-01
77       9.25436645e-10    2.42366347e-01    7.56612801e-01
78       9.29792004e-10    2.10701420e-01    7.60529103e-01
79       9.34147363e-10    1.82987927e-01    7.64455217e-01
80       9.38502722e-10    1.58868826e-01    7.68390906e-01
81       9.42858081e-10    1.38058917e-01    7.72335927e-01
82       9.47213440e-10    1.20241979e-01    7.76290036e-01
83       9.51568799e-10    1.05069764e-01    7.80252985e-01
84       9.55924158e-10    9.21999060e-02    7.84224527e-01
85       9.60279517e-10    8.13127308e-02    7.88204418e-01
86       9.64634876e-10    7.21181198e-02    7.92192414e-01
87       9.68990235e-10    6.43605551e-02    7.96188277e-01
88       9.73345594e-10    5.78191204e-02    8.00191773e-01
89       9.77700953e-10    5.23049376e-02    8.04202675e-01
90       9.82056312e-10    4.76574009e-02    8.08220769e-01
91       9.86411671e-10    4.37406328e-02    8.12245867e-01
92       9.90767031e-10    4.04396352e-02    8.16277856e-01
93       9.95122390e-10    3.76573137e-02    8.20316853e-01
94       9.99477749e-10    3.53115253e-02    8.24363674e-01
95       1.00000000e-09    3.50567648e-02    8.24849508e-01
96       1.00039198e-09    3.45124393e-02    8.24830033e-01
97       1.00078396e-09    3.39751885e-02    8.24811468e-01
98       1.00156793e-09    3.29148805e-02    8.24776109e-01
99       1.00313586e-09    3.08785573e-02    8.24715284e-01
100      1.00627172e-09    2.71343666e-02    8.24627846e-01
101      1.00940758e-09    2.38081985e-02    8.24581135e-01
102      1.01254343e-09    2.08677730e-02    8.24575468e-01
103      1.01567929e-09    1.82769955e-02    8.24623152e-01
104      1.01881515e-09    1.59995167e-02    8.24755423e-01
105      1.02195101e-09    1.40006339e-02    8.25035251e-01
106      1.02508687e-09    1.22482188e-02    8.25579242e-01
107      1.02822273e-09    1.07130854e-02    8.26592872e-01
108      1.03135859e-09    9.36904119e-03    8.28423548e-01
109      1.03449444e-09    8.19276870e-03    8.31633825e-01
110      1.03763030e-09    7.16362184e-03    8.37089361e-01
111      1.04076616e-09    6.26338760e-03    8.46040258e-01
112      1.04390202e-09    5.47604027e-03    8.60155824e-01
113      1.04703788e-09    4.78750394e-03    8.81483769e-01
114      1.05017374e-09    4.18543081e-03    9.12528281e-01
115      1.05330959e-09    3.65899867e-03    9.57089160e-01
116      1.05644545e-09    3.19872856e-03    1.02272473e+00
117      1.05958131e-09    2.79632185e-03    1.12262612e+00
118      1.06271717e-09    2.44451580e-03    1.22436456e+00
119      1.06585303e-09    2.13695584e-03    1.28984501e+00
120      1.06898889e-09    1.86808308e-03    1.33276446e+00
121      1.07526060e-09    1.42581272e-03    1.38846531e+00
122      1.08153232e-09    1.08825103e-03    1.42181917e+00
123      1.08780404e-09    8.30619337e-04    1.44276175e+00
124      1.09407576e-09    6.33997290e-04    1.45708770e+00
125      1.10034747e-09    4.83940453e-04    1.46763193e+00
126      1.10661919e-09    3.69422726e-04    1.47549380e+00
127      1.11916262e-09    2.13141621e-04    1.48568644e+00
128      1.13170606e-09    1.23052932e-04    1.49123554e+00
129      1.14424949e-09    7.11219890e-05    1.49445916e+00
130      1.16933636e-09    2.17150959e-05    1.49779019e+00
131      1.19442323e-09    6.84675045e-06    1.49906449e+00
132      1.21951010e-09    2.37209209e-06    1.49957994e+00
133      1.26968383e-09    3.76141206e-07    1.49992348e+00
134      1.31985757e-09    4.47858973e-07    1.49997199e+00
135      1.42020504e-09    4.44414159e-07    1.49999990e+00
136      1.52055251e-09    4.45635255e-07    1.50003764e+00
137      1.62089999e-09    4.45152305e-07    1.49997024e+00
138      1.72124746e-09    4.45291274e-07    1.49998092e+00
139      1.82159493e-09    4.45203922e-07    1.49997927e+00
140      1.92194240e-09    4.45198247e-07    1.49998928e+00
141      2.12263735e-09    4.45135333e-07    1.49999397e+00
142      2.32333229e-09    4.45086337e-07    1.50000333e+00
143      2.52402724e-09    4.45029625e-07    1.50000690e+00
144      2.72472218e-09    4.44977044e-07    1.50000733e+00
145      2.92541713e-09    4.44922894e-07    1.50000445e+00
146      2.94538618e-09    4.44917210e-07    1.50000104e+00
147      2.96535524e-09    4.44912094e-07    1.50000127e+00
148      3.00529335e-09    4.44901510e-07    1.50001518e+00
149      3.04523146e-09    4.44890842e-07    1.50002472e+00
150      3.08516957e-09    4.44880160e-07    1.50002195e+00
151      3.12510769e-09    4.44869486e-07    1.50001697e+00
152      3.16504580e-09    4.44858812e-07    1.50001634e+00
153      3.16870888e-09    4.44857833e-07    1.50001767e+00
154      3.17603504e-09    4.44855876e-07    1.50002340e+00
155      3.18336120e-09    4.44853919e-07    1.50002663e+00
156      3.19068736e-09    4.44851962e-07    1.50002411e+00
157      3.19801352e-09    4.44850005e-07    1.50002026e+00
158      3.20833647e-09    4.44847244e-07    1.50002422e+00
159      3.21418621e-09    4.44845681e-07    1.50003642e+00
160      3.22003594e-09    4.44844119e-07    1.50004960e+00
161      3.22530070e-09    4.44842713e-07    1.50006308e+00
162      3.22977082e-09    4.44841519e-07    1.50007304e+00
163      3.23254848e-09    4.44840777e-07    1.50007732e+00
164      3.23532614e-09    4.44840036e-07    1.50007919e+00
165      3.23810380e-09    4.44839294e-07    1.50007922e+00
166      3.24088146e-09    4.44838553e-07    1.50007866e+00
167      3.24643678e-09    4.44837071e-07    1.50006985e+00
168      3.25199209e-09    4.44835589e-07    1.50005414e+00
169      3.25754741e-09    4.44834106e-07    1.50003910e+00
170      3.25841210e-09    4.44833876e-07    1.50003719e+00
171      3.26014147e-09    4.44833415e-07    1.50003418e+00
172      3.26187083e-09    4.44832953e-07    1.50003405e+00
173      3.26360020e-09    4.44832492e-07    1.50003538e+00
174      3.26532957e-09    4.44832030e-07    1.50003368e+00
175      3.26705894e-09    4.44831569e-07    1.50002908e+00
176      3.27051768e-09    4.44830645e-07    1.50001527e+00
177      3.27160454e-09    4.44830355e-07    1.50001006e+00
178      3.27269141e-09    4.44830065e-07    1.50000514e+00
179      3.27486515e-09    4.44829485e-07    1.49999637e+00
180      3.27703888e-09    4.44828905e-07    1.49998884e+00
181      3.27921261e-09    4.44828325e-07    1.49998172e+00
182      3.28356008e-09    4.44827165e-07    1.49996936e+00
183      3.28790755e-09    4.44826004e-07    1.49996029e+00
184      3.29225502e-09    4.44824844e-07    1.49995422e+00
185      3.29660249e-09    4.44823683e-07    1.49995029e+00
186      3.30051521e-09    4.44822639e-07    1.49994858e+00
187      3.30442793e-09    4.44821595e-07    1.49994790e+00
188      3.30834065e-09    4.44820552e-07    1.49994777e+00
189      3.31225338e-09    4.44819507e-07    1.49994766e+00
190      3.31616610e-09    4.44818462e-07    1.49994730e+00
191      3.31946868e-09    4.44817583e-07    1.49994687e+00
192      3.32233751e-09    4.44816822e-07    1.49994546e+00
193      3.32520634e-09    4.44816050e-07    1.49994398e+00
