Index       TIME              V(2)              V(3)              V(5)              V(7)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-13    1.25000000e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00
2        1.50000000e-12    3.75000000e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00
3        3.50000000e-12    8.75000000e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00
4        7.50000000e-12    1.87500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
5        1.55000000e-11    3.87500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
6        3.15000000e-11    7.87500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
7        6.35000000e-11    1.58750000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
8        1.00000000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
9        1.06400000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
10       1.19200000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
11       1.44800000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
12       1.96000000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
13       2.98400000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
14       5.03200000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
15       9.12800000e-10    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
16       1.73200000e-09    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
17       3.37040000e-09    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
18       5.10000000e-09    2.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
19       5.10062500e-09    2.48437500e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
