Index       V(1)              I(V1)             R1:R       
56       5.60000000e+00   -5.60000000e-01    1.00000000e+01
57       5.70000000e+00   -5.70000000e-01    1.00000000e+01
58       5.80000000e+00   -5.80000000e-01    1.00000000e+01
59       5.90000000e+00   -5.90000000e-01    1.00000000e+01
60       6.00000000e+00   -6.00000000e-01    1.00000000e+01
61       6.10000000e+00   -6.10000000e-01    1.00000000e+01
62       6.20000000e+00   -6.20000000e-01    1.00000000e+01
63       6.30000000e+00   -6.30000000e-01    1.00000000e+01
64       6.40000000e+00   -6.40000000e-01    1.00000000e+01
65       6.50000000e+00   -6.50000000e-01    1.00000000e+01
66       6.60000000e+00   -6.60000000e-01    1.00000000e+01
67       6.70000000e+00   -6.70000000e-01    1.00000000e+01
68       6.80000000e+00   -6.80000000e-01    1.00000000e+01
69       6.90000000e+00   -6.90000000e-01    1.00000000e+01
70       7.00000000e+00   -7.00000000e-01    1.00000000e+01
71       7.10000000e+00   -7.10000000e-01    1.00000000e+01
72       7.20000000e+00   -7.20000000e-01    1.00000000e+01
73       7.30000000e+00   -7.30000000e-01    1.00000000e+01
74       7.40000000e+00   -7.40000000e-01    1.00000000e+01
75       7.50000000e+00   -7.50000000e-01    1.00000000e+01
76       7.60000000e+00   -7.60000000e-01    1.00000000e+01
77       7.70000000e+00   -7.70000000e-01    1.00000000e+01
78       7.80000000e+00   -7.80000000e-01    1.00000000e+01
79       7.90000000e+00   -7.90000000e-01    1.00000000e+01
80       8.00000000e+00   -8.00000000e-01    1.00000000e+01
81       8.10000000e+00   -8.10000000e-01    1.00000000e+01
82       8.20000000e+00   -8.20000000e-01    1.00000000e+01
83       8.30000000e+00   -8.30000000e-01    1.00000000e+01
84       8.40000000e+00   -8.40000000e-01    1.00000000e+01
85       8.50000000e+00   -8.50000000e-01    1.00000000e+01
86       8.60000000e+00   -8.60000000e-01    1.00000000e+01
87       8.70000000e+00   -8.70000000e-01    1.00000000e+01
88       8.80000000e+00   -8.80000000e-01    1.00000000e+01
89       8.90000000e+00   -8.90000000e-01    1.00000000e+01
90       9.00000000e+00   -9.00000000e-01    1.00000000e+01
91       9.10000000e+00   -9.10000000e-01    1.00000000e+01
92       9.20000000e+00   -9.20000000e-01    1.00000000e+01
93       9.30000000e+00   -9.30000000e-01    1.00000000e+01
94       9.40000000e+00   -9.40000000e-01    1.00000000e+01
95       9.50000000e+00   -9.50000000e-01    1.00000000e+01
96       9.60000000e+00   -9.60000000e-01    1.00000000e+01
97       9.70000000e+00   -9.70000000e-01    1.00000000e+01
98       9.80000000e+00   -9.80000000e-01    1.00000000e+01
99       9.90000000e+00   -9.90000000e-01    1.00000000e+01
100      1.00000000e+01   -1.00000000e+00    1.00000000e+01
End of Xyce(TM) Simulation
