Index         TIME            {V(VOUT)+1}         {V(IN)+1}          {V(1)+1}
0       0.0000000000e+00   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
1       7.5000000000e-09   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
2       2.2500000000e-08   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
3       5.2500000000e-08   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
4       1.1250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
5       2.3250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
6       3.8250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
7       5.3250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
8       6.8250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
9       8.3250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
10      9.8250000000e-07   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
11      1.1325000000e-06   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
12      1.2825000000e-06   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
13      1.4325000000e-06   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
14      1.5000000000e-06   1.0000000019e+00   6.0000000000e+00   6.0000000000e+00   
15      1.5000250000e-06   9.9999760272e-01   5.9994227082e+00   5.9750000000e+00   
16      1.5000750000e-06   9.9998331168e-01   5.9961092499e+00   5.9250000000e+00   
17      1.5001750000e-06   9.9994528546e-01   5.9816160077e+00   5.8250000000e+00   
18      1.5002750000e-06   9.9991328552e-01   5.9599399688e+00   5.7250000000e+00   
19      1.5004750000e-06   9.9988934361e-01   5.8923936637e+00   5.5250000000e+00   
20      1.5006750000e-06   9.9989270262e-01   5.8044377762e+00   5.3250000000e+00   
21      1.5010750000e-06   9.9992897961e-01   5.5688083998e+00   4.9250000000e+00   
22      1.5014750000e-06   9.9995918194e-01   5.2893885444e+00   4.5250000000e+00   
23      1.5018750000e-06   9.9996648101e-01   4.9672195673e+00   4.1250000000e+00   
24      1.5022750000e-06   9.9993404199e-01   4.5793430228e+00   3.7250000000e+00   
25      1.5026011878e-06   9.9994781169e-01   4.2377702838e+00   3.3988122146e+00   
26      1.5027280955e-06   1.0000365740e+00   4.1108520274e+00   3.2719044552e+00   
27      1.5028550033e-06   1.0001717327e+00   3.9847710377e+00   3.1449966958e+00   
28      1.5029819111e-06   1.0003416893e+00   3.8592623846e+00   3.0180889364e+00   
29      1.5030895669e-06   1.0005111026e+00   3.7532800967e+00   2.9104330739e+00   
30      1.5031972228e-06   1.0007034439e+00   3.6478463110e+00   2.8027772114e+00   
31      1.5032848229e-06   1.0008777454e+00   3.5624608484e+00   2.7151770535e+00   
32      1.5033724231e-06   1.0010701428e+00   3.4775156924e+00   2.6275768955e+00   
33      1.5034457559e-06   1.0012469060e+00   3.4067369034e+00   2.5542440767e+00   
34      1.5035190887e-06   1.0014407431e+00   3.3363025797e+00   2.4809112580e+00   
35      1.5035924216e-06   1.0016544868e+00   3.2662135123e+00   2.4075784392e+00   
36      1.5036657544e-06   1.0018933629e+00   3.1964433352e+00   2.3342456205e+00   
37      1.5037390872e-06   1.0021667309e+00   3.1268918721e+00   2.2609128017e+00   
38      1.5038040851e-06   1.0024527148e+00   3.0651591741e+00   2.1959149394e+00   
39      1.5038690829e-06   1.0028137766e+00   3.0025673864e+00   2.1309170770e+00   
40      1.5039272256e-06   1.0033069565e+00   2.9425482459e+00   2.0727743880e+00   
41      1.5039748942e-06   1.0038999126e+00   2.8881686815e+00   2.0251058486e+00   
42      1.5040177866e-06   1.0044933191e+00   2.8377760903e+00   1.9822133511e+00   
43      1.5040606791e-06   1.0050499339e+00   2.7879357737e+00   1.9393208536e+00   
44      1.5041035716e-06   1.0055506061e+00   2.7384890665e+00   1.8964283561e+00   
45      1.5041464641e-06   1.0059996948e+00   2.6894118975e+00   1.8535358586e+00   
46      1.5041893566e-06   1.0064082615e+00   2.6405308454e+00   1.8106433610e+00   
47      1.5042322491e-06   1.0067910227e+00   2.5915641708e+00   1.7677508635e+00   
48      1.5042751416e-06   1.0071616243e+00   2.5423871414e+00   1.7248583660e+00   
49      1.5043180341e-06   1.0075312081e+00   2.4929893226e+00   1.6819658685e+00   
50      1.5043609266e-06   1.0079085280e+00   2.4433749257e+00   1.6390733710e+00   
51      1.5044038191e-06   1.0083004952e+00   2.3935484231e+00   1.5961808735e+00   
52      1.5044467116e-06   1.0087120609e+00   2.3437613577e+00   1.5532883759e+00   
53      1.5044896041e-06   1.0091462105e+00   2.2951954724e+00   1.5103958784e+00   
54      1.5045753891e-06   1.0103610052e+00   2.2035597298e+00   1.4246108834e+00   
55      1.5046393448e-06   1.0117710303e+00   2.1388748222e+00   1.3606551793e+00   
56      1.5047033005e-06   1.0132689305e+00   2.0766418091e+00   1.2966994753e+00   
57      1.5047672562e-06   1.0144784507e+00   2.0162189345e+00   1.2327437712e+00   
58      1.5048312119e-06   1.0152445885e+00   1.9563269069e+00   1.1687880672e+00   
59      1.5048951676e-06   1.0154097892e+00   1.8961285367e+00   1.1048323631e+00   
60      1.5049591233e-06   1.0146355029e+00   1.8411181690e+00   1.0408766590e+00   
61      1.5050000000e-06   1.0135385531e+00   1.8120991416e+00   1.0000000000e+00   
62      1.5050639557e-06   1.0106214686e+00   1.7790389213e+00   1.0000000000e+00   
63      1.5051279114e-06   1.0067845463e+00   1.7547865849e+00   1.0000000000e+00   
64      1.5051918671e-06   1.0023039593e+00   1.7359172849e+00   1.0000000000e+00   
65      1.5052558228e-06   9.9738684634e-01   1.7202834497e+00   1.0000000000e+00   
66      1.5053197785e-06   9.9218851816e-01   1.7065101850e+00   1.0000000000e+00   
67      1.5053837342e-06   9.8684772725e-01   1.6937943816e+00   1.0000000000e+00   
68      1.5055116456e-06   9.7593351840e-01   1.6707609092e+00   1.0000000000e+00   
