Index       TIME              V(1A)             V(2A)             V(3A)             V(4A)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
2        1.50000000e-07    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
3        3.50000000e-07    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
4        7.50000000e-07    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
5        1.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
6        2.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
7        3.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
8        4.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
9        5.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
10       6.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
11       7.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
12       8.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
13       9.55000000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
14       1.00000000e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
15       1.00003906e-05    4.20676800e-12    4.20676800e-12    2.24393956e-12    2.24393956e-12
16       1.00007031e-05    1.02642588e-11    1.02642588e-11    5.47507642e-12    5.47507642e-12
17       1.00013281e-05    2.77635892e-11    2.77635892e-11    1.48094253e-11    1.48094253e-11
18       1.00025781e-05    9.50683433e-11    9.50683433e-11    5.07105734e-11    5.07105734e-11
19       1.00050780e-05    3.58902218e-10    3.58902218e-10    1.91442670e-10    1.91442670e-10
20       1.00100778e-05    1.40346739e-09    1.40346739e-09    7.48626052e-10    7.48626052e-10
21       1.00200776e-05    5.56018707e-09    5.56018707e-09    2.96586947e-09    2.96586947e-09
22       1.00400770e-05    2.21439809e-08    2.21439809e-08    1.18118621e-08    1.18118621e-08
23       1.00800758e-05    8.83929638e-08    8.83929638e-08    4.71498641e-08    4.71498641e-08
24       1.01600735e-05    3.53216328e-07    3.53216328e-07    1.88409883e-07    1.88409883e-07
25       1.03200688e-05    1.41216319e-06    1.41216319e-06    7.53265566e-07    7.53265566e-07
26       1.06400595e-05    5.64724577e-06    5.64724577e-06    3.01231619e-06    3.01231619e-06
