Index     V(DRAIN)           V(GATE)          I(VDRAIN)    
85       8.50000000e-02    1.00000000e+00   -8.47534469e-04
86       8.60000000e-02    1.00000000e+00   -8.57425624e-04
87       8.70000000e-02    1.00000000e+00   -8.67314322e-04
88       8.80000000e-02    1.00000000e+00   -8.77200539e-04
89       8.90000000e-02    1.00000000e+00   -8.87084255e-04
90       9.00000000e-02    1.00000000e+00   -8.96965447e-04
91       9.10000000e-02    1.00000000e+00   -9.06844095e-04
92       9.20000000e-02    1.00000000e+00   -9.16720174e-04
93       9.30000000e-02    1.00000000e+00   -9.26593663e-04
94       9.40000000e-02    1.00000000e+00   -9.36464539e-04
95       9.50000000e-02    1.00000000e+00   -9.46332780e-04
96       9.60000000e-02    1.00000000e+00   -9.56198362e-04
97       9.70000000e-02    1.00000000e+00   -9.66061263e-04
98       9.80000000e-02    1.00000000e+00   -9.75921459e-04
99       9.90000000e-02    1.00000000e+00   -9.85778927e-04
100      1.00000000e-01    1.00000000e+00   -9.95633642e-04
101      1.01000000e-01    1.00000000e+00   -1.00548558e-03
102      1.02000000e-01    1.00000000e+00   -1.01533472e-03
103      1.03000000e-01    1.00000000e+00   -1.02518104e-03
104      1.04000000e-01    1.00000000e+00   -1.03502450e-03
105      1.05000000e-01    1.00000000e+00   -1.04486509e-03
106      1.06000000e-01    1.00000000e+00   -1.05470279e-03
107      1.07000000e-01    1.00000000e+00   -1.06453756e-03
108      1.08000000e-01    1.00000000e+00   -1.07436938e-03
109      1.09000000e-01    1.00000000e+00   -1.08419823e-03
110      1.10000000e-01    1.00000000e+00   -1.09402407e-03
111      1.11000000e-01    1.00000000e+00   -1.10384689e-03
112      1.12000000e-01    1.00000000e+00   -1.11366666e-03
113      1.13000000e-01    1.00000000e+00   -1.12348335e-03
114      1.14000000e-01    1.00000000e+00   -1.13329693e-03
115      1.15000000e-01    1.00000000e+00   -1.14310738e-03
116      1.16000000e-01    1.00000000e+00   -1.15291467e-03
117      1.17000000e-01    1.00000000e+00   -1.16271877e-03
118      1.18000000e-01    1.00000000e+00   -1.17251966e-03
119      1.19000000e-01    1.00000000e+00   -1.18231730e-03
120      1.20000000e-01    1.00000000e+00   -1.19211168e-03
121      1.21000000e-01    1.00000000e+00   -1.20190275e-03
122      1.22000000e-01    1.00000000e+00   -1.21169050e-03
123      1.23000000e-01    1.00000000e+00   -1.22147488e-03
124      1.24000000e-01    1.00000000e+00   -1.23125589e-03
125      1.25000000e-01    1.00000000e+00   -1.24103347e-03
126      1.26000000e-01    1.00000000e+00   -1.25080761e-03
127      1.27000000e-01    1.00000000e+00   -1.26057828e-03
128      1.28000000e-01    1.00000000e+00   -1.27034544e-03
129      1.29000000e-01    1.00000000e+00   -1.28010906e-03
130      1.30000000e-01    1.00000000e+00   -1.28986911e-03
131      1.31000000e-01    1.00000000e+00   -1.29962557e-03
132      1.32000000e-01    1.00000000e+00   -1.30937840e-03
133      1.33000000e-01    1.00000000e+00   -1.31912757e-03
134      1.34000000e-01    1.00000000e+00   -1.32887304e-03
135      1.35000000e-01    1.00000000e+00   -1.33861479e-03
136      1.36000000e-01    1.00000000e+00   -1.34835278e-03
137      1.37000000e-01    1.00000000e+00   -1.35808698e-03
138      1.38000000e-01    1.00000000e+00   -1.36781736e-03
139      1.39000000e-01    1.00000000e+00   -1.37754388e-03
140      1.40000000e-01    1.00000000e+00   -1.38726651e-03
141      1.41000000e-01    1.00000000e+00   -1.39698521e-03
142      1.42000000e-01    1.00000000e+00   -1.40669996e-03
143      1.43000000e-01    1.00000000e+00   -1.41641071e-03
144      1.44000000e-01    1.00000000e+00   -1.42611744e-03
145      1.45000000e-01    1.00000000e+00   -1.43582010e-03
146      1.46000000e-01    1.00000000e+00   -1.44551867e-03
147      1.47000000e-01    1.00000000e+00   -1.45521310e-03
148      1.48000000e-01    1.00000000e+00   -1.46490336e-03
149      1.49000000e-01    1.00000000e+00   -1.47458941e-03
150      1.50000000e-01    1.00000000e+00   -1.48427122e-03
151      1.51000000e-01    1.00000000e+00   -1.49394875e-03
152      1.52000000e-01    1.00000000e+00   -1.50362196e-03
153      1.53000000e-01    1.00000000e+00   -1.51329082e-03
154      1.54000000e-01    1.00000000e+00   -1.52295528e-03
155      1.55000000e-01    1.00000000e+00   -1.53261531e-03
156      1.56000000e-01    1.00000000e+00   -1.54227087e-03
157      1.57000000e-01    1.00000000e+00   -1.55192193e-03
158      1.58000000e-01    1.00000000e+00   -1.56156843e-03
159      1.59000000e-01    1.00000000e+00   -1.57121035e-03
160      1.60000000e-01    1.00000000e+00   -1.58084763e-03
161      1.61000000e-01    1.00000000e+00   -1.59048025e-03
162      1.62000000e-01    1.00000000e+00   -1.60010816e-03
163      1.63000000e-01    1.00000000e+00   -1.60973133e-03
164      1.64000000e-01    1.00000000e+00   -1.61934969e-03
165      1.65000000e-01    1.00000000e+00   -1.62896323e-03
166      1.66000000e-01    1.00000000e+00   -1.63857189e-03
167      1.67000000e-01    1.00000000e+00   -1.64817564e-03
168      1.68000000e-01    1.00000000e+00   -1.65777443e-03
169      1.69000000e-01    1.00000000e+00   -1.66736821e-03
170      1.70000000e-01    1.00000000e+00   -1.67695694e-03
171      1.71000000e-01    1.00000000e+00   -1.68654059e-03
172      1.72000000e-01    1.00000000e+00   -1.69611910e-03
173      1.73000000e-01    1.00000000e+00   -1.70569244e-03
174      1.74000000e-01    1.00000000e+00   -1.71526055e-03
175      1.75000000e-01    1.00000000e+00   -1.72482339e-03
176      1.76000000e-01    1.00000000e+00   -1.73438092e-03
177      1.77000000e-01    1.00000000e+00   -1.74393309e-03
178      1.78000000e-01    1.00000000e+00   -1.75347985e-03
179      1.79000000e-01    1.00000000e+00   -1.76302116e-03
180      1.80000000e-01    1.00000000e+00   -1.77255697e-03
181      1.81000000e-01    1.00000000e+00   -1.78208724e-03
182      1.82000000e-01    1.00000000e+00   -1.79161190e-03
183      1.83000000e-01    1.00000000e+00   -1.80113093e-03
184      1.84000000e-01    1.00000000e+00   -1.81064426e-03
185      1.85000000e-01    1.00000000e+00   -1.82015185e-03
186      1.86000000e-01    1.00000000e+00   -1.82965365e-03
187      1.87000000e-01    1.00000000e+00   -1.83914962e-03
188      1.88000000e-01    1.00000000e+00   -1.84863969e-03
189      1.89000000e-01    1.00000000e+00   -1.85812382e-03
190      1.90000000e-01    1.00000000e+00   -1.86760196e-03
191      1.91000000e-01    1.00000000e+00   -1.87707406e-03
192      1.92000000e-01    1.00000000e+00   -1.88654007e-03
193      1.93000000e-01    1.00000000e+00   -1.89599993e-03
194      1.94000000e-01    1.00000000e+00   -1.90545359e-03
195      1.95000000e-01    1.00000000e+00   -1.91490100e-03
196      1.96000000e-01    1.00000000e+00   -1.92434211e-03
197      1.97000000e-01    1.00000000e+00   -1.93377686e-03
198      1.98000000e-01    1.00000000e+00   -1.94320519e-03
199      1.99000000e-01    1.00000000e+00   -1.95262706e-03
200      2.00000000e-01    1.00000000e+00   -1.96204241e-03
201      2.01000000e-01    1.00000000e+00   -1.97145118e-03
202      2.02000000e-01    1.00000000e+00   -1.98085332e-03
203      2.03000000e-01    1.00000000e+00   -1.99024877e-03
204      2.04000000e-01    1.00000000e+00   -1.99963748e-03
205      2.05000000e-01    1.00000000e+00   -2.00901938e-03
206      2.06000000e-01    1.00000000e+00   -2.01839443e-03
207      2.07000000e-01    1.00000000e+00   -2.02776256e-03
208      2.08000000e-01    1.00000000e+00   -2.03712371e-03
209      2.09000000e-01    1.00000000e+00   -2.04647783e-03
210      2.10000000e-01    1.00000000e+00   -2.05582486e-03
211      2.11000000e-01    1.00000000e+00   -2.06516473e-03
212      2.12000000e-01    1.00000000e+00   -2.07449739e-03
213      2.13000000e-01    1.00000000e+00   -2.08382278e-03
214      2.14000000e-01    1.00000000e+00   -2.09314084e-03
215      2.15000000e-01    1.00000000e+00   -2.10245150e-03
216      2.16000000e-01    1.00000000e+00   -2.11175471e-03
217      2.17000000e-01    1.00000000e+00   -2.12105040e-03
218      2.18000000e-01    1.00000000e+00   -2.13033851e-03
219      2.19000000e-01    1.00000000e+00   -2.13961897e-03
220      2.20000000e-01    1.00000000e+00   -2.14889173e-03
221      2.21000000e-01    1.00000000e+00   -2.15815672e-03
222      2.22000000e-01    1.00000000e+00   -2.16741387e-03
223      2.23000000e-01    1.00000000e+00   -2.17666313e-03
224      2.24000000e-01    1.00000000e+00   -2.18590442e-03
225      2.25000000e-01    1.00000000e+00   -2.19513768e-03
226      2.26000000e-01    1.00000000e+00   -2.20436284e-03
227      2.27000000e-01    1.00000000e+00   -2.21357984e-03
228      2.28000000e-01    1.00000000e+00   -2.22278861e-03
229      2.29000000e-01    1.00000000e+00   -2.23198909e-03
230      2.30000000e-01    1.00000000e+00   -2.24118120e-03
231      2.31000000e-01    1.00000000e+00   -2.25036487e-03
232      2.32000000e-01    1.00000000e+00   -2.25954005e-03
233      2.33000000e-01    1.00000000e+00   -2.26870665e-03
234      2.34000000e-01    1.00000000e+00   -2.27786462e-03
235      2.35000000e-01    1.00000000e+00   -2.28701387e-03
236      2.36000000e-01    1.00000000e+00   -2.29615434e-03
237      2.37000000e-01    1.00000000e+00   -2.30528596e-03
238      2.38000000e-01    1.00000000e+00   -2.31440866e-03
239      2.39000000e-01    1.00000000e+00   -2.32352236e-03
240      2.40000000e-01    1.00000000e+00   -2.33262699e-03
241      2.41000000e-01    1.00000000e+00   -2.34172249e-03
242      2.42000000e-01    1.00000000e+00   -2.35080877e-03
243      2.43000000e-01    1.00000000e+00   -2.35988576e-03
244      2.44000000e-01    1.00000000e+00   -2.36895339e-03
245      2.45000000e-01    1.00000000e+00   -2.37801158e-03
246      2.46000000e-01    1.00000000e+00   -2.38706027e-03
247      2.47000000e-01    1.00000000e+00   -2.39609936e-03
248      2.48000000e-01    1.00000000e+00   -2.40512879e-03
249      2.49000000e-01    1.00000000e+00   -2.41414849e-03
250      2.50000000e-01    1.00000000e+00   -2.42315836e-03
251      2.51000000e-01    1.00000000e+00   -2.43215835e-03
252      2.52000000e-01    1.00000000e+00   -2.44114836e-03
253      2.53000000e-01    1.00000000e+00   -2.45012832e-03
254      2.54000000e-01    1.00000000e+00   -2.45909815e-03
255      2.55000000e-01    1.00000000e+00   -2.46805778e-03
256      2.56000000e-01    1.00000000e+00   -2.47700712e-03
257      2.57000000e-01    1.00000000e+00   -2.48594609e-03
258      2.58000000e-01    1.00000000e+00   -2.49487461e-03
259      2.59000000e-01    1.00000000e+00   -2.50379260e-03
260      2.60000000e-01    1.00000000e+00   -2.51269998e-03
261      2.61000000e-01    1.00000000e+00   -2.52159667e-03
262      2.62000000e-01    1.00000000e+00   -2.53048259e-03
263      2.63000000e-01    1.00000000e+00   -2.53935764e-03
264      2.64000000e-01    1.00000000e+00   -2.54822176e-03
265      2.65000000e-01    1.00000000e+00   -2.55707485e-03
266      2.66000000e-01    1.00000000e+00   -2.56591683e-03
267      2.67000000e-01    1.00000000e+00   -2.57474762e-03
268      2.68000000e-01    1.00000000e+00   -2.58356713e-03
269      2.69000000e-01    1.00000000e+00   -2.59237528e-03
270      2.70000000e-01    1.00000000e+00   -2.60117198e-03
271      2.71000000e-01    1.00000000e+00   -2.60995714e-03
272      2.72000000e-01    1.00000000e+00   -2.61873068e-03
273      2.73000000e-01    1.00000000e+00   -2.62749251e-03
274      2.74000000e-01    1.00000000e+00   -2.63624255e-03
275      2.75000000e-01    1.00000000e+00   -2.64498070e-03
276      2.76000000e-01    1.00000000e+00   -2.65370687e-03
277      2.77000000e-01    1.00000000e+00   -2.66242098e-03
278      2.78000000e-01    1.00000000e+00   -2.67112295e-03
279      2.79000000e-01    1.00000000e+00   -2.67981267e-03
280      2.80000000e-01    1.00000000e+00   -2.68849006e-03
281      2.81000000e-01    1.00000000e+00   -2.69715503e-03
282      2.82000000e-01    1.00000000e+00   -2.70580748e-03
283      2.83000000e-01    1.00000000e+00   -2.71444734e-03
284      2.84000000e-01    1.00000000e+00   -2.72307450e-03
285      2.85000000e-01    1.00000000e+00   -2.73168887e-03
286      2.86000000e-01    1.00000000e+00   -2.74029037e-03
287      2.87000000e-01    1.00000000e+00   -2.74887889e-03
288      2.88000000e-01    1.00000000e+00   -2.75745435e-03
289      2.89000000e-01    1.00000000e+00   -2.76601665e-03
290      2.90000000e-01    1.00000000e+00   -2.77456571e-03
291      2.91000000e-01    1.00000000e+00   -2.78310141e-03
292      2.92000000e-01    1.00000000e+00   -2.79162368e-03
293      2.93000000e-01    1.00000000e+00   -2.80013241e-03
294      2.94000000e-01    1.00000000e+00   -2.80862751e-03
295      2.95000000e-01    1.00000000e+00   -2.81710889e-03
296      2.96000000e-01    1.00000000e+00   -2.82557645e-03
297      2.97000000e-01    1.00000000e+00   -2.83403010e-03
298      2.98000000e-01    1.00000000e+00   -2.84246973e-03
299      2.99000000e-01    1.00000000e+00   -2.85089525e-03
300      3.00000000e-01    1.00000000e+00   -2.85930657e-03
301      3.01000000e-01    1.00000000e+00   -2.86770358e-03
302      3.02000000e-01    1.00000000e+00   -2.87608620e-03
303      3.03000000e-01    1.00000000e+00   -2.88445432e-03
304      3.04000000e-01    1.00000000e+00   -2.89280784e-03
305      3.05000000e-01    1.00000000e+00   -2.90114667e-03
306      3.06000000e-01    1.00000000e+00   -2.90947071e-03
307      3.07000000e-01    1.00000000e+00   -2.91777986e-03
308      3.08000000e-01    1.00000000e+00   -2.92607402e-03
309      3.09000000e-01    1.00000000e+00   -2.93435310e-03
310      3.10000000e-01    1.00000000e+00   -2.94261699e-03
311      3.11000000e-01    1.00000000e+00   -2.95086559e-03
312      3.12000000e-01    1.00000000e+00   -2.95909881e-03
313      3.13000000e-01    1.00000000e+00   -2.96731654e-03
314      3.14000000e-01    1.00000000e+00   -2.97551869e-03
315      3.15000000e-01    1.00000000e+00   -2.98370516e-03
316      3.16000000e-01    1.00000000e+00   -2.99187584e-03
317      3.17000000e-01    1.00000000e+00   -3.00003064e-03
318      3.18000000e-01    1.00000000e+00   -3.00816945e-03
319      3.19000000e-01    1.00000000e+00   -3.01629218e-03
320      3.20000000e-01    1.00000000e+00   -3.02439872e-03
321      3.21000000e-01    1.00000000e+00   -3.03248898e-03
322      3.22000000e-01    1.00000000e+00   -3.04056286e-03
323      3.23000000e-01    1.00000000e+00   -3.04862025e-03
324      3.24000000e-01    1.00000000e+00   -3.05666105e-03
325      3.25000000e-01    1.00000000e+00   -3.06468516e-03
326      3.26000000e-01    1.00000000e+00   -3.07269249e-03
327      3.27000000e-01    1.00000000e+00   -3.08068293e-03
328      3.28000000e-01    1.00000000e+00   -3.08865638e-03
329      3.29000000e-01    1.00000000e+00   -3.09661275e-03
330      3.30000000e-01    1.00000000e+00   -3.10455192e-03
331      3.31000000e-01    1.00000000e+00   -3.11247381e-03
332      3.32000000e-01    1.00000000e+00   -3.12037830e-03
333      3.33000000e-01    1.00000000e+00   -3.12826531e-03
334      3.34000000e-01    1.00000000e+00   -3.13613472e-03
335      3.35000000e-01    1.00000000e+00   -3.14398645e-03
336      3.36000000e-01    1.00000000e+00   -3.15182039e-03
337      3.37000000e-01    1.00000000e+00   -3.15963644e-03
338      3.38000000e-01    1.00000000e+00   -3.16743450e-03
339      3.39000000e-01    1.00000000e+00   -3.17521448e-03
340      3.40000000e-01    1.00000000e+00   -3.18297627e-03
341      3.41000000e-01    1.00000000e+00   -3.19071977e-03
342      3.42000000e-01    1.00000000e+00   -3.19844489e-03
343      3.43000000e-01    1.00000000e+00   -3.20615154e-03
344      3.44000000e-01    1.00000000e+00   -3.21383960e-03
345      3.45000000e-01    1.00000000e+00   -3.22150899e-03
346      3.46000000e-01    1.00000000e+00   -3.22915960e-03
347      3.47000000e-01    1.00000000e+00   -3.23679134e-03
348      3.48000000e-01    1.00000000e+00   -3.24440412e-03
349      3.49000000e-01    1.00000000e+00   -3.25199783e-03
350      3.50000000e-01    1.00000000e+00   -3.25957238e-03
351      3.51000000e-01    1.00000000e+00   -3.26712769e-03
352      3.52000000e-01    1.00000000e+00   -3.27466364e-03
353      3.53000000e-01    1.00000000e+00   -3.28218014e-03
354      3.54000000e-01    1.00000000e+00   -3.28967711e-03
355      3.55000000e-01    1.00000000e+00   -3.29715445e-03
356      3.56000000e-01    1.00000000e+00   -3.30461207e-03
357      3.57000000e-01    1.00000000e+00   -3.31204987e-03
358      3.58000000e-01    1.00000000e+00   -3.31946775e-03
359      3.59000000e-01    1.00000000e+00   -3.32686564e-03
360      3.60000000e-01    1.00000000e+00   -3.33424344e-03
361      3.61000000e-01    1.00000000e+00   -3.34160106e-03
362      3.62000000e-01    1.00000000e+00   -3.34893841e-03
363      3.63000000e-01    1.00000000e+00   -3.35625539e-03
364      3.64000000e-01    1.00000000e+00   -3.36355193e-03
365      3.65000000e-01    1.00000000e+00   -3.37082793e-03
366      3.66000000e-01    1.00000000e+00   -3.37808331e-03
367      3.67000000e-01    1.00000000e+00   -3.38531798e-03
368      3.68000000e-01    1.00000000e+00   -3.39253186e-03
369      3.69000000e-01    1.00000000e+00   -3.39972485e-03
370      3.70000000e-01    1.00000000e+00   -3.40689688e-03
371      3.71000000e-01    1.00000000e+00   -3.41404787e-03
372      3.72000000e-01    1.00000000e+00   -3.42117772e-03
373      3.73000000e-01    1.00000000e+00   -3.42828636e-03
374      3.74000000e-01    1.00000000e+00   -3.43537371e-03
375      3.75000000e-01    1.00000000e+00   -3.44243969e-03
376      3.76000000e-01    1.00000000e+00   -3.44948422e-03
377      3.77000000e-01    1.00000000e+00   -3.45650722e-03
378      3.78000000e-01    1.00000000e+00   -3.46350861e-03
379      3.79000000e-01    1.00000000e+00   -3.47048831e-03
380      3.80000000e-01    1.00000000e+00   -3.47744626e-03
381      3.81000000e-01    1.00000000e+00   -3.48438237e-03
382      3.82000000e-01    1.00000000e+00   -3.49129658e-03
383      3.83000000e-01    1.00000000e+00   -3.49818880e-03
384      3.84000000e-01    1.00000000e+00   -3.50505898e-03
385      3.85000000e-01    1.00000000e+00   -3.51190703e-03
386      3.86000000e-01    1.00000000e+00   -3.51873289e-03
387      3.87000000e-01    1.00000000e+00   -3.52553649e-03
