Index     V(DRAIN)           V(GATE)          I(VDRAIN)    
0        0.00000000e+00    8.00000000e-01    0.00000000e+00
1        1.00000000e-03    8.00000000e-01   -2.96033533e-06
2        2.00000000e-03    8.00000000e-01   -5.92010811e-06
3        3.00000000e-03    8.00000000e-01   -8.87913292e-06
4        4.00000000e-03    8.00000000e-01   -1.18372675e-05
5        5.00000000e-03    8.00000000e-01   -1.47943905e-05
6        6.00000000e-03    8.00000000e-01   -1.77503943e-05
7        7.00000000e-03    8.00000000e-01   -2.07051808e-05
8        8.00000000e-03    8.00000000e-01   -2.36586591e-05
9        9.00000000e-03    8.00000000e-01   -2.66107445e-05
10       1.00000000e-02    8.00000000e-01   -2.95613570e-05
11       1.10000000e-02    8.00000000e-01   -3.25104210e-05
12       1.20000000e-02    8.00000000e-01   -3.54578641e-05
13       1.30000000e-02    8.00000000e-01   -3.84036172e-05
14       1.40000000e-02    8.00000000e-01   -4.13476142e-05
15       1.50000000e-02    8.00000000e-01   -4.42897911e-05
16       1.60000000e-02    8.00000000e-01   -4.72300865e-05
17       1.70000000e-02    8.00000000e-01   -5.01684407e-05
18       1.80000000e-02    8.00000000e-01   -5.31047961e-05
19       1.90000000e-02    8.00000000e-01   -5.60390970e-05
20       2.00000000e-02    8.00000000e-01   -5.89712889e-05
21       2.10000000e-02    8.00000000e-01   -6.19013191e-05
22       2.20000000e-02    8.00000000e-01   -6.48291362e-05
23       2.30000000e-02    8.00000000e-01   -6.77546903e-05
24       2.40000000e-02    8.00000000e-01   -7.06779324e-05
25       2.50000000e-02    8.00000000e-01   -7.35988149e-05
26       2.60000000e-02    8.00000000e-01   -7.65172914e-05
27       2.70000000e-02    8.00000000e-01   -7.94333163e-05
28       2.80000000e-02    8.00000000e-01   -8.23468453e-05
29       2.90000000e-02    8.00000000e-01   -8.52578349e-05
30       3.00000000e-02    8.00000000e-01   -8.81662425e-05
31       3.10000000e-02    8.00000000e-01   -9.10720266e-05
32       3.20000000e-02    8.00000000e-01   -9.39751461e-05
33       3.30000000e-02    8.00000000e-01   -9.68755613e-05
34       3.40000000e-02    8.00000000e-01   -9.97732329e-05
35       3.50000000e-02    8.00000000e-01   -1.02668122e-04
36       3.60000000e-02    8.00000000e-01   -1.05560192e-04
