Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
79      -3.60000000e-01   -4.00000000e-01    2.86796806e-05    4.57041488e-04
80      -3.80000000e-01   -4.00000000e-01    2.89761329e-05    4.60729269e-04
81      -4.00000000e-01   -4.00000000e-01    2.92717626e-05    4.64391138e-04
82      -4.20000000e-01   -4.00000000e-01    2.95667765e-05    4.68031803e-04
83      -4.40000000e-01   -4.00000000e-01    2.98613380e-05    4.71654966e-04
84      -4.60000000e-01   -4.00000000e-01    3.01555783e-05    4.75263587e-04
85      -4.80000000e-01   -4.00000000e-01    3.04496034e-05    4.78860067e-04
86      -5.00000000e-01   -4.00000000e-01    3.07435007e-05    4.82446374e-04
87      -5.20000000e-01   -4.00000000e-01    3.10373420e-05    4.86024144e-04
88      -5.40000000e-01   -4.00000000e-01    3.13311874e-05    4.89594742e-04
89      -5.60000000e-01   -4.00000000e-01    3.16250873e-05    4.93159325e-04
90      -5.80000000e-01   -4.00000000e-01    3.19190843e-05    4.96718872e-04
91      -6.00000000e-01   -4.00000000e-01    3.22132143e-05    5.00274223e-04
92      -6.20000000e-01   -4.00000000e-01    3.25075081e-05    5.03826100e-04
93      -6.40000000e-01   -4.00000000e-01    3.28019921e-05    5.07375128e-04
94      -6.60000000e-01   -4.00000000e-01    3.30966888e-05    5.10921848e-04
95      -6.80000000e-01   -4.00000000e-01    3.33916179e-05    5.14466736e-04
96      -7.00000000e-01   -4.00000000e-01    3.36867963e-05    5.18010208e-04
97      -7.20000000e-01   -4.00000000e-01    3.39822389e-05    5.21552633e-04
98      -7.40000000e-01   -4.00000000e-01    3.42779590e-05    5.25094338e-04
99      -7.60000000e-01   -4.00000000e-01    3.45739682e-05    5.28635615e-04
100     -7.80000000e-01   -4.00000000e-01    3.48702772e-05    5.32176730e-04
101     -8.00000000e-01   -4.00000000e-01    3.51668959e-05    5.35717925e-04
102     -8.20000000e-01   -4.00000000e-01    3.54638333e-05    5.39259421e-04
103     -8.40000000e-01   -4.00000000e-01    3.57610983e-05    5.42801429e-04
104     -8.60000000e-01   -4.00000000e-01    3.60586995e-05    5.46344145e-04
105     -8.80000000e-01   -4.00000000e-01    3.63566454e-05    5.49887759e-04
106     -9.00000000e-01   -4.00000000e-01    3.66549447e-05    5.53432456e-04
107     -9.20000000e-01   -4.00000000e-01    3.69536063e-05    5.56978419e-04
108     -9.40000000e-01   -4.00000000e-01    3.72526397e-05    5.60525831e-04
109     -9.60000000e-01   -4.00000000e-01    3.75520547e-05    5.64074880e-04
110     -9.80000000e-01   -4.00000000e-01    3.78518618e-05    5.67625755e-04
111     -1.00000000e+00   -4.00000000e-01    3.81520725e-05    5.71178654e-04
112     -1.02000000e+00   -4.00000000e-01    3.84526987e-05    5.74733781e-04
113     -1.04000000e+00   -4.00000000e-01    3.87537536e-05    5.78291350e-04
114     -1.06000000e+00   -4.00000000e-01    3.90552513e-05    5.81851586e-04
115     -1.08000000e+00   -4.00000000e-01    3.93572069e-05    5.85414725e-04
116     -1.10000000e+00   -4.00000000e-01    3.96596372e-05    5.88981014e-04
117     -1.12000000e+00   -4.00000000e-01    3.99625600e-05    5.92550715e-04
118     -1.14000000e+00   -4.00000000e-01    4.02659950e-05    5.96124103e-04
119     -1.16000000e+00   -4.00000000e-01    4.05699639e-05    5.99701466e-04
120     -1.18000000e+00   -4.00000000e-01    4.08744908e-05    6.03283107e-04
121     -1.20000000e+00   -4.00000000e-01    4.11796030e-05    6.06869344e-04
122      0.00000000e+00   -6.00000000e-01   -3.94790401e-08    0.00000000e+00
123     -2.00000000e-02   -6.00000000e-01    4.40487994e-05    1.77425341e-04
124     -4.00000000e-02   -6.00000000e-01    8.30693739e-05    3.52709622e-04
125     -6.00000000e-02   -6.00000000e-01    1.17130323e-04    5.25502012e-04
126     -8.00000000e-02   -6.00000000e-01    1.46354681e-04    6.95207599e-04
127     -1.00000000e-01   -6.00000000e-01    1.70892849e-04    8.60762374e-04
128     -1.20000000e-01   -6.00000000e-01    1.90944510e-04    1.02023143e-03
129     -1.40000000e-01   -6.00000000e-01    2.06794690e-04    1.17022265e-03
130     -1.60000000e-01   -6.00000000e-01    2.18862463e-04    1.30547341e-03
131     -1.80000000e-01   -6.00000000e-01    2.27737628e-04    1.41972873e-03
132     -2.00000000e-01   -6.00000000e-01    2.34149874e-04    1.50881041e-03
133     -2.20000000e-01   -6.00000000e-01    2.38842564e-04    1.57362958e-03
134     -2.40000000e-01   -6.00000000e-01    2.42428421e-04    1.61939981e-03
135     -2.60000000e-01   -6.00000000e-01    2.45330528e-04    1.65223111e-03
136     -2.80000000e-01   -6.00000000e-01    2.47810033e-04    1.67688630e-03
137     -3.00000000e-01   -6.00000000e-01    2.50020634e-04    1.69644946e-03
138     -3.20000000e-01   -6.00000000e-01    2.52052688e-04    1.71277503e-03
139     -3.40000000e-01   -6.00000000e-01    2.53960671e-04    1.72696299e-03
140     -3.60000000e-01   -6.00000000e-01    2.55778682e-04    1.73967735e-03
141     -3.80000000e-01   -6.00000000e-01    2.57528961e-04    1.75133202e-03
142     -4.00000000e-01   -6.00000000e-01    2.59226608e-04    1.76219486e-03
143     -4.20000000e-01   -6.00000000e-01    2.60882260e-04    1.77244599e-03
144     -4.40000000e-01   -6.00000000e-01    2.62503666e-04    1.78221100e-03
145     -4.60000000e-01   -6.00000000e-01    2.64096634e-04    1.79158040e-03
146     -4.80000000e-01   -6.00000000e-01    2.65665631e-04    1.80062145e-03
147     -5.00000000e-01   -6.00000000e-01    2.67214165e-04    1.80938539e-03
148     -5.20000000e-01   -6.00000000e-01    2.68745046e-04    1.81791221e-03
149     -5.40000000e-01   -6.00000000e-01    2.70260557e-04    1.82623370e-03
150     -5.60000000e-01   -6.00000000e-01    2.71762582e-04    1.83437562e-03
151     -5.80000000e-01   -6.00000000e-01    2.73252691e-04    1.84235909e-03
152     -6.00000000e-01   -6.00000000e-01    2.74732209e-04    1.85020171e-03
153     -6.20000000e-01   -6.00000000e-01    2.76202261e-04    1.85791825e-03
154     -6.40000000e-01   -6.00000000e-01    2.77663814e-04    1.86552129e-03
155     -6.60000000e-01   -6.00000000e-01    2.79117699e-04    1.87302157e-03
156     -6.80000000e-01   -6.00000000e-01    2.80564642e-04    1.88042838e-03
157     -7.00000000e-01   -6.00000000e-01    2.82005274e-04    1.88774977e-03
158     -7.20000000e-01   -6.00000000e-01    2.83440150e-04    1.89499277e-03
159     -7.40000000e-01   -6.00000000e-01    2.84869760e-04    1.90216358e-03
160     -7.60000000e-01   -6.00000000e-01    2.86294538e-04    1.90926763e-03
161     -7.80000000e-01   -6.00000000e-01    2.87714871e-04    1.91630975e-03
162     -8.00000000e-01   -6.00000000e-01    2.89131105e-04    1.92329424e-03
163     -8.20000000e-01   -6.00000000e-01    2.90543551e-04    1.93022492e-03
164     -8.40000000e-01   -6.00000000e-01    2.91952491e-04    1.93710522e-03
165     -8.60000000e-01   -6.00000000e-01    2.93358181e-04    1.94393823e-03
166     -8.80000000e-01   -6.00000000e-01    2.94760855e-04    1.95072672e-03
167     -9.00000000e-01   -6.00000000e-01    2.96160729e-04    1.95747321e-03
168     -9.20000000e-01   -6.00000000e-01    2.97558005e-04    1.96418000e-03
169     -9.40000000e-01   -6.00000000e-01    2.98952871e-04    1.97084916e-03
170     -9.60000000e-01   -6.00000000e-01    3.00345505e-04    1.97748263e-03
171     -9.80000000e-01   -6.00000000e-01    3.01736077e-04    1.98408218e-03
172     -1.00000000e+00   -6.00000000e-01    3.03124752e-04    1.99064945e-03
173     -1.02000000e+00   -6.00000000e-01    3.04511688e-04    1.99718598e-03
174     -1.04000000e+00   -6.00000000e-01    3.05897042e-04    2.00369322e-03
175     -1.06000000e+00   -6.00000000e-01    3.07280969e-04    2.01017256e-03
176     -1.08000000e+00   -6.00000000e-01    3.08663624e-04    2.01662531e-03
177     -1.10000000e+00   -6.00000000e-01    3.10045163e-04    2.02305275e-03
178     -1.12000000e+00   -6.00000000e-01    3.11425743e-04    2.02945611e-03
179     -1.14000000e+00   -6.00000000e-01    3.12805523e-04    2.03583660e-03
180     -1.16000000e+00   -6.00000000e-01    3.14184667e-04    2.04219542e-03
181     -1.18000000e+00   -6.00000000e-01    3.15563344e-04    2.04853376e-03
182     -1.20000000e+00   -6.00000000e-01    3.16941728e-04    2.05485281e-03
183      0.00000000e+00   -8.00000000e-01   -2.07280940e-07    0.00000000e+00
184     -2.00000000e-02   -8.00000000e-01    7.34909014e-05    1.17509841e-04
185     -4.00000000e-02   -8.00000000e-01    1.42263643e-04    2.37413881e-04
186     -6.00000000e-02   -8.00000000e-01    2.06179762e-04    3.59579965e-04
187     -8.00000000e-02   -8.00000000e-01    2.65308788e-04    4.83863887e-04
188     -1.00000000e-01   -8.00000000e-01    3.19721716e-04    6.10101523e-04
189     -1.20000000e-01   -8.00000000e-01    3.69492114e-04    7.38096374e-04
190     -1.40000000e-01   -8.00000000e-01    4.14697758e-04    8.67599546e-04
191     -1.60000000e-01   -8.00000000e-01    4.55423109e-04    9.98277327e-04
192     -1.80000000e-01   -8.00000000e-01    4.91763107e-04    1.12965868e-03
193     -2.00000000e-01   -8.00000000e-01    5.23829006e-04    1.26105158e-03
194     -2.20000000e-01   -8.00000000e-01    5.51757256e-04    1.39141570e-03
195     -2.40000000e-01   -8.00000000e-01    5.75722526e-04    1.51918819e-03
196     -2.60000000e-01   -8.00000000e-01    5.95955277e-04    1.64209995e-03
197     -2.80000000e-01   -8.00000000e-01    6.12761454e-04    1.75711780e-03
198     -3.00000000e-01   -8.00000000e-01    6.26535921e-04    1.86077162e-03
199     -3.20000000e-01   -8.00000000e-01    6.37754870e-04    1.95006116e-03
200     -3.40000000e-01   -8.00000000e-01    6.46935974e-04    2.02362367e-03
201     -3.60000000e-01   -8.00000000e-01    6.54575764e-04    2.08228271e-03
202     -3.80000000e-01   -8.00000000e-01    6.61094525e-04    2.12848559e-03
203     -4.00000000e-01   -8.00000000e-01    6.66812755e-04    2.16518825e-03
204     -4.20000000e-01   -8.00000000e-01    6.71957963e-04    2.19501815e-03
205     -4.40000000e-01   -8.00000000e-01    6.76685675e-04    2.21997003e-03
206     -4.60000000e-01   -8.00000000e-01    6.81101176e-04    2.24144156e-03
207     -4.80000000e-01   -8.00000000e-01    6.85276423e-04    2.26038021e-03
208     -5.00000000e-01   -8.00000000e-01    6.89261635e-04    2.27742553e-03
209     -5.20000000e-01   -8.00000000e-01    6.93092787e-04    2.29301469e-03
210     -5.40000000e-01   -8.00000000e-01    6.96796378e-04    2.30745313e-03
211     -5.60000000e-01   -8.00000000e-01    7.00392450e-04    2.32095980e-03
212     -5.80000000e-01   -8.00000000e-01    7.03896537e-04    2.33369597e-03
213     -6.00000000e-01   -8.00000000e-01    7.07320941e-04    2.34578351e-03
214     -6.20000000e-01   -8.00000000e-01    7.10675593e-04    2.35731672e-03
215     -6.40000000e-01   -8.00000000e-01    7.13968638e-04    2.36837019e-03
216     -6.60000000e-01   -8.00000000e-01    7.17206853e-04    2.37900401e-03
217     -6.80000000e-01   -8.00000000e-01    7.20395943e-04    2.38926740e-03
218     -7.00000000e-01   -8.00000000e-01    7.23540761e-04    2.39920124e-03
219     -7.20000000e-01   -8.00000000e-01    7.26645473e-04    2.40883991e-03
220     -7.40000000e-01   -8.00000000e-01    7.29713680e-04    2.41821266e-03
