Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
0        0.00000000e+00    2.00000000e-01    1.69133141e-10    0.00000000e+00    3.80672031e-01    5.97186907e-04    0.00000000e+00    2.00000000e-01    0.00000000e+00   -5.97186907e-04
1        2.00000000e-02    2.00000000e-01   -5.13450937e-07    1.21620795e-05    3.80660188e-01    5.97351383e-04    2.00000000e-02    2.00000000e-01    0.00000000e+00    1.94026486e-02
2        4.00000000e-02    2.00000000e-01   -7.43265544e-07    1.77320702e-05    3.80648353e-01    5.97515792e-04    4.00000000e-02    2.00000000e-01    0.00000000e+00    3.94024842e-02
3        6.00000000e-02    2.00000000e-01   -8.35160718e-07    1.99861196e-05    3.80636526e-01    5.97680135e-04    6.00000000e-02    2.00000000e-01    0.00000000e+00    5.94023199e-02
4        8.00000000e-02    2.00000000e-01   -8.80123405e-07    2.10788125e-05    3.80624706e-01    5.97844411e-04    8.00000000e-02    2.00000000e-01    0.00000000e+00    7.94021556e-02
5        1.00000000e-01    2.00000000e-01   -9.09871413e-07    2.17915785e-05    3.80612894e-01    5.98008620e-04    1.00000000e-01    2.00000000e-01    0.00000000e+00    9.94019914e-02
6        1.20000000e-01    2.00000000e-01   -9.33899940e-07    2.23616987e-05    3.80601090e-01    5.98172762e-04    1.20000000e-01    2.00000000e-01    0.00000000e+00    1.19401827e-01
7        1.40000000e-01    2.00000000e-01   -9.55388579e-07    2.28686836e-05    3.80589293e-01    5.98336838e-04    1.40000000e-01    2.00000000e-01    0.00000000e+00    1.39401663e-01
8        1.60000000e-01    2.00000000e-01   -9.75589204e-07    2.33437372e-05    3.80577505e-01    5.98500846e-04    1.60000000e-01    2.00000000e-01    0.00000000e+00    1.59401499e-01
9        1.80000000e-01    2.00000000e-01   -9.95069901e-07    2.38009650e-05    3.80565724e-01    5.98664787e-04    1.80000000e-01    2.00000000e-01    0.00000000e+00    1.79401335e-01
10       2.00000000e-01    2.00000000e-01   -1.01411963e-06    2.42475139e-05    3.80553950e-01    5.98828662e-04    2.00000000e-01    2.00000000e-01    0.00000000e+00    1.99401171e-01
11       2.20000000e-01    2.00000000e-01   -1.03290052e-06    2.46873487e-05    3.80542185e-01    5.98992469e-04    2.20000000e-01    2.00000000e-01    0.00000000e+00    2.19401008e-01
12       2.40000000e-01    2.00000000e-01   -1.05151009e-06    2.51228337e-05    3.80530427e-01    5.99156209e-04    2.40000000e-01    2.00000000e-01    0.00000000e+00    2.39400844e-01
13       2.60000000e-01    2.00000000e-01   -1.07000955e-06    2.55554634e-05    3.80518676e-01    5.99319882e-04    2.60000000e-01    2.00000000e-01    0.00000000e+00    2.59400680e-01
14       2.80000000e-01    2.00000000e-01   -1.08843964e-06    2.59862285e-05    3.80506934e-01    5.99483488e-04    2.80000000e-01    2.00000000e-01    0.00000000e+00    2.79400517e-01
15       3.00000000e-01    2.00000000e-01   -1.10682873e-06    2.64158118e-05    3.80495199e-01    5.99647027e-04    3.00000000e-01    2.00000000e-01    0.00000000e+00    2.99400353e-01
16       3.20000000e-01    2.00000000e-01   -1.12519725e-06    2.68446991e-05    3.80483472e-01    5.99810499e-04    3.20000000e-01    2.00000000e-01    0.00000000e+00    3.19400190e-01
17       3.40000000e-01    2.00000000e-01   -1.14356045e-06    2.72732456e-05    3.80471752e-01    5.99973903e-04    3.40000000e-01    2.00000000e-01    0.00000000e+00    3.39400026e-01
18       3.60000000e-01    2.00000000e-01   -1.16193003e-06    2.77017171e-05    3.80460041e-01    6.00137241e-04    3.60000000e-01    2.00000000e-01    0.00000000e+00    3.59399863e-01
19       3.80000000e-01    2.00000000e-01   -1.18031526e-06    2.81303160e-05    3.80448337e-01    6.00300510e-04    3.80000000e-01    2.00000000e-01    0.00000000e+00    3.79399699e-01
20       4.00000000e-01    2.00000000e-01   -1.19872371e-06    2.85591990e-05    3.80436640e-01    6.00463713e-04    4.00000000e-01    2.00000000e-01    0.00000000e+00    3.99399536e-01
21       4.20000000e-01    2.00000000e-01   -1.21716173e-06    2.89884891e-05    3.80424952e-01    6.00626848e-04    4.20000000e-01    2.00000000e-01    0.00000000e+00    4.19399373e-01
22       4.40000000e-01    2.00000000e-01   -1.23563483e-06    2.94182839e-05    3.80413271e-01    6.00789916e-04    4.40000000e-01    2.00000000e-01    0.00000000e+00    4.39399210e-01
23       4.60000000e-01    2.00000000e-01   -1.25414796e-06    2.98486616e-05    3.80401597e-01    6.00952917e-04    4.60000000e-01    2.00000000e-01    0.00000000e+00    4.59399047e-01
24       4.80000000e-01    2.00000000e-01   -1.27270568e-06    3.02796851e-05    3.80389932e-01    6.01115850e-04    4.80000000e-01    2.00000000e-01    0.00000000e+00    4.79398884e-01
25       5.00000000e-01    2.00000000e-01   -1.29131235e-06    3.07114058e-05    3.80378274e-01    6.01278716e-04    5.00000000e-01    2.00000000e-01    0.00000000e+00    4.99398721e-01
26       5.20000000e-01    2.00000000e-01   -1.30997225e-06    3.11438652e-05    3.80366623e-01    6.01441514e-04    5.20000000e-01    2.00000000e-01    0.00000000e+00    5.19398558e-01
27       5.40000000e-01    2.00000000e-01   -1.32868971e-06    3.15770975e-05    3.80354981e-01    6.01604245e-04    5.40000000e-01    2.00000000e-01    0.00000000e+00    5.39398396e-01
