Index       TIME          {V(VOUT)+1.0}     {V(IN)+4.0}       {V(1)+4.0}         IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
31       5.08196721e-06    3.91609829e+00    3.84679711e+00    3.84556374e+00   -8.49436399e-07   -3.83942543e-07    2.92499040e-04    3.29408091e-08   -2.91649603e-04
32       5.24590164e-06    3.92352589e+00    3.53964378e+00    3.53832827e+00   -9.11226888e-07   -4.04278528e-07    2.93235297e-04   -2.88081642e-08   -2.92324070e-04
33       5.40983607e-06    3.92964610e+00    3.23738586e+00    3.23598664e+00   -8.27959658e-07   -5.71260205e-07    2.93826861e-04    2.57029526e-08   -2.92998901e-04
34       5.57377049e-06    3.93472647e+00    2.94310641e+00    2.94174374e+00   -8.55223329e-07   -5.07444701e-07    2.94301230e-04   -2.32723284e-08   -2.93446007e-04
35       5.73770492e-06    3.93896113e+00    2.66002017e+00    2.65871862e+00   -7.67938302e-07   -5.33605953e-07    2.94694712e-04    2.13511090e-08   -2.93926773e-04
36       5.90163934e-06    3.94250528e+00    2.39113778e+00    2.38991142e+00   -7.67875627e-07   -4.58489409e-07    2.94993041e-04   -1.97783587e-08   -2.94225165e-04
37       6.06557377e-06    3.94546658e+00    2.13931216e+00    2.13817155e+00   -6.73183843e-07   -4.67419966e-07    2.95248062e-04    1.84998941e-08   -2.94574878e-04
38       6.22950820e-06    3.94794204e+00    1.90720753e+00    1.90616754e+00   -6.51285279e-07   -3.88705028e-07    2.95420920e-04   -1.74223779e-08   -2.94769634e-04
39       6.39344262e-06    3.94999128e+00    1.69729056e+00    1.69635866e+00   -5.48550020e-07   -3.83347272e-07    2.95574282e-04    1.65349105e-08   -2.95025732e-04
40       6.55737705e-06    3.95167786e+00    1.51177906e+00    1.51096896e+00   -5.09328981e-07   -3.00768959e-07    2.95652937e-04   -1.57727728e-08   -2.95143608e-04
41       6.72131148e-06    3.95303297e+00    1.35264782e+00    1.35196361e+00   -3.99639373e-07   -2.84574795e-07    2.95728535e-04    1.51447761e-08   -2.95328896e-04
42       6.88524590e-06    3.95409965e+00    1.22157428e+00    1.22102810e+00   -3.47411406e-07   -1.98771253e-07    2.95733230e-04   -1.46000539e-08   -2.95385818e-04
43       7.04918033e-06    3.95489056e+00    1.11995828e+00    1.11955038e+00   -2.32921623e-07   -1.74979355e-07    2.95747059e-04    1.41575322e-08   -2.95514137e-04
44       7.21311475e-06    3.95543515e+00    1.04886540e+00    1.04860615e+00   -1.72001489e-07   -8.72576488e-08    2.95691051e-04   -1.37738388e-08   -2.95519049e-04
45       7.37704918e-06    3.95573247e+00    1.00906198e+00    1.00894742e+00   -5.55398657e-08   -5.90177148e-08    2.95653780e-04    1.34736790e-08   -2.95598241e-04
46       7.54098361e-06    3.95580203e+00    1.00095593e+00    1.00099460e+00    9.74330206e-09    2.89216913e-08    2.95545302e-04   -1.32182202e-08   -2.95555045e-04
47       7.70491803e-06    3.95563117e+00    1.02464851e+00    1.02483198e+00    1.24960826e-07    5.85051159e-08    2.95463476e-04    1.30359011e-08   -2.95588437e-04
48       7.86885246e-06    3.95523106e+00    1.07987176e+00    1.08020688e+00    1.90332544e-07    1.44785610e-07    2.95306497e-04   -1.28910739e-08   -2.95496829e-04
49       8.03278689e-06    3.95457708e+00    1.16605871e+00    1.16653231e+00    3.00941113e-07    1.72658744e-07    2.95182853e-04    1.28150469e-08   -2.95483795e-04
50       8.19672131e-06    3.95367197e+00    1.28227550e+00    1.28289321e+00    3.62291517e-07    2.55424196e-07    2.94976982e-04   -1.27749427e-08   -2.95339273e-04
