Index       FREQ            Re(V(VE))         Im(V(VE))        Re(V(OUT))        Im(V(OUT))    
32      -1.80000000e+07   -2.02211800e-05   -4.21968125e-05    3.54714490e-03    6.18969268e-03
33      -1.70000000e+07   -2.06841573e-05    5.37677321e-05    2.67767777e-03   -8.06743776e-03
34      -1.60000000e+07    5.51666452e-05   -1.70955896e-05   -8.41462631e-03    3.38393507e-03
35      -1.50000000e+07   -5.54240902e-05   -2.81290617e-05    8.27041468e-03    3.43618305e-03
36      -1.40000000e+07    2.85315285e-05    4.84452008e-05   -4.82689222e-03   -7.92083343e-03
37      -1.30000000e+07    2.43498038e-05   -7.83590041e-05   -1.28487818e-03    1.16053745e-02
38      -1.20000000e+07   -7.41135407e-05    7.01489137e-05    1.18508678e-02   -9.22935806e-03
39      -1.10000000e+07    8.17947845e-05    6.57488317e-05   -1.68346661e-02   -4.51153529e-03
40      -1.00000000e+07   -9.27044800e-05   -1.50611934e-04    8.13454055e-03    1.62157085e-02
41      -9.00000000e+06    1.77611889e-05   -4.60750325e-06    3.97806408e-03   -1.58927063e-02
42      -8.00000000e+06    3.10101814e-04   -1.26643568e-06   -1.57505050e-02    1.42469559e-02
43      -7.00000000e+06   -3.13209424e-04    3.56791445e-04    3.09711955e-02   -4.05909079e-03
44      -6.00000000e+06   -5.32702899e-04    1.19602532e-04   -2.37249492e-02   -3.47317607e-02
45      -5.00000000e+06    3.99365542e-04   -1.52485291e-03   -2.25854094e-02    5.99743117e-02
46      -4.00000000e+06    1.75156502e-03    1.14389271e-04    5.41727306e-02   -2.45005589e-03
47      -3.00000000e+06   -1.57794806e-04    4.56815174e-03   -3.23172330e-02   -8.64378516e-02
48      -2.00000000e+06   -7.87306332e-03   -4.76416773e-04   -1.31585847e-03    5.60541437e-02
49      -1.00000000e+06   -6.83321140e-04    4.76767472e-01    1.55051473e-01   -2.60234918e+00
50       0.00000000e+00    9.46173199e-01    0.00000000e+00    3.94282054e-27    0.00000000e+00
51       1.00000000e+06   -6.83321140e-04   -4.76767472e-01    1.55051473e-01    2.60234918e+00
52       2.00000000e+06   -7.87306332e-03    4.76416773e-04   -1.31585847e-03   -5.60541437e-02
53       3.00000000e+06   -1.57794806e-04   -4.56815174e-03   -3.23172330e-02    8.64378516e-02
54       4.00000000e+06    1.75156502e-03   -1.14389271e-04    5.41727306e-02    2.45005589e-03
55       5.00000000e+06    3.99365542e-04    1.52485291e-03   -2.25854094e-02   -5.99743117e-02
56       6.00000000e+06   -5.32702899e-04   -1.19602532e-04   -2.37249492e-02    3.47317607e-02
57       7.00000000e+06   -3.13209424e-04   -3.56791445e-04    3.09711955e-02    4.05909079e-03
