Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
32       5.68100000e-07    3.66821218e+00    5.04684448e+00    5.04824804e+00    1.04786775e-06    3.55640995e-07    6.63014254e-04    3.97345506e-04   -6.64062122e-04
33       5.93700000e-07    3.64026270e+00    5.09190822e+00    5.09332373e+00    1.06193257e-06    3.53526208e-07    6.95140610e-04    4.32291041e-04   -6.96202543e-04
34       6.19300000e-07    3.60956715e+00    5.13668758e+00    5.13811657e+00    1.07774148e-06    3.51165914e-07    7.28227379e-04    4.68474760e-04   -7.29305121e-04
35       6.44900000e-07    3.57575049e+00    5.18117057e+00    5.18261494e+00    1.09540138e-06    3.48862209e-07    7.62198744e-04    5.05858678e-04   -7.63294146e-04
36       6.70500000e-07    3.53834129e+00    5.22534535e+00    5.22680736e+00    1.11554155e-06    3.46315533e-07    7.96967122e-04    5.44403591e-04   -7.98082664e-04
37       6.96100000e-07    3.49673088e+00    5.26919984e+00    5.27068237e+00    1.13849153e-06    3.43821840e-07    8.32429975e-04    5.84068768e-04   -8.33568467e-04
38       7.19140000e-07    3.45502738e+00    5.30838503e+00    5.30988912e+00    1.16249360e-06    3.41352167e-07    8.64838223e-04    6.20690496e-04   -8.66000717e-04
39       7.39876000e-07    3.41337641e+00    5.34341425e+00    5.34494072e+00    1.18699877e-06    3.39208644e-07    8.94308543e-04    6.54370728e-04   -8.95495543e-04
40       7.58538400e-07    3.37189302e+00    5.37474238e+00    5.37629214e+00    1.21235295e-06    3.37074469e-07    9.20987780e-04    6.85246159e-04   -9.22200134e-04
41       7.77200800e-07    3.32581828e+00    5.40587783e+00    5.40745432e+00    1.24096984e-06    3.35048935e-07    9.47714710e-04    7.16636837e-04   -9.48955681e-04
42       7.93996960e-07    3.27953277e+00    5.43373030e+00    5.43533495e+00    1.27100160e-06    3.33010650e-07    9.71701455e-04    7.45313336e-04   -9.72972458e-04
43       8.09113504e-07    3.23300419e+00    5.45865742e+00    5.46029092e+00    1.30149350e-06    3.31314997e-07    9.93126282e-04    7.71454959e-04   -9.94427776e-04
44       8.22718394e-07    3.18615971e+00    5.48097535e+00    5.48263873e+00    1.33285166e-06    3.29561638e-07    1.01215788e-03    7.95242579e-04   -1.01349073e-03
45       8.34962794e-07    3.13885612e+00    5.50096529e+00    5.50265918e+00    1.36457383e-06    3.28149944e-07    1.02896401e-03    8.16855553e-04   -1.03032858e-03
46       8.45982755e-07    3.09088230e+00    5.51887695e+00    5.52060157e+00    1.39634275e-06    3.26662924e-07    1.04369235e-03    8.36467649e-04   -1.04508869e-03
47       8.55784108e-07    3.04252608e+00    5.53474366e+00    5.53649863e+00    1.42740865e-06    3.25509058e-07    1.05632971e-03    8.54034978e-04   -1.05775712e-03
48       8.64323823e-07    2.99450261e+00    5.54851888e+00    5.55030192e+00    1.45596194e-06    3.24346476e-07    1.06682194e-03    8.69434713e-04   -1.06827790e-03
49       8.71668502e-07    2.94713672e+00    5.56033026e+00    5.56213792e+00    1.48064385e-06    3.23525539e-07    1.07528394e-03    8.82748579e-04   -1.07676459e-03
50       8.77917064e-07    2.90059590e+00    5.57035500e+00    5.57218133e+00    1.49886835e-06    3.22804459e-07    1.08187901e-03    8.94127899e-04   -1.08337788e-03
51       8.83169727e-07    2.85500460e+00    5.57876855e+00    5.58060528e+00    1.50804501e-06    3.22494757e-07    1.08677933e-03    9.03734570e-04   -1.08828737e-03
52       8.87520036e-07    2.81050475e+00    5.58573464e+00    5.58756905e+00    1.50326690e-06    3.22610649e-07    1.09014990e-03    9.11727368e-04   -1.09165317e-03
53       8.91062108e-07    2.76717053e+00    5.59141646e+00    5.59323027e+00    1.47819425e-06    3.23625463e-07    1.09215522e-03    9.18272659e-04   -1.09363341e-03
54       8.91544150e-07    2.76052100e+00    5.59219318e+00    5.59400010e+00    1.48053561e-06    3.24575190e-07    1.09235921e-03    9.19169246e-04   -1.09383975e-03
55       8.92026192e-07    2.75368350e+00    5.59297602e+00    5.59476978e+00    1.46681341e-06    3.29678129e-07    1.09252048e-03    9.20073323e-04   -1.09398729e-03
56       8.92990275e-07    2.73925633e+00    5.59453452e+00    5.59630871e+00    1.44793680e-06    3.21582897e-07    1.09281164e-03    9.21874531e-04   -1.09425958e-03
57       8.93954358e-07    2.72369706e+00    5.59609857e+00    5.59784705e+00    1.41655912e-06    3.31995123e-07    1.09294491e-03    9.23683918e-04   -1.09436147e-03
58       8.94918442e-07    2.70667800e+00    5.59767150e+00    5.59938480e+00    1.38183490e-06    3.25292596e-07    1.09294627e-03    9.25505364e-04   -1.09432811e-03
59       8.95882525e-07    2.68773372e+00    5.59925949e+00    5.60092197e+00    1.32093750e-06    3.38290681e-07    1.09270327e-03    9.27346076e-04   -1.09402421e-03
60       8.96846609e-07    2.66608013e+00    5.60087400e+00    5.60245855e+00    1.23499968e-06    3.36372060e-07    1.09217737e-03    9.29219396e-04   -1.09341237e-03
61       8.97810692e-07    2.64020897e+00    5.60254167e+00    5.60399454e+00    1.07165577e-06    3.60506881e-07    1.09111502e-03    9.31156387e-04   -1.09218668e-03
62       8.97960810e-07    2.63557120e+00    5.60281246e+00    5.60423365e+00    1.05362788e-06    3.63361086e-07    1.09088076e-03    9.31471104e-04   -1.09193439e-03
63       8.98110928e-07    2.63076201e+00    5.60309379e+00    5.60447276e+00    9.93383279e-07    3.91611563e-07    1.09056937e-03    9.31798111e-04   -1.09156276e-03
64       8.98411164e-07    2.62034922e+00    5.60366611e+00    5.60495092e+00    8.95509614e-07    3.76357418e-07    1.08997109e-03    9.32463561e-04   -1.09086660e-03
65       8.98711400e-07    2.60861537e+00    5.60426713e+00    5.60542902e+00    7.27565965e-07    4.30108923e-07    1.08909440e-03    9.33162625e-04   -1.08982197e-03
66       8.99011636e-07    2.59566292e+00    5.60486041e+00    5.60590707e+00    5.87619709e-07    4.69234101e-07    1.08827775e-03    9.33718989e-04   -1.08886537e-03
67       8.99311872e-07    2.58268601e+00    5.60536159e+00    5.60638506e+00    4.49949516e-07    5.56093148e-07    1.08758723e-03    9.34000235e-04   -1.08803719e-03
68       8.99612108e-07    2.57061566e+00    5.60579853e+00    5.60686300e+00    4.54636221e-07    6.18111651e-07    1.08694691e-03    9.34157749e-04   -1.08740154e-03
69       8.99912344e-07    2.55963879e+00    5.60621839e+00    5.60734088e+00    4.14575852e-07    6.94177026e-07    1.08628611e-03    9.34236525e-04   -1.08670069e-03
70       9.00212580e-07    2.54963006e+00    5.60663993e+00    5.60781870e+00    4.58120979e-07    7.31161460e-07    1.08563136e-03    9.34297168e-04   -1.08608948e-03
71       9.00512816e-07    2.54039488e+00    5.60706854e+00    5.60829646e+00    4.29212751e-07    7.86174539e-07    1.08494616e-03    9.34319135e-04   -1.08537538e-03
72       9.00813052e-07    2.53176141e+00    5.60750434e+00    5.60877416e+00    4.73017436e-07    8.07947132e-07    1.08426932e-03    9.34335464e-04   -1.08474234e-03
73       9.01413524e-07    2.51580545e+00    5.60839137e+00    5.60972940e+00    4.45171987e-07    8.81084270e-07    1.08286963e-03    9.34280097e-04   -1.08331480e-03
74       9.02614468e-07    2.48747199e+00    5.61020313e+00    5.61163919e+00    4.92530805e-07    9.50544428e-07    1.08004931e-03    9.33971788e-04   -1.08054184e-03
75       9.03815412e-07    2.46233521e+00    5.61205086e+00    5.61354807e+00    4.63785525e-07    1.02046773e-06    1.07716084e-03    9.33405414e-04   -1.07762463e-03
76       9.05016356e-07    2.43941295e+00    5.61391641e+00    5.61545602e+00    5.01759476e-07    1.04849294e-06    1.07427390e-03    9.32639631e-04   -1.07477566e-03
77       9.06217300e-07    2.41828471e+00    5.61579419e+00    5.61736306e+00    4.70112974e-07    1.08582003e-06    1.07134947e-03    9.31706591e-04   -1.07181958e-03
