Index       TIME              V(1)              V(2)              V(3)             I(VIN)             I(RB)             I(RC)            IC(Q1)            IB(Q1)      
0        0.00000000e+00    2.22044605e-16    1.05018272e-01    4.98946133e+00    1.05018272e-05   -1.05018272e-05   -1.05386665e-05    1.05386665e-05   -1.05018272e-05
1        9.90099010e-10   -5.55111512e-16    9.91238218e-02    4.99001788e+00    9.91238218e-06   -9.91238218e-06   -9.98211703e-06    9.98211703e-06   -9.91238219e-06
2        1.98019802e-09   -1.11022302e-16    8.38705797e-02    4.99209073e+00    8.38705797e-06   -8.38705797e-06   -7.90927411e-06    7.90927411e-06   -8.38705797e-06
3        2.97029703e-09    2.42574257e+00    3.89926335e-01    5.20057892e+00   -2.03581624e-04    2.03581624e-04    2.00578915e-04   -2.00578915e-04    2.03581624e-04
4        3.96039604e-09    4.90099010e+00    7.62377095e-01    5.25531088e+00   -4.13861300e-04    4.13861300e-04    2.55310885e-04   -2.55310885e-04    4.13861300e-04
5        4.95049505e-09    5.00000000e+00    7.94689997e-01    4.93161747e+00   -4.20531000e-04    4.20531000e-04   -6.83825337e-05    6.83825337e-05    4.20531000e-04
6        5.94059406e-09    5.00000000e+00    8.08146931e-01    4.61938970e+00   -4.19185307e-04    4.19185307e-04   -3.80610301e-04    3.80610301e-04    4.19185307e-04
7        6.93069307e-09    5.00000000e+00    8.16555797e-01    4.31849422e+00   -4.18344420e-04    4.18344420e-04   -6.81505778e-04    6.81505778e-04    4.18344420e-04
8        7.92079208e-09    5.00000000e+00    8.22597174e-01    4.03561788e+00   -4.17740283e-04    4.17740283e-04   -9.64382119e-04    9.64382119e-04    4.17740283e-04
9        8.91089109e-09    5.00000000e+00    8.27225350e-01    3.76713148e+00   -4.17277465e-04    4.17277465e-04   -1.23286852e-03    1.23286852e-03    4.17277465e-04
10       9.90099010e-09    5.00000000e+00    8.30952263e-01    3.51432881e+00   -4.16904774e-04    4.16904774e-04   -1.48567119e-03    1.48567119e-03    4.16904774e-04
11       1.08910891e-08    5.00000000e+00    8.34026752e-01    3.27506480e+00   -4.16597325e-04    4.16597325e-04   -1.72493520e-03    1.72493520e-03    4.16597325e-04
12       1.18811881e-08    5.00000000e+00    8.36633726e-01    3.04946110e+00   -4.16336627e-04    4.16336627e-04   -1.95053890e-03    1.95053890e-03    4.16336627e-04
13       1.28712871e-08    5.00000000e+00    8.38868399e-01    2.83607913e+00   -4.16113160e-04    4.16113160e-04   -2.16392087e-03    2.16392087e-03    4.16113160e-04
14       1.38613861e-08    5.00000000e+00    8.40819854e-01    2.63466095e+00   -4.15918015e-04    4.15918015e-04   -2.36533905e-03    2.36533905e-03    4.15918015e-04
15       1.48514851e-08    5.00000000e+00    8.42532058e-01    2.44417259e+00   -4.15746794e-04    4.15746794e-04   -2.55582741e-03    2.55582741e-03    4.15746794e-04
16       1.58415842e-08    5.00000000e+00    8.44055870e-01    2.26421918e+00   -4.15594413e-04    4.15594413e-04   -2.73578082e-03    2.73578082e-03    4.15594413e-04
17       1.68316832e-08    5.00000000e+00    8.45413676e-01    2.09403299e+00   -4.15458632e-04    4.15458632e-04   -2.90596701e-03    2.90596701e-03    4.15458632e-04
18       1.78217822e-08    5.00000000e+00    8.46638065e-01    1.93317311e+00   -4.15336193e-04    4.15336193e-04   -3.06682689e-03    3.06682689e-03    4.15336193e-04
19       1.88118812e-08    5.00000000e+00    8.47740834e-01    1.78106569e+00   -4.15225917e-04    4.15225917e-04   -3.21893431e-03    3.21893431e-03    4.15225917e-04
20       1.98019802e-08    5.00000000e+00    8.48744773e-01    1.63725986e+00   -4.15125523e-04    4.15125523e-04   -3.36274014e-03    3.36274014e-03    4.15125523e-04
21       2.07920792e-08    5.00000000e+00    8.49655829e-01    1.50133528e+00   -4.15034417e-04    4.15034417e-04   -3.49866472e-03    3.49866472e-03    4.15034417e-04
22       2.17821782e-08    5.00000000e+00    8.50491155e-01    1.37284332e+00   -4.14950885e-04    4.14950885e-04   -3.62715668e-03    3.62715668e-03    4.14950885e-04
23       2.27722772e-08    5.00000000e+00    8.51253073e-01    1.25149583e+00   -4.14874693e-04    4.14874693e-04   -3.74850417e-03    3.74850417e-03    4.14874693e-04
24       2.37623762e-08    5.00000000e+00    8.51955425e-01    1.13684545e+00   -4.14804458e-04    4.14804458e-04   -3.86315455e-03    3.86315455e-03    4.14804458e-04
25       2.47524752e-08    5.00000000e+00    8.52597939e-01    1.02872994e+00   -4.14740206e-04    4.14740206e-04   -3.97127006e-03    3.97127006e-03    4.14740206e-04
26       2.57425743e-08    5.00000000e+00    8.53192671e-01    9.26690911e-01   -4.14680733e-04    4.14680733e-04   -4.07330909e-03    4.07330909e-03    4.14680733e-04
27       2.67326733e-08    5.00000000e+00    8.53737049e-01    8.30703795e-01   -4.14626295e-04    4.14626295e-04   -4.16929621e-03    4.16929621e-03    4.14626295e-04
28       2.77227723e-08    5.00000000e+00    8.54242671e-01    7.40268975e-01   -4.14575733e-04    4.14575733e-04   -4.25973102e-03    4.25973102e-03    4.14575733e-04
29       2.87128713e-08    5.00000000e+00    8.54704176e-01    6.55545079e-01   -4.14529582e-04    4.14529582e-04   -4.34445492e-03    4.34445492e-03    4.14529582e-04
30       2.97029703e-08    5.00000000e+00    8.55134596e-01    5.75914545e-01   -4.14486540e-04    4.14486540e-04   -4.42408545e-03    4.42408545e-03    4.14486540e-04
31       3.06930693e-08    5.00000000e+00    8.55523508e-01    5.01861385e-01   -4.14447649e-04    4.14447649e-04   -4.49813861e-03    4.49813861e-03    4.14447649e-04
