Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        0.00000000e+00    3.91195120e+00    4.00000000e+00    4.00000000e+00    0.00000000e+00    0.00000000e+00    2.91195043e-04    4.03781348e-12   -2.91195043e-04
1        1.00000000e-10    3.91196022e+00    4.00002727e+00    4.00018850e+00    1.06292384e-07    5.49324151e-08    2.91098760e-04    4.30747476e-12   -2.91205052e-04
2        3.00000000e-10    3.91198091e+00    4.00015685e+00    4.00056549e+00    2.78137095e-07    1.30503738e-07    2.90930308e-04    1.29575491e-11   -2.91208445e-04
3        7.00000000e-10    3.91200369e+00    4.00059738e+00    4.00131947e+00    5.00236414e-07    2.21847977e-07    2.90705963e-04    1.33431200e-10   -2.91206199e-04
4        1.10000000e-09    3.91201079e+00    4.00115197e+00    4.00207345e+00    6.42196415e-07    2.79281598e-07    2.90561141e-04    4.85196819e-10   -2.91203338e-04
5        1.90000000e-09    3.91199362e+00    4.00247361e+00    4.00358141e+00    7.75033620e-07    3.32776048e-07    2.90424405e-04    2.22256478e-09   -2.91199439e-04
6        2.70000000e-09    3.91196132e+00    4.00389443e+00    4.00508938e+00    8.37195265e-07    3.57752052e-07    2.90360403e-04    5.50314069e-09   -2.91197598e-04
7        4.30000000e-09    3.91187718e+00    4.00685706e+00    4.00810530e+00    8.75258578e-07    3.72982583e-07    2.90324253e-04    1.70522801e-08   -2.91199512e-04
8        7.50000000e-09    3.91168950e+00    4.01286932e+00    4.01413711e+00    8.89331947e-07    3.78459659e-07    2.90333807e-04    6.00543630e-08   -2.91223139e-04
9        1.39000000e-08    3.91128287e+00    4.02492806e+00    4.02620055e+00    8.92948698e-07    3.79536430e-07    2.90454296e-04    2.25314355e-07   -2.91347245e-04
10       2.67000000e-08    3.91036256e+00    4.04905125e+00    4.05032595e+00    8.95081679e-07    3.79626103e-07    2.91006355e-04    8.72380710e-07   -2.91901437e-04
11       5.23000000e-08    3.90808553e+00    4.09728708e+00    4.09856544e+00    8.98811653e-07    3.79543265e-07    2.93332476e-04    3.43174344e-06   -2.94231288e-04
12       7.79000000e-08    3.90520264e+00    4.14549632e+00    4.14677942e+00    9.03765371e-07    3.79333990e-07    2.97280764e-04    7.67552688e-06   -2.98184530e-04
13       1.03500000e-07    3.90168215e+00    4.19366760e+00    4.19495542e+00    9.08787796e-07    3.79035341e-07    3.02845021e-04    1.35993464e-05   -3.03753809e-04
14       1.29100000e-07    3.89749060e+00    4.24178848e+00    4.24308099e+00    9.13871380e-07    3.78638752e-07    3.10015857e-04    2.11970421e-05   -3.10929729e-04
15       1.54700000e-07    3.89259225e+00    4.28984649e+00    4.29114367e+00    9.19033098e-07    3.78144060e-07    3.18781774e-04    3.04607168e-05   -3.19700807e-04
16       1.80300000e-07    3.88694868e+00    4.33782918e+00    4.33913102e+00    9.24292780e-07    3.77551368e-07    3.29129277e-04    4.13807463e-05   -3.30053570e-04
17       2.03340000e-07    3.88119844e+00    4.38093868e+00    4.38224498e+00    9.29391982e-07    3.76896431e-07    3.39780828e-04    5.26155543e-05   -3.40710221e-04
