Index       FREQ        Re({V(VOUT)+1.0}) Im({V(VOUT)+1.0})  Re({V(IN)+4.0})   Im({V(IN)+4.0})   Re({V(1)+4.0})    Im({V(1)+4.0})      Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
0       -2.00000000e+07    1.00003767e+00    2.22049365e-04    3.99999974e+00    5.19984481e-07    4.00000000e+00    1.69056180e-17    2.01288780e-10   -1.55853035e-09    5.99957058e-11    1.03856510e-09    3.39231623e-08    1.07718094e-08    2.75666435e-08   -1.25182311e-08   -3.41244510e-08   -9.21327871e-09
1       -1.99000000e+07    1.00027518e+00   -2.66651458e-04    4.00000055e+00    1.17399249e-06    4.00000000e+00   -2.61054977e-17   -1.78766099e-09   -1.72255715e-09    1.23273813e-09    5.48583823e-10    4.14922615e-08   -4.63669770e-08    1.55209572e-08   -1.79837076e-08   -3.97046001e-08    4.80895337e-08
2       -1.98000000e+07    9.99748823e-01   -7.57536207e-05    4.00000076e+00   -5.23563381e-07    4.00000000e+00    1.58676490e-17   -1.63668804e-09    3.51746124e-10    8.81535159e-10    1.71823946e-10   -1.46398146e-08   -3.43486462e-08    9.78363840e-09   -2.95463581e-08    1.62765023e-08    3.39968999e-08
3       -1.97000000e+07    1.00018957e+00    1.08586339e-06    3.99999994e+00    6.92025733e-07    4.00000000e+00    1.07543553e-17   -1.40169811e-09    4.99664721e-11    1.45878795e-09   -7.41965828e-10    3.71732841e-09   -3.13062922e-08   -1.66543393e-08   -2.90185089e-08   -2.31563004e-09    3.12563257e-08
4       -1.96000000e+07    9.99745245e-01   -2.76679402e-04    4.00000115e+00   -8.98924935e-07    4.00000000e+00    3.24572716e-17   -1.56517165e-09    1.86638083e-09    4.20164810e-10   -9.67453257e-10   -4.81172143e-08   -3.76169225e-08   -2.07996033e-08   -1.12199143e-08    4.96823856e-08    3.57505413e-08
5       -1.95000000e+07    9.99891128e-01    2.77619140e-04    3.99999904e+00   -2.71317377e-07    4.00000000e+00   -1.35622507e-18    5.98026266e-10    1.69224356e-09    3.57842490e-10   -1.42090075e-09   -3.64159067e-08    1.99777689e-08   -2.83320996e-08   -7.42583844e-09    3.58178803e-08   -2.16700121e-08
6       -1.94000000e+07    1.00004171e+00   -1.55725095e-04    4.00000043e+00   -2.68914794e-07    4.00000000e+00    1.94848265e-17    2.31591081e-10    1.26044490e-09   -6.56613043e-10   -9.91511991e-10   -2.69973624e-08    1.53743570e-09   -2.90385220e-08    1.88787943e-08    2.67657714e-08   -2.79788082e-09
7       -1.93000000e+07    9.99726865e-01    2.37567535e-04    3.99999892e+00   -5.62046086e-07    4.00000000e+00   -1.04697866e-16    1.95701882e-09    1.39887342e-09   -8.72566524e-10   -8.36811789e-10   -3.44136714e-08    4.92994134e-08   -8.02403745e-09    2.36293451e-08    3.24566522e-08   -5.06982865e-08
8       -1.92000000e+07    1.00030025e+00    1.38448481e-04    3.99999936e+00    5.69948792e-07    4.00000000e+00    5.30707439e-17    1.67799890e-09   -7.98238245e-10   -1.03642100e-09    2.28324304e-10    2.59098074e-08    3.78710430e-08   -4.10705570e-09    2.68500290e-08   -2.75878059e-08   -3.70728046e-08
9       -1.91000000e+07    9.99879307e-01   -8.37722906e-05    3.99999976e+00    1.54177373e-07    4.00000000e+00    2.09463203e-17    1.11835618e-09   -4.10765462e-10   -8.77145727e-10    2.56592300e-10    5.95550436e-09    2.22201122e-08    2.01484875e-08    2.87381547e-08   -7.07386071e-09   -2.18093468e-08
10      -1.90000000e+07    1.00021499e+00    2.65000259e-04    3.99999906e+00    5.93868266e-07    4.00000000e+00    5.86271223e-18    1.19129526e-09   -1.97443522e-09   -2.47055488e-10    1.38059730e-09    5.05183998e-08    3.09344517e-08    2.70471239e-08    5.02653627e-09   -5.17096948e-08   -2.89600162e-08
11      -1.89000000e+07    1.00016431e+00   -3.18707760e-04    4.00000068e+00    1.04082990e-06    4.00000000e+00   -5.23277818e-17   -9.90836854e-10   -1.66577785e-09    3.15126149e-10    6.24948450e-10    3.83358992e-08   -3.17254377e-08    2.46986219e-08    4.30797801e-10   -3.73450621e-08    3.33912151e-08
12      -1.88000000e+07    9.99873188e-01    8.52006964e-05    3.99999972e+00   -2.71167744e-07    4.00000000e+00   -2.78828738e-17   -5.96571578e-10   -9.06501665e-10    8.73235241e-10    1.17767756e-09    1.75253046e-08   -1.01065824e-08    2.86035018e-08   -2.10311070e-08   -1.69287332e-08    1.10130842e-08
13      -1.87000000e+07    1.00025270e+00   -1.87295447e-04    4.00000068e+00    1.07292251e-06    4.00000000e+00    2.79834662e-17   -1.98088767e-09   -1.01147674e-09    1.29613651e-09   -6.14373168e-11    2.68256317e-08   -5.10659947e-08    1.77555814e-09   -3.03788386e-08   -2.48447437e-08    5.20774712e-08
14      -1.86000000e+07    9.99667356e-01   -1.86089071e-04    4.00000048e+00   -1.05616350e-06    4.00000000e+00    1.00542106e-16   -1.64702691e-09    1.22377575e-09    1.16961736e-09   -1.67621858e-10   -3.68065354e-08   -3.83206260e-08   -3.01438648e-09   -2.23754548e-08    3.84535618e-08    3.70968500e-08
