Index       FREQ          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}        Re(IG(MP1))       Im(IG(MP1))       Re(IG(MN1))       Im(IG(MN1))       Re(IS(MP1))       Im(IS(MP1))       Re(ID(MN1))       Im(ID(MN1))       Re(ID(MP1))       Im(ID(MP1))   
22      -1.78000000e+07    1.00007607e+00    3.99999956e+00    4.00000000e+00    4.66423502e-10   -1.89627482e-09   -2.37581556e-11    1.34710965e-09    4.74678885e-08    1.46042500e-08    3.81593121e-08   -5.82787353e-09   -4.79343119e-08   -1.27079749e-08
23      -1.77000000e+07    1.00022521e+00    4.00000102e+00    4.00000000e+00   -1.76453520e-09   -1.43393680e-09    7.47435773e-10    1.00586778e-09    3.62751883e-08   -5.18145167e-08    1.57863678e-08   -1.66027573e-08   -3.45106528e-08    5.32484530e-08
24      -1.76000000e+07    9.99706994e-01    4.00000048e+00    4.00000000e+00   -1.04367162e-09   -5.09658410e-11    5.64825731e-10    4.62437604e-10   -7.07043835e-09   -2.39327095e-08    2.17380375e-08   -2.22360196e-08    8.11410956e-09    2.39836752e-08
25      -1.75000000e+07    1.00016862e+00    4.00000044e+00    4.00000000e+00   -1.81922286e-09   -2.93742038e-10    1.37706062e-09    1.38360365e-10    1.02618350e-08   -4.52057047e-08   -8.08395387e-09   -4.05902042e-08   -8.44261192e-09    4.54994467e-08
26      -1.74000000e+07    9.99667558e-01    4.00000102e+00    4.00000000e+00   -1.32319762e-09    1.87358391e-09    3.00728427e-10   -1.03321246e-09   -5.55393842e-08   -3.44293987e-08   -2.11086000e-08   -1.32336758e-08    5.68625813e-08    3.25558145e-08
27      -1.73000000e+07    9.99920640e-01    3.99999939e+00    4.00000000e+00    1.90773894e-10    1.11408331e-09    4.19876541e-10   -5.32366877e-10   -2.65171897e-08    1.37493508e-08   -2.19730036e-08   -1.89581633e-08    2.63264157e-08   -1.48634337e-08
28      -1.72000000e+07    1.00001808e+00    4.00000067e+00    4.00000000e+00   -1.20336012e-10    1.67013632e-09   -5.48231593e-10   -1.43970921e-09   -4.14399386e-08   -5.86877726e-09   -4.18399281e-08    1.01363159e-08    4.15602746e-08    4.19864074e-09
29      -1.71000000e+07    9.99770484e-01    3.99999900e+00    4.00000000e+00    2.00500020e-09    1.22307066e-09   -1.00918149e-09   -3.64506206e-10   -3.25935585e-08    5.87073064e-08   -1.10427235e-08    2.57655975e-08    3.05885580e-08   -5.99303766e-08
30      -1.70000000e+07    1.00036237e+00    3.99999990e+00    4.00000000e+00    1.16487036e-09   -4.70699581e-10   -1.06427201e-09   -2.42601752e-10    2.14192209e-08    2.87564916e-08   -1.47877902e-08    2.15330500e-08   -2.25840908e-08   -2.82857919e-08
31      -1.69000000e+07    9.99887427e-01    3.99999968e+00    4.00000000e+00    1.54543298e-09   -2.43245248e-11   -1.22344327e-09    3.13168845e-10   -1.93832091e-09    3.68491017e-08    1.16023238e-08    4.25786431e-08    3.92887777e-10   -3.68247773e-08
32      -1.68000000e+07    1.00029468e+00    3.99999961e+00    4.00000000e+00    1.10553209e-09   -2.13324695e-09   -7.16609133e-10    1.25689006e-09    6.20545194e-08    3.04985265e-08    3.13141187e-08    8.94507999e-09   -6.31600511e-08   -2.83652792e-08
33      -1.67000000e+07    1.00013026e+00    4.00000060e+00    4.00000000e+00   -7.00363395e-10   -1.18403228e-09    9.76415887e-11    6.29800082e-10    3.01952250e-08   -2.92774082e-08    2.05698569e-08    9.99285491e-09   -2.94948614e-08    3.04614399e-08
