Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
0        0.00000000e+00    3.91195120e+00    4.00000000e+00    4.00000000e+00    0.00000000e+00    0.00000000e+00    2.91195043e-04    4.03781348e-12   -2.91195043e-04
1        1.00000000e-10    3.91196022e+00    4.00002727e+00    4.00018850e+00    1.06292384e-07    5.49324151e-08    2.91098760e-04    4.30747476e-12   -2.91205052e-04
2        3.00000000e-10    3.91198091e+00    4.00015685e+00    4.00056549e+00    2.78137095e-07    1.30503738e-07    2.90930308e-04    1.29575491e-11   -2.91208445e-04
3        7.00000000e-10    3.91201295e+00    4.00052759e+00    4.00131947e+00    5.48984511e-07    2.42895936e-07    2.90658094e-04    1.04961905e-10   -2.91207078e-04
4        1.50000000e-09    3.91202137e+00    4.00168782e+00    4.00282743e+00    7.98233258e-07    3.41378246e-07    2.90401368e-04    1.03693481e-09   -2.91199601e-04
5        3.10000000e-09    3.91195076e+00    4.00456320e+00    4.00584336e+00    8.97543560e-07    3.82617657e-07    2.90299833e-04    7.55396009e-09   -2.91197376e-04
6        6.30000000e-09    3.91176262e+00    4.01060668e+00    4.01187519e+00    8.90280028e-07    3.78231531e-07    2.90320272e-04    4.07948828e-08   -2.91210552e-04
7        1.27000000e-08    3.91136212e+00    4.02266314e+00    4.02393868e+00    8.94844234e-07    3.80697855e-07    2.90421589e-04    1.86231669e-07   -2.91316434e-04
8        2.55000000e-08    3.91045559e+00    4.04679050e+00    4.04806431e+00    8.95127854e-07    3.78685793e-07    2.90936084e-04    7.93819005e-07   -2.91831212e-04
9        5.11000000e-08    3.90820662e+00    4.09502249e+00    4.09630468e+00    9.01851426e-07    3.80340282e-07    2.93183217e-04    3.27383896e-06   -2.94085068e-04
10       1.02300000e-07    3.90186337e+00    4.19140983e+00    4.19269820e+00    9.10286477e-07    3.78082743e-07    3.02544819e-04    1.32841139e-05   -3.03455105e-04
11       2.04700000e-07    3.88083970e+00    4.38347731e+00    4.38478748e+00    9.32617023e-07    3.77557911e-07    3.40444801e-04    5.33191639e-05   -3.41377418e-04
12       3.07100000e-07    3.84647237e+00    4.57395787e+00    4.57528444e+00    9.54732455e-07    3.71839449e-07    4.03095004e-04    1.19443908e-04   -4.04049736e-04
13       4.09500000e-07    3.79513874e+00    4.76204846e+00    4.76340076e+00    9.84147706e-07    3.68155182e-07    4.89027612e-04    2.10556740e-04   -4.90011760e-04
14       5.11900000e-07    3.72134767e+00    4.94697909e+00    4.94835799e+00    1.01949045e-06    3.59407408e-07    5.96180745e-04    3.25150743e-04   -5.97200236e-04
15       6.14300000e-07    3.61579029e+00    5.12796566e+00    5.12939074e+00    1.07243646e-06    3.52638244e-07    7.21698708e-04    4.61313032e-04   -7.22771145e-04
16       7.16700000e-07    3.45963954e+00    5.30425624e+00    5.30574987e+00    1.15263874e-06    3.40932231e-07    8.61406382e-04    6.16779330e-04   -8.62559021e-04
17       7.30598684e-07    3.43253423e+00    5.32777727e+00    5.32928645e+00    1.16770594e-06    3.40889872e-07    8.81098917e-04    6.39225988e-04   -8.82266624e-04
