Index       TIME             V(6,2)           V(15,10)           V(5,3)      
0        0.00000000e+00    5.00000000e-02   -2.22044605e-16   -2.30655827e-03
1        2.43902439e-06    5.00000000e-02    7.63246421e-03    2.10304510e-01
2        4.87804878e-06    5.00000000e-02    1.50860299e-02    4.14435166e-01
3        7.31707317e-06    5.00000000e-02    2.21859919e-02    6.02562775e-01
4        9.75609756e-06    5.00000000e-02    2.87659330e-02    7.69004727e-01
5        1.21951220e-05    5.00000000e-02    3.46716250e-02    9.10283056e-01
6        1.46341463e-05    5.00000000e-02    3.97646436e-02    1.02501205e+00
7        1.70731707e-05    5.00000000e-02    4.39256125e-02    1.11340940e+00
8        1.95121951e-05    5.00000000e-02    4.70570024e-02    1.17662241e+00
9        2.19512195e-05    5.00000000e-02    4.90854160e-02    1.21606342e+00
10       2.43902439e-05    5.00000000e-02    4.99633091e-02    1.23288408e+00
11       2.68292683e-05    5.00000000e-02    4.96701045e-02    1.22764010e+00
12       2.92682927e-05    5.00000000e-02    4.82126748e-02    1.20014951e+00
13       3.17073171e-05    5.00000000e-02    4.56251808e-02    1.14953705e+00
14       3.41463415e-05    5.00000000e-02    4.19682713e-02    1.07446788e+00
15       3.65853659e-05    5.00000000e-02    3.73276611e-02    9.73577220e-01
16       3.90243902e-05    5.00000000e-02    3.18121221e-02    8.46074658e-01
17       4.14634146e-05    5.00000000e-02    2.55509340e-02    6.92435338e-01
18       4.39024390e-05    5.00000000e-02    1.86908536e-02    5.15011531e-01
19       4.63414634e-05    5.00000000e-02    1.13926754e-02    3.18360145e-01
20       4.87804878e-05    5.00000000e-02    3.82746264e-03    1.09128261e-01
21       5.12195122e-05    5.00000000e-02   -3.82746264e-03   -1.04536476e-01
22       5.36585366e-05    5.00000000e-02   -1.13926754e-02   -3.13935632e-01
23       5.60975610e-05    5.00000000e-02   -1.86908536e-02   -5.10904299e-01
24       5.85365854e-05    5.00000000e-02   -2.55509340e-02   -6.88764410e-01
25       6.09756098e-05    5.00000000e-02   -3.18121221e-02   -8.42920682e-01
26       6.34146341e-05    5.00000000e-02   -3.73276611e-02   -9.70982683e-01
27       6.58536585e-05    5.00000000e-02   -4.19682713e-02   -1.07244403e+00
28       6.82926829e-05    5.00000000e-02   -4.56251808e-02   -1.14807485e+00
29       7.07317073e-05    5.00000000e-02   -4.82126748e-02   -1.19923143e+00
30       7.31707317e-05    5.00000000e-02   -4.96701045e-02   -1.22725002e+00
31       7.56097561e-05    5.00000000e-02   -4.99633091e-02   -1.23301387e+00
32       7.80487805e-05    5.00000000e-02   -4.90854160e-02   -1.21671588e+00
33       8.04878049e-05    5.00000000e-02   -4.70570024e-02   -1.17781025e+00
34       8.29268293e-05    5.00000000e-02   -4.39256125e-02   -1.11515051e+00
35       8.53658537e-05    5.00000000e-02   -3.97646436e-02   -1.02732111e+00
36       8.78048780e-05    5.00000000e-02   -3.46716250e-02   -9.13160445e-01
37       9.02439024e-05    5.00000000e-02   -2.87659330e-02   -7.72424782e-01
38       9.26829268e-05    5.00000000e-02   -2.21859919e-02   -6.06464420e-01
39       9.51219512e-05    5.00000000e-02   -1.50860299e-02   -4.18718111e-01
40       9.75609756e-05    5.00000000e-02   -7.63246421e-03   -2.14832869e-01
End of Xyce(TM) Simulation
