Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
32       2.08863105e-05    2.82322669e+00    5.58380771e+00    5.58563400e+00    1.50328924e-06    3.22345994e-07    1.08940173e-03    9.09512917e-04   -1.09090502e-03
33       2.08919806e-05    2.75379945e+00    5.59288679e+00    5.59469698e+00    1.48598554e-06    3.22536910e-07    1.09263775e-03    9.19970253e-04   -1.09412374e-03
34       2.08946566e-05    2.71106918e+00    5.59721464e+00    5.59896726e+00    1.42548294e-06    3.25770344e-07    1.09305930e-03    9.24976134e-04   -1.09448479e-03
35       2.08965155e-05    2.67348538e+00    5.60026917e+00    5.60193084e+00    1.32886925e-06    3.31003807e-07    1.09251325e-03    9.28517386e-04   -1.09384212e-03
36       2.08978175e-05    2.63943995e+00    5.60248973e+00    5.60400538e+00    1.16889840e-06    3.43538008e-07    1.09125293e-03    9.31096033e-04   -1.09242183e-03
37       2.08991195e-05    2.59209326e+00    5.60480226e+00    5.60607885e+00    8.53191905e-07    4.17880567e-07    1.08838132e-03    9.33666581e-04   -1.08923451e-03
38       2.09000874e-05    2.55598572e+00    5.60645274e+00    5.60761948e+00    5.29970223e-07    6.40533663e-07    1.08582832e-03    9.34486318e-04   -1.08635829e-03
39       2.09011556e-05    2.52380038e+00    5.60805268e+00    5.60931910e+00    4.65490155e-07    8.01577924e-07    1.08339973e-03    9.34497593e-04   -1.08386522e-03
40       2.09021170e-05    2.49941312e+00    5.60947897e+00    5.61084815e+00    4.61076533e-07    8.95551742e-07    1.08118407e-03    9.34245501e-04   -1.08164515e-03
41       2.09030783e-05    2.47776689e+00    5.61093857e+00    5.61237661e+00    4.71846338e-07    9.59820216e-07    1.07890372e-03    9.33854223e-04   -1.07937557e-03
42       2.09040397e-05    2.45804002e+00    5.61241722e+00    5.61390448e+00    4.78003494e-07    1.00530044e-06    1.07660081e-03    9.33329425e-04   -1.07707881e-03
43       2.09050011e-05    2.43977864e+00    5.61390812e+00    5.61543176e+00    4.81964014e-07    1.03895169e-06    1.07428353e-03    9.32689119e-04   -1.07476550e-03
44       2.09069238e-05    2.40668539e+00    5.61691979e+00    5.61848455e+00    4.86790346e-07    1.07252804e-06    1.06961333e-03    9.31154046e-04   -1.07010013e-03
45       2.09088466e-05    2.37694431e+00    5.61993994e+00    5.62153498e+00    4.88162471e-07    1.10229208e-06    1.06494363e-03    9.29284761e-04   -1.06543180e-03
46       2.09107693e-05    2.34981529e+00    5.62297084e+00    5.62458304e+00    4.89899737e-07    1.11918162e-06    1.06026721e-03    9.27187253e-04   -1.06075711e-03
47       2.09126921e-05    2.32477773e+00    5.62600772e+00    5.62762873e+00    4.90865145e-07    1.12793421e-06    1.05559266e-03    9.24908615e-04   -1.05608352e-03
48       2.09146148e-05    2.30146176e+00    5.62904754e+00    5.63067205e+00    4.91341903e-07    1.13152736e-06    1.05092439e-03    9.22482802e-04   -1.05141573e-03
49       2.09184603e-05    2.25904238e+00    5.63512789e+00    5.63675154e+00    4.91398966e-07    1.12884201e-06    1.04161868e-03    9.17306009e-04   -1.04211008e-03
50       2.09223058e-05    2.22087406e+00    5.64120670e+00    5.64282147e+00    4.91273573e-07    1.12350776e-06    1.03235687e-03    9.11753287e-04   -1.03284815e-03
51       2.09261513e-05    2.18607611e+00    5.64727651e+00    5.64888181e+00    4.90547408e-07    1.11275463e-06    1.02315061e-03    9.05936402e-04   -1.02364116e-03
52       2.09299968e-05    2.15399349e+00    5.65334052e+00    5.65493253e+00    4.90077760e-07    1.10052122e-06    1.01399407e-03    8.99917896e-04   -1.01448415e-03
53       2.09338423e-05    2.12416135e+00    5.65939590e+00    5.66097359e+00    4.89380565e-07    1.08726633e-06    1.00489184e-03    8.93740108e-04   -1.00538122e-03
54       2.09376877e-05    2.09623437e+00    5.66544188e+00    5.66700494e+00    4.88621557e-07    1.07364676e-06    9.95844712e-04    8.87435641e-04   -9.96333337e-04
55       2.09415332e-05    2.06994695e+00    5.67147812e+00    5.67302657e+00    4.87833223e-07    1.06000416e-06    9.86853013e-04    8.81029421e-04   -9.87340849e-04
56       2.09492242e-05    2.02155055e+00    5.68351528e+00    5.68504049e+00    4.86406933e-07    1.03879498e-06    9.69043748e-04    8.68004365e-04   -9.69530157e-04
57       2.09569152e-05    1.97761728e+00    5.69551615e+00    5.69701505e+00    4.84940157e-07    1.01395872e-06    9.51449608e-04    8.54744055e-04   -9.51934551e-04
58       2.09646062e-05    1.93735372e+00    5.70747696e+00    5.70894999e+00    4.83321335e-07    9.89708078e-07    9.34074686e-04    8.41346155e-04   -9.34558010e-04
59       2.09722972e-05    1.90015041e+00    5.71939598e+00    5.72084503e+00    4.81632573e-07    9.66779832e-07    9.16919770e-04    8.27867317e-04   -9.17401405e-04
60       2.09799881e-05    1.86555390e+00    5.73127424e+00    5.73269987e+00    4.79985419e-07    9.45174858e-07    8.99981615e-04    8.14354050e-04   -9.00461603e-04
61       2.09876791e-05    1.83320701e+00    5.74311075e+00    5.74451426e+00    4.78298906e-07    9.24837258e-07    8.83260047e-04    8.00836752e-04   -8.83738349e-04
62       2.09953701e-05    1.80282948e+00    5.75490536e+00    5.75628790e+00    4.76605227e-07    9.05651488e-07    8.66753622e-04    7.87341132e-04   -8.67230230e-04
63       2.10030611e-05    1.77419495e+00    5.76665789e+00    5.76802054e+00    4.74904915e-07    8.87516884e-07    8.50460907e-04    7.73887754e-04   -8.50935815e-04
64       2.10184431e-05    1.72147759e+00    5.79002785e+00    5.79136167e+00    4.72175475e-07    8.61650478e-07    8.18521275e-04    7.47188418e-04   -8.18993454e-04
65       2.10338250e-05    1.67382362e+00    5.81323549e+00    5.81453548e+00    4.68895860e-07    8.31099773e-07    7.87408754e-04    7.20805096e-04   -7.87877653e-04
66       2.10492070e-05    1.63043409e+00    5.83627149e+00    5.83753980e+00    4.65428097e-07    8.02881412e-07    7.57122462e-04    6.94826565e-04   -7.57587894e-04
67       2.10645889e-05    1.59067843e+00    5.85913358e+00    5.86037248e+00    4.61914101e-07    7.76992376e-07    7.27651908e-04    6.69304439e-04   -7.28113825e-04
68       2.10799709e-05    1.55406579e+00    5.88181992e+00    5.88303139e+00    4.58363371e-07    7.53108660e-07    6.98986010e-04    6.44275821e-04   -6.99444377e-04
69       2.10953529e-05    1.52020581e+00    5.90432869e+00    5.90551441e+00    4.54775552e-07    7.30949826e-07    6.71113638e-04    6.19767963e-04   -6.71568417e-04
70       2.11107348e-05    1.48878182e+00    5.92665801e+00    5.92781944e+00    4.51149960e-07    7.10286061e-07    6.44023620e-04    5.95800883e-04   -6.44474774e-04
71       2.11261168e-05    1.45953255e+00    5.94880599e+00    5.94994440e+00    4.47486110e-07    6.90928002e-07    6.17704737e-04    5.72389124e-04   -6.18152226e-04
72       2.11414988e-05    1.43223936e+00    5.97077072e+00    5.97188722e+00    4.43783692e-07    6.72718153e-07    5.92145705e-04    5.49542992e-04   -5.92589492e-04
73       2.11568807e-05    1.40671694e+00    5.99255029e+00    5.99364585e+00    4.40042538e-07    6.55524330e-07    5.67335175e-04    5.27269452e-04   -5.67775222e-04
74       2.11876446e-05    1.36038866e+00    6.03553688e+00    6.03660244e+00    4.34258651e-07    6.31299089e-07    5.19922171e-04    4.84468161e-04   -5.20356434e-04
75       2.12184086e-05    1.31947447e+00    6.07776952e+00    6.07879812e+00    4.26642030e-07    6.01949658e-07    4.75356028e-04    4.43968221e-04   -4.75782674e-04
76       2.12491725e-05    1.28319672e+00    6.11922341e+00    6.12021711e+00    4.18774957e-07    5.74920359e-07    4.33552718e-04    4.05769748e-04   -4.33971497e-04
77       2.12799364e-05    1.25092378e+00    6.15988323e+00    6.16084395e+00    4.10753142e-07    5.49958159e-07    3.94418190e-04    3.69841474e-04   -3.94828947e-04
78       2.13107003e-05    1.22214420e+00    6.19973414e+00    6.20066345e+00    4.02581306e-07    5.26729606e-07    3.57857367e-04    3.36139083e-04   -3.58259952e-04
79       2.13414643e-05    1.19643641e+00    6.23876151e+00    6.23966074e+00    3.94261849e-07    5.04967826e-07    3.23774493e-04    3.04608683e-04   -3.24168759e-04
80       2.13722282e-05    1.17344754e+00    6.27695100e+00    6.27782126e+00    3.85797339e-07    4.84458672e-07    2.92073303e-04    2.75189076e-04   -2.92459104e-04
81       2.14029921e-05    1.15287823e+00    6.31428851e+00    6.31513073e+00    3.77190527e-07    4.65028035e-07    2.62657199e-04    2.47813433e-04   -2.63034393e-04
82       2.14337561e-05    1.13447154e+00    6.35076025e+00    6.35157522e+00    3.68444314e-07    4.46532671e-07    2.35429431e-04    2.22410558e-04   -2.35797879e-04
