Index       TIME             V(6,2)           V(15,10)           V(5,3)      
0        0.00000000e+00    5.00000000e-02    0.00000000e+00    1.50635060e-12
1        1.00000000e-10    5.00000000e-02    3.14159265e-07   -1.31625466e-09
2        3.00000000e-10    5.00000000e-02    9.42477796e-07   -6.77914702e-09
3        7.00000000e-10    5.00000000e-02    2.19911486e-06   -2.03158459e-08
4        1.50000000e-09    5.00000000e-02    4.71238897e-06    6.86110813e-08
5        3.10000000e-09    5.00000000e-02    9.73893716e-06    2.30144966e-06
6        6.30000000e-09    5.00000000e-02    1.97920332e-05    2.33575052e-05
7        1.27000000e-08    5.00000000e-02    3.98982225e-05    1.49014296e-04
8        2.55000000e-08    5.00000000e-02    8.01105784e-05    6.82555446e-04
9        5.11000000e-08    5.00000000e-02    1.60535109e-04    2.38768239e-03
10       1.02300000e-07    5.00000000e-02    3.21382715e-04    6.65800739e-03
11       2.04700000e-07    5.00000000e-02    6.43066286e-04    1.56608312e-02
12       4.09500000e-07    5.00000000e-02    1.28634025e-03    3.36194612e-02
13       8.19100000e-07    5.00000000e-02    2.57214272e-03    6.95234453e-02
14       1.63830000e-06    5.00000000e-02    5.13778659e-03    1.41030264e-01
15       3.27670000e-06    5.00000000e-02    1.02214882e-02    2.81777202e-01
16       6.55350000e-06    5.00000000e-02    2.00115338e-02    5.45756109e-01
17       9.83030000e-06    5.00000000e-02    2.89562903e-02    7.73689946e-01
18       1.31071000e-05    5.00000000e-02    3.66779302e-02    9.56296413e-01
19       1.63839000e-05    5.00000000e-02    4.28502907e-02    1.09105003e+00
20       1.96607000e-05    5.00000000e-02    4.72126506e-02    1.17968322e+00
21       2.29375000e-05    5.00000000e-02    4.95807435e-02    1.22555052e+00
22       2.62143000e-05    5.00000000e-02    4.98545408e-02    1.23103193e+00
23       2.91508554e-05    5.00000000e-02    4.83091237e-02    1.20199994e+00
24       3.17937553e-05    5.00000000e-02    4.55134244e-02    1.14729563e+00
25       3.44366551e-05    5.00000000e-02    4.14655576e-02    1.06384238e+00
26       3.70795550e-05    5.00000000e-02    3.62768883e-02    9.49894658e-01
27       3.97224548e-05    5.00000000e-02    3.00901675e-02    8.04716967e-01
28       4.23653547e-05    5.00000000e-02    2.30756045e-02    6.29401358e-01
29       4.50082546e-05    5.00000000e-02    1.54261844e-02    4.27892583e-01
30       4.76511544e-05    5.00000000e-02    7.35235833e-03    2.07080561e-01
31       5.29369541e-05    5.00000000e-02   -9.17443658e-03   -2.52872186e-01
32       5.82227539e-05    5.00000000e-02   -2.46985455e-02   -6.67145487e-01
33       6.35085536e-05    5.00000000e-02   -3.75233187e-02   -9.75350390e-01
34       6.80757549e-05    5.00000000e-02   -4.53421715e-02   -1.14239212e+00
35       7.21305246e-05    5.00000000e-02   -4.91895467e-02   -1.21803277e+00
36       7.57798173e-05    5.00000000e-02   -4.99399935e-02   -1.23262212e+00
37       7.89326301e-05    5.00000000e-02   -4.84813590e-02   -1.20525163e+00
38       8.17701615e-05    5.00000000e-02   -4.55440622e-02   -1.14794059e+00
39       8.46076930e-05    5.00000000e-02   -4.11629152e-02   -1.05737512e+00
40       8.74452245e-05    5.00000000e-02   -3.54768101e-02   -9.31698640e-01
41       9.02827559e-05    5.00000000e-02   -2.86660094e-02   -7.69952855e-01
42       9.31202874e-05    5.00000000e-02   -2.09464311e-02   -5.74294525e-01
43       9.59578189e-05    5.00000000e-02   -1.25628033e-02   -3.50304315e-01
44       9.87953503e-05    5.00000000e-02   -3.78090601e-03   -1.07861202e-01
45       1.04470413e-04    5.00000000e-02    1.38602724e-02    3.81206213e-01
46       1.10145476e-04    5.00000000e-02    2.97577723e-02    7.93303418e-01
47       1.15253033e-04    5.00000000e-02    4.09129637e-02    1.04989533e+00
48       1.19622051e-04    5.00000000e-02    4.71725372e-02    1.17890850e+00
49       1.23553633e-04    5.00000000e-02    4.97936721e-02    1.22960803e+00
50       1.27092057e-04    5.00000000e-02    4.95686584e-02    1.22576312e+00
51       1.30121899e-04    5.00000000e-02    4.74330922e-02    1.18512140e+00
52       1.32848756e-04    5.00000000e-02    4.40422555e-02    1.11754369e+00
53       1.35575614e-04    5.00000000e-02    3.93617105e-02    1.01854416e+00
54       1.38302471e-04    5.00000000e-02    3.35285194e-02    8.86596640e-01
55       1.41029329e-04    5.00000000e-02    2.67134982e-02    7.21613318e-01
56       1.43756187e-04    5.00000000e-02    1.91162141e-02    5.26259577e-01
57       1.46483044e-04    5.00000000e-02    1.09591416e-02    3.06488521e-01
58       1.49209902e-04    5.00000000e-02    2.48114781e-03    7.15991033e-02
59       1.54663617e-04    5.00000000e-02   -1.44424169e-02   -3.96979174e-01
60       1.60117332e-04    5.00000000e-02   -2.96866721e-02   -7.91582852e-01
61       1.65025675e-04    5.00000000e-02   -4.04982089e-02   -1.04093512e+00
62       1.69324048e-04    5.00000000e-02   -4.68539229e-02   -1.17263152e+00
63       1.73192582e-04    5.00000000e-02   -4.96779302e-02   -1.22738122e+00
64       1.76674264e-04    5.00000000e-02   -4.97235943e-02   -1.22864754e+00
65       1.79691332e-04    5.00000000e-02   -4.78435208e-02   -1.19304292e+00
66       1.82406693e-04    5.00000000e-02   -4.46826389e-02   -1.13059284e+00
67       1.85122055e-04    5.00000000e-02   -4.02242787e-02   -1.03725356e+00
68       1.87837416e-04    5.00000000e-02   -3.45979005e-02   -9.11474378e-01
69       1.90552777e-04    5.00000000e-02   -2.79668810e-02   -7.52740733e-01
70       1.93268138e-04    5.00000000e-02   -2.05237694e-02   -5.63247148e-01
71       1.95983500e-04    5.00000000e-02   -1.24846961e-02   -3.48181940e-01
72       1.98698861e-04    5.00000000e-02   -4.08309664e-03   -1.16272923e-01
