Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(V(3))          Im(V(3))         Re(I(VIN))        Im(I(VIN))         Re(I(RB))         Im(I(RB))         Re(I(RC))         Im(I(RC))        Re(IC(Q1))        Im(IC(Q1))        Re(IB(Q1))        Im(IB(Q1))    
20      -3.00000000e+08    1.18958366e-02    2.52802453e-02    1.21664023e-03    2.18121331e-03    1.83090272e-03    1.41518309e-03   -1.06791964e-06   -2.30990320e-06    1.06791964e-06    2.30990320e-06    1.83090272e-06    1.41518309e-06   -1.83090272e-06   -1.41518308e-06    1.06791964e-06    2.30990320e-06
21      -2.90000000e+08    2.34887284e-02    3.92488478e-03    1.81220055e-03    1.81014221e-03    1.96733686e-03    9.17826708e-04   -2.16765279e-06   -2.11474257e-07    2.16765279e-06    2.11474257e-07    1.96733686e-06    9.17826708e-07   -1.96733686e-06   -9.17826710e-07    2.16765279e-06    2.11474257e-07
22      -2.80000000e+08    3.35401430e-03    7.02353006e-03    2.06585198e-03    1.63898270e-03    2.33757759e-03    9.41132318e-04   -1.28816231e-07   -5.38454736e-07    1.28816231e-07    5.38454736e-07    2.33757759e-06    9.41132318e-07   -2.33757759e-06   -9.41132316e-07    1.28816232e-07    5.38454736e-07
23      -2.70000000e+08    2.57051056e-02    2.17042290e-02    2.67723806e-03    1.50986759e-03    2.93900590e-03    2.40535027e-04   -2.30278676e-06   -2.01943614e-06    2.30278676e-06    2.01943614e-06    2.93900590e-06    2.40535027e-07   -2.93900590e-06   -2.40535029e-07    2.30278676e-06    2.01943614e-06
24      -2.60000000e+08    3.13979030e-02   -1.04323116e-02    3.04917517e-03    7.39594475e-04    2.59768543e-03   -4.92588922e-04   -2.83487278e-06    1.11719061e-06    2.83487278e-06   -1.11719061e-06    2.59768543e-06   -4.92588922e-07   -2.59768543e-06    4.92588924e-07    2.83487278e-06   -1.11719061e-06
25      -2.50000000e+08    5.69571247e-03    6.18259793e-04    3.07563578e-03    2.71726902e-04    2.84257952e-03   -6.40447491e-04   -2.62007670e-07   -3.46532891e-08    2.62007670e-07    3.46532891e-08    2.84257952e-06   -6.40447491e-07   -2.84257952e-06    6.40447489e-07    2.62007669e-07    3.46532893e-08
26      -2.40000000e+08    3.78916466e-02    1.06102433e-02    3.68403452e-03   -2.30367351e-04    3.23450160e-03   -1.85468190e-03   -3.42076121e-06   -1.08406107e-06    3.42076121e-06    1.08406107e-06    3.23450160e-06   -1.85468190e-06   -3.23450160e-06    1.85468190e-06    3.42076121e-06    1.08406107e-06
27      -2.30000000e+08    3.14528548e-02   -3.16457009e-02    3.75948301e-03   -1.25788223e-03    2.31394789e-03   -2.50007430e-03   -2.76933718e-06    3.03878187e-06    2.76933718e-06   -3.03878187e-06    2.31394789e-06   -2.50007430e-06   -2.31394789e-06    2.50007430e-06    2.76933718e-06   -3.03878187e-06
28      -2.20000000e+08    2.07335424e-03   -7.78133729e-03    3.34513388e-03   -1.66896516e-03    2.34481250e-03   -2.44928533e-03    1.27177964e-07    6.11237213e-07   -1.27177964e-07   -6.11237213e-07    2.34481250e-06   -2.44928533e-06   -2.34481250e-06    2.44928533e-06   -1.27177964e-07   -6.11237213e-07
29      -2.10000000e+08    4.43632866e-02   -6.89758917e-03    3.51769027e-03   -2.46936676e-03    2.02108831e-03   -4.08552318e-03   -4.08455963e-06    4.42822241e-07    4.08455963e-06   -4.42822241e-07    2.02108831e-06   -4.08552318e-06   -2.02108831e-06    4.08552318e-06    4.08455963e-06   -4.42822241e-07
30      -2.00000000e+08    1.88948439e-02   -5.58406201e-02    2.98850968e-03   -3.86597112e-03    2.77218350e-04   -4.46982931e-03   -1.59063342e-06    5.19746490e-06    1.59063342e-06   -5.19746490e-06    2.77218350e-07   -4.46982931e-06   -2.77218348e-07    4.46982931e-06    1.59063342e-06   -5.19746490e-06
31      -1.90000000e+08   -9.61102170e-03   -1.38574517e-02    2.35710854e-03   -4.15140503e-03    5.15189658e-04   -4.13505422e-03    1.19681302e-06    9.70604666e-07   -1.19681302e-06   -9.70604666e-07    5.15189658e-07   -4.13505422e-06   -5.15189659e-07    4.13505423e-06   -1.19681302e-06   -9.70604666e-07
32      -1.80000000e+08    4.18951448e-02   -2.75109279e-02    2.25698503e-03   -4.77726732e-03   -5.11814470e-04   -5.70396305e-03   -3.96381598e-06    2.27336605e-06    3.96381598e-06   -2.27336605e-06   -5.11814470e-07   -5.70396305e-06    5.11814471e-07    5.70396305e-06    3.96381598e-06   -2.27336605e-06
33      -1.70000000e+08   -9.41123620e-03   -7.64828366e-02    6.88563717e-04   -5.81611585e-03   -3.33731514e-03   -4.76058603e-03    1.00997999e-06    7.06667207e-06   -1.00997999e-06   -7.06667207e-06   -3.33731514e-06   -4.76058603e-06    3.33731514e-06    4.76058603e-06   -1.00997999e-06   -7.06667207e-06
34      -1.60000000e+08   -2.90777440e-02   -1.14180219e-02   -6.87878818e-04   -5.85740060e-03   -2.99932710e-03   -4.11714253e-03    2.83898652e-06    5.56062127e-07   -2.83898652e-06   -5.56062127e-07   -2.99932710e-06   -4.11714253e-06    2.99932710e-06    4.11714253e-06   -2.83898652e-06   -5.56062127e-07
35      -1.50000000e+08    2.92874687e-02   -4.63906439e-02   -1.02186363e-03   -6.79246412e-03   -4.86249751e-03   -6.00153533e-03   -3.03093323e-06    3.95981798e-06    3.03093323e-06   -3.95981798e-06   -4.86249751e-06   -6.00153533e-06    4.86249751e-06    6.00153533e-06    3.03093324e-06   -3.95981798e-06
36      -1.40000000e+08   -5.41167132e-02   -8.50896909e-02   -2.83114267e-03   -7.17128370e-03   -7.64640211e-03   -2.79729814e-03    5.12855706e-06    7.79184072e-06   -5.12855706e-06   -7.79184072e-06   -7.64640211e-06   -2.79729814e-06    7.64640211e-06    2.79729813e-06   -5.12855706e-06   -7.79184072e-06
37      -1.30000000e+08   -5.26701929e-02    6.92668611e-03   -4.39692265e-03   -5.64213674e-03   -6.03655126e-03   -8.77094838e-04    4.82732702e-06   -1.25688228e-06   -4.82732702e-06    1.25688228e-06   -6.03655126e-06   -8.77094838e-07    6.03655126e-06    8.77094840e-07   -4.82732702e-06    1.25688228e-06
38      -1.20000000e+08    8.02604706e-03   -5.84237847e-02   -5.94254662e-03   -5.92395713e-03   -1.00159059e-02   -2.14509438e-03   -1.39685937e-06    5.24998276e-06    1.39685937e-06   -5.24998276e-06   -1.00159059e-05   -2.14509438e-06    1.00159059e-05    2.14509438e-06    1.39685937e-06   -5.24998276e-06
39      -1.10000000e+08   -1.13640185e-01   -7.17557070e-02   -9.08456029e-03   -6.15928595e-03   -1.27872129e-02    3.92870257e-03    1.04555625e-05    6.55964210e-06   -1.04555625e-05   -6.55964210e-06   -1.27872129e-05    3.92870257e-06    1.27872129e-05   -3.92870257e-06   -1.04555625e-05   -6.55964210e-06
40      -1.00000000e+08   -7.25187016e-02    4.98372507e-02   -9.58213972e-03   -4.34139369e-03   -7.13152247e-03    5.16830350e-03    6.29365619e-06   -5.41786444e-06   -6.29365619e-06    5.41786444e-06   -7.13152247e-06    5.16830350e-06    7.13152247e-06   -5.16830350e-06   -6.29365619e-06    5.41786444e-06
41      -9.00000000e+07   -1.78304738e-02   -5.97142600e-02   -9.87139479e-03   -3.05967462e-03   -1.17440620e-02    5.65296523e-03    7.95907904e-07    5.66545854e-06   -7.95907904e-07   -5.66545854e-06   -1.17440620e-05    5.65296523e-06    1.17440620e-05   -5.65296523e-06   -7.95907904e-07   -5.66545854e-06
42      -8.00000000e+07   -1.86781872e-01   -2.32338333e-02   -1.43194536e-02    7.59861854e-04   -1.19175390e-02    2.08897542e-02    1.72462418e-05    2.39936952e-06   -1.72462418e-05   -2.39936952e-06   -1.19175390e-05    2.08897542e-05    1.19175390e-05   -2.08897542e-05   -1.72462418e-05   -2.39936952e-06
43      -7.00000000e+07   -7.41699289e-02    1.31615471e-01   -1.73110711e-02    4.47485874e-03   -9.66236819e-04    1.96713462e-02    5.68588578e-06   -1.27140612e-05   -5.68588578e-06    1.27140612e-05   -9.66236819e-07    1.96713462e-05    9.66236820e-07   -1.96713462e-05   -5.68588578e-06    1.27140612e-05
44      -6.00000000e+07   -4.25757060e-02   -4.88413854e-02   -1.88073837e-02    2.90522433e-03   -1.00414135e-02    1.77433373e-02    2.37683223e-06    5.17466098e-06   -2.37683223e-06   -5.17466098e-06   -1.00414135e-05    1.77433373e-05    1.00414135e-05   -1.77433373e-05   -2.37683223e-06   -5.17466098e-06
45      -5.00000000e+07   -2.83695353e-01    9.24451011e-02   -1.85975307e-02    7.70122410e-03    1.12698655e-02    4.91276919e-02    2.65097822e-05   -8.47438770e-06   -2.65097822e-05    8.47438770e-06    1.12698655e-05    4.91276919e-05   -1.12698655e-05   -4.91276919e-05   -2.65097822e-05    8.47438770e-06
46      -4.00000000e+07   -2.00106552e-02    3.02946816e-01   -1.36835602e-02    2.34122333e-02    6.13887487e-02    3.70679493e-02    6.32709497e-07   -2.79534582e-05   -6.32709497e-07    2.79534582e-05    6.13887487e-05    3.70679493e-05   -6.13887487e-05   -3.70679493e-05   -6.32709497e-07    2.79534582e-05
47      -3.00000000e+07   -6.03592773e-02   -2.74589041e-02   -2.40980244e-02    4.24262576e-02    2.67630770e-02    4.61141764e-02    3.62612530e-06    6.98851616e-06   -3.62612530e-06   -6.98851616e-06    2.67630770e-05    4.61141764e-05   -2.67630770e-05   -4.61141764e-05   -3.62612530e-06   -6.98851616e-06
48      -2.00000000e+07   -5.23712969e-01    4.91789111e-01   -6.08117115e-02    6.47868801e-02    1.97508007e-01    1.60835127e-01    4.62901257e-05   -4.27002231e-05   -4.62901257e-05    4.27002231e-05    1.97508007e-04    1.60835127e-04   -1.97508007e-04   -1.60835127e-04   -4.62901257e-05    4.27002231e-05
49      -1.00000000e+07    4.93976601e-01    1.24876695e+00   -1.00611618e-01    7.09274642e-02    6.93459808e-01   -9.24069280e-01   -5.94588219e-05   -1.17783948e-04    5.94588219e-05    1.17783948e-04    6.93459808e-04   -9.24069280e-04   -6.93459808e-04    9.24069280e-04    5.94588219e-05    1.17783948e-04
