Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(V(3))          Im(V(3))         Re(I(VIN))        Im(I(VIN))         Re(I(RB))         Im(I(RB))         Re(I(RC))         Im(I(RC))        Re(IC(Q1))        Im(IC(Q1))        Re(IB(Q1))        Im(IB(Q1))    
73       2.30000000e+08    3.14528548e-02    3.16457009e-02    3.75948301e-03    1.25788223e-03    2.31394789e-03    2.50007430e-03   -2.76933718e-06   -3.03878187e-06    2.76933718e-06    3.03878187e-06    2.31394789e-06    2.50007430e-06   -2.31394789e-06   -2.50007430e-06    2.76933718e-06    3.03878187e-06
74       2.40000000e+08    3.78916466e-02   -1.06102433e-02    3.68403452e-03    2.30367351e-04    3.23450160e-03    1.85468190e-03   -3.42076121e-06    1.08406107e-06    3.42076121e-06   -1.08406107e-06    3.23450160e-06    1.85468190e-06   -3.23450160e-06   -1.85468190e-06    3.42076121e-06   -1.08406107e-06
75       2.50000000e+08    5.69571247e-03   -6.18259793e-04    3.07563578e-03   -2.71726902e-04    2.84257952e-03    6.40447491e-04   -2.62007670e-07    3.46532891e-08    2.62007670e-07   -3.46532891e-08    2.84257952e-06    6.40447491e-07   -2.84257952e-06   -6.40447489e-07    2.62007669e-07   -3.46532893e-08
76       2.60000000e+08    3.13979030e-02    1.04323116e-02    3.04917517e-03   -7.39594475e-04    2.59768543e-03    4.92588922e-04   -2.83487278e-06   -1.11719061e-06    2.83487278e-06    1.11719061e-06    2.59768543e-06    4.92588922e-07   -2.59768543e-06   -4.92588924e-07    2.83487278e-06    1.11719061e-06
77       2.70000000e+08    2.57051056e-02   -2.17042290e-02    2.67723806e-03   -1.50986759e-03    2.93900590e-03   -2.40535027e-04   -2.30278676e-06    2.01943614e-06    2.30278676e-06   -2.01943614e-06    2.93900590e-06   -2.40535027e-07   -2.93900590e-06    2.40535029e-07    2.30278676e-06   -2.01943614e-06
78       2.80000000e+08    3.35401430e-03   -7.02353006e-03    2.06585198e-03   -1.63898270e-03    2.33757759e-03   -9.41132318e-04   -1.28816231e-07    5.38454736e-07    1.28816231e-07   -5.38454736e-07    2.33757759e-06   -9.41132318e-07   -2.33757759e-06    9.41132316e-07    1.28816232e-07   -5.38454736e-07
79       2.90000000e+08    2.34887284e-02   -3.92488478e-03    1.81220055e-03   -1.81014221e-03    1.96733686e-03   -9.17826708e-04   -2.16765279e-06    2.11474257e-07    2.16765279e-06   -2.11474257e-07    1.96733686e-06   -9.17826708e-07   -1.96733686e-06    9.17826710e-07    2.16765279e-06   -2.11474257e-07
80       3.00000000e+08    1.18958366e-02   -2.52802453e-02    1.21664023e-03   -2.18121331e-03    1.83090272e-03   -1.41518309e-03   -1.06791964e-06    2.30990320e-06    1.06791964e-06   -2.30990320e-06    1.83090272e-06   -1.41518309e-06   -1.83090272e-06    1.41518308e-06    1.06791964e-06   -2.30990320e-06
81       3.10000000e+08   -1.73971666e-03   -9.40300630e-03    6.57222595e-04   -2.08784536e-03    1.16032268e-03   -1.73424014e-03    2.39693926e-07    7.31516095e-07   -2.39693926e-07   -7.31516095e-07    1.16032268e-06   -1.73424014e-06   -1.16032268e-06    1.73424014e-06   -2.39693926e-07   -7.31516094e-07
82       3.20000000e+08    1.27896827e-02   -1.04029307e-02    4.30587190e-04   -2.06139836e-03    8.47287994e-04   -1.58723897e-03   -1.23590955e-06    8.34153230e-07    1.23590955e-06   -8.34153230e-07    8.47287994e-07   -1.58723897e-06   -8.47287996e-07    1.58723897e-06    1.23590955e-06   -8.34153230e-07
83       3.30000000e+08    1.67740155e-04   -2.23947300e-02   -6.27899074e-05   -2.05036887e-03    6.01446826e-04   -1.74762885e-03   -2.30530062e-08    2.03443612e-06    2.30530062e-08   -2.03443612e-06    6.01446826e-07   -1.74762885e-06   -6.01446824e-07    1.74762885e-06    2.30530062e-08   -2.03443612e-06
84       3.40000000e+08   -6.51003581e-03   -7.85963839e-03   -4.63902375e-04   -1.72164190e-03    3.63121471e-05   -1.68931910e-03    6.04613344e-07    6.13799649e-07   -6.04613344e-07   -6.13799649e-07    3.63121471e-08   -1.68931910e-06   -3.63121495e-08    1.68931910e-06   -6.04613344e-07   -6.13799650e-07
85       3.50000000e+08    3.41376713e-03   -1.03587678e-02   -6.32197841e-04   -1.55054081e-03   -2.05787393e-04   -1.43399906e-03   -4.04596497e-07    8.80822700e-07    4.04596497e-07   -8.80822700e-07   -2.05787393e-07   -1.43399906e-06    2.05787395e-07    1.43399906e-06    4.04596498e-07   -8.80822699e-07
86       3.60000000e+08   -7.13331019e-03   -1.56040405e-02   -9.29756850e-04   -1.37196024e-03   -3.99528099e-04   -1.39538716e-03    6.20355334e-07    1.42320803e-06   -6.20355334e-07   -1.42320803e-06   -3.99528099e-07   -1.39538716e-06    3.99528097e-07    1.39538716e-06   -6.20355335e-07   -1.42320803e-06
87       3.70000000e+08   -8.94313773e-03   -3.96791374e-03   -1.06665602e-03   -9.85201083e-04   -7.06398942e-04   -1.15727923e-03    7.87648171e-07    2.98271266e-07   -7.87648171e-07   -2.98271266e-07   -7.06398942e-07   -1.15727923e-06    7.06398944e-07    1.15727923e-06   -7.87648171e-07   -2.98271266e-07
88       3.80000000e+08   -2.29718777e-03   -6.55560889e-03   -1.07170579e-03   -7.36742093e-04   -7.78753995e-04   -8.39622074e-04    1.22548198e-07    5.81886680e-07   -1.22548198e-07   -5.81886680e-07   -7.78753995e-07   -8.39622074e-07    7.78753994e-07    8.39622076e-07   -1.22548199e-07   -5.81886680e-07
89       3.90000000e+08   -9.45265167e-03   -7.96038946e-03   -1.17041847e-03   -4.93939288e-04   -8.50988443e-04   -6.80679003e-04    8.28223319e-07    7.46645017e-07   -8.28223319e-07   -7.46645017e-07   -8.50988443e-07   -6.80679003e-07    8.50988444e-07    6.80679000e-07   -8.28223319e-07   -7.46645017e-07
90       4.00000000e+08   -8.49105741e-03    1.56081110e-04   -1.12394495e-03   -1.85492188e-04   -9.42162237e-04   -4.30742637e-04    7.36711246e-07   -3.41573299e-08   -7.36711246e-07    3.41573299e-08   -9.42162237e-07   -4.30742637e-07    9.42162238e-07    4.30742639e-07   -7.36711247e-07    3.41573301e-08
91       4.10000000e+08   -3.97547620e-03   -2.00404137e-03   -9.88145575e-04   -9.95011487e-06   -8.60252741e-04   -1.87562757e-04    2.98733062e-07    1.99409125e-07   -2.98733062e-07   -1.99409125e-07   -8.60252741e-07   -1.87562757e-07    8.60252740e-07    1.87562755e-07   -2.98733062e-07   -1.99409126e-07
92       4.20000000e+08   -7.86349238e-03   -2.00552745e-03   -9.05088701e-04    1.62183179e-04   -7.80021756e-04   -4.40640865e-05    6.95840368e-07    2.16771063e-07   -6.95840368e-07   -2.16771063e-07   -7.80021756e-07   -4.40640865e-08    7.80021758e-07    4.40640883e-08   -6.95840369e-07   -2.16771063e-07
93       4.30000000e+08   -5.93249902e-03    2.74915458e-03   -7.45582590e-04    3.41498899e-04   -7.10075008e-04    1.29242656e-04    5.18691643e-07   -2.40765568e-07   -5.18691643e-07    2.40765568e-07   -7.10075008e-07    1.29242656e-07    7.10075006e-07   -1.29242658e-07   -5.18691643e-07    2.40765567e-07
94       4.40000000e+08   -2.83976969e-03    1.04446830e-03   -5.65397116e-04    4.02304984e-04   -5.61821534e-04    2.52604849e-04    2.27437257e-07   -6.42163321e-08   -2.27437257e-07    6.42163321e-08   -5.61821534e-07    2.52604849e-07    5.61821536e-07   -2.52604849e-07   -2.27437257e-07    6.42163328e-08
95       4.50000000e+08   -4.42897984e-03    9.38575673e-04   -4.25717257e-04    4.31481603e-04   -4.21566894e-04    2.90606153e-04    4.00326258e-07   -5.07094071e-08   -4.00326258e-07    5.07094071e-08   -4.21566894e-07    2.90606153e-07    4.21566891e-07   -2.90606153e-07   -4.00326258e-07    5.07094064e-08
96       4.60000000e+08   -2.82416944e-03    3.00664693e-03   -2.56048407e-04    4.43614706e-04   -2.92100257e-04    3.18900257e-04    2.56812104e-07   -2.56303222e-07   -2.56812104e-07    2.56303222e-07   -2.92100257e-07    3.18900257e-07    2.92100259e-07   -3.18900257e-07   -2.56812103e-07    2.56303223e-07
97       4.70000000e+08   -9.05310539e-04    1.69637721e-03   -1.03704366e-04    3.88393771e-04   -1.50069798e-04    3.11816962e-04    8.01606173e-08   -1.30798344e-07   -8.01606173e-08    1.30798344e-07   -1.50069798e-07    3.11816962e-07    1.50069796e-07   -3.11816961e-07   -8.01606178e-08    1.30798344e-07
98       4.80000000e+08   -1.33355654e-03    1.00359024e-03   -7.73505543e-06    3.08089197e-04   -4.01360185e-05    2.53715402e-04    1.32582149e-07   -6.95501038e-08   -1.32582149e-07    6.95501038e-08   -4.01360185e-08    2.53715402e-07    4.01360201e-08   -2.53715403e-07   -1.32582148e-07    6.95501042e-08
99       4.90000000e+08   -7.72019954e-04    1.26181276e-03    6.26049495e-05    2.07159603e-04    3.14023375e-05    1.66283155e-04    8.34624904e-08   -1.05465316e-07   -8.34624904e-08    1.05465316e-07    3.14023375e-08    1.66283155e-07   -3.14023385e-08   -1.66283152e-07   -8.34624911e-08    1.05465316e-07
100      5.00000000e+08   -6.69144796e-05    4.92243268e-04    1.00401912e-04    7.28352990e-05    7.14642868e-05    5.76601362e-05    1.67316391e-08   -4.19407969e-08   -1.67316391e-08    4.19407969e-08    7.14642868e-08    5.76601362e-08   -7.14642865e-08   -5.76601386e-08   -1.67316384e-08    4.19407969e-08
End of Xyce(TM) Simulation
