Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
32       2.05262713e-05    3.70873508e+00    4.97263508e+00    4.97401914e+00    1.02440955e-06    3.59633179e-07    6.12768890e-04    3.43007666e-04   -6.13793300e-04
33       2.05413879e-05    3.69477124e+00    4.99953554e+00    5.00092519e+00    1.03117503e-06    3.58458257e-07    6.30596678e-04    3.62243370e-04   -6.31627853e-04
34       2.05565044e-05    3.68004714e+00    5.02634534e+00    5.02774094e+00    1.03832521e-06    3.57250352e-07    6.48805040e-04    3.81936357e-04   -6.49843365e-04
35       2.05701093e-05    3.66610548e+00    5.05039434e+00    5.05179592e+00    1.04548975e-06    3.56068350e-07    6.65507202e-04    4.00044877e-04   -6.66552693e-04
36       2.05837142e-05    3.65146825e+00    5.07436639e+00    5.07577404e+00    1.05269868e-06    3.54929094e-07    6.82499120e-04    4.18512847e-04   -6.83551819e-04
37       2.05973191e-05    3.63609192e+00    5.09825946e+00    5.09967356e+00    1.06030511e-06    3.53759757e-07    6.99770201e-04    4.37334635e-04   -7.00830507e-04
38       2.06095635e-05    3.62158150e+00    5.11969389e+00    5.12111446e+00    1.06792503e-06    3.52619116e-07    7.15543359e-04    4.54571898e-04   -7.16611284e-04
39       2.06218079e-05    3.60639263e+00    5.14106186e+00    5.14248902e+00    1.07559765e-06    3.51525787e-07    7.31526681e-04    4.72087331e-04   -7.32602279e-04
40       2.06340523e-05    3.59048166e+00    5.16236181e+00    5.16379595e+00    1.08369001e-06    3.50406823e-07    7.47710758e-04    4.89876530e-04   -7.48794449e-04
41       2.06462967e-05    3.57379934e+00    5.18359242e+00    5.18503399e+00    1.09226078e-06    3.49266103e-07    7.64086291e-04    5.07935211e-04   -7.65178553e-04
42       2.06573166e-05    3.55808087e+00    5.20263925e+00    5.20408830e+00    1.10085807e-06    3.48156056e-07    7.78978815e-04    5.24414524e-04   -7.80079674e-04
43       2.06683366e-05    3.54164701e+00    5.22162821e+00    5.22308488e+00    1.10953611e-06    3.47098357e-07    7.94011370e-04    5.41105650e-04   -7.95120907e-04
44       2.06793566e-05    3.52444766e+00    5.24055806e+00    5.24202283e+00    1.11869982e-06    3.46018006e-07    8.09174713e-04    5.58005083e-04   -8.10293413e-04
45       2.06892745e-05    3.50826755e+00    5.25754319e+00    5.25901609e+00    1.12788226e-06    3.44967270e-07    8.22924985e-04    5.73389569e-04   -8.24052868e-04
46       2.06991925e-05    3.49137352e+00    5.27447929e+00    5.27596047e+00    1.13715499e-06    3.43971221e-07    8.36767460e-04    5.88937934e-04   -8.37904615e-04
47       2.07091105e-05    3.47371347e+00    5.29136533e+00    5.29285529e+00    1.14693803e-06    3.42954839e-07    8.50693396e-04    6.04647433e-04   -8.51840335e-04
48       2.07180366e-05    3.45711621e+00    5.30651897e+00    5.30801773e+00    1.15672976e-06    3.41966162e-07    8.63289877e-04    6.18921263e-04   -8.64446607e-04
49       2.07269628e-05    3.43979988e+00    5.32163129e+00    5.32313902e+00    1.16662226e-06    3.41033976e-07    8.75941034e-04    6.33322022e-04   -8.77107657e-04
50       2.07358890e-05    3.42170943e+00    5.33670147e+00    5.33821869e+00    1.17704863e-06    3.40083035e-07    8.88638358e-04    6.47847549e-04   -8.89815408e-04
51       2.07439225e-05    3.40471498e+00    5.35022771e+00    5.35175442e+00    1.18747045e-06    3.39156968e-07    9.00097285e-04    6.61025170e-04   -9.01284756e-04
52       2.07519561e-05    3.38698827e+00    5.36371932e+00    5.36525570e+00    1.19800494e-06    3.38288886e-07    9.11580997e-04    6.74301229e-04   -9.12779003e-04
53       2.07599896e-05    3.36847013e+00    5.37717560e+00    5.37872221e+00    1.20909550e-06    3.37403036e-07    9.23080947e-04    6.87674001e-04   -9.24290043e-04
54       2.07672198e-05    3.35107185e+00    5.38925523e+00    5.39081203e+00    1.22016462e-06    3.36538517e-07    9.33436473e-04    6.99790501e-04   -9.34656639e-04
55       2.07744500e-05    3.33291803e+00    5.40130595e+00    5.40287316e+00    1.23135979e-06    3.35733341e-07    9.43792357e-04    7.11983446e-04   -9.45023718e-04
56       2.07809572e-05    3.31588169e+00    5.41212592e+00    5.41370342e+00    1.24245201e-06    3.34938357e-07    9.53104341e-04    7.23020836e-04   -9.54346794e-04
57       2.07874644e-05    3.29812438e+00    5.42292207e+00    5.42451006e+00    1.25365271e-06    3.34201231e-07    9.62404011e-04    7.34118550e-04   -9.63657665e-04
58       2.07939715e-05    3.27958384e+00    5.43369389e+00    5.43529288e+00    1.26539275e-06    3.33447622e-07    9.71683032e-04    7.45275477e-04   -9.72948426e-04
59       2.07998280e-05    3.26216922e+00    5.44336700e+00    5.44497691e+00    1.27704605e-06    3.32707631e-07    9.80008185e-04    7.55366133e-04   -9.81285232e-04
60       2.08056845e-05    3.24399763e+00    5.45302035e+00    5.45464137e+00    1.28882232e-06    3.32027746e-07    9.88303960e-04    7.65503814e-04   -9.89592783e-04
61       2.08109553e-05    3.22694004e+00    5.46169062e+00    5.46332255e+00    1.30041161e-06    3.31349622e-07    9.95736198e-04    7.74666696e-04   -9.97036611e-04
62       2.08162261e-05    3.20915038e+00    5.47034466e+00    5.47198768e+00    1.31210126e-06    3.30729420e-07    1.00313170e-03    7.83866787e-04   -1.00444380e-03
63       2.08214969e-05    3.19055967e+00    5.47898207e+00    5.48063667e+00    1.32428492e-06    3.30093620e-07    1.01048171e-03    7.93103344e-04   -1.01180599e-03
64       2.08262406e-05    3.17307778e+00    5.48674090e+00    5.48840688e+00    1.33628969e-06    3.29463705e-07    1.01704890e-03    8.01446508e-04   -1.01838519e-03
65       2.08309844e-05    3.15480833e+00    5.49448631e+00    5.49616386e+00    1.34839863e-06    3.28894037e-07    1.02356546e-03    8.09818787e-04   -1.02491386e-03
66       2.08352537e-05    3.13762813e+00    5.50144500e+00    5.50313379e+00    1.36020346e-06    3.28319282e-07    1.02937738e-03    8.17377770e-04   -1.03073759e-03
67       2.08395231e-05    3.11967145e+00    5.50839272e+00    5.51009289e+00    1.37207500e-06    3.27801539e-07    1.03513368e-03    8.24959865e-04   -1.03650575e-03
68       2.08433655e-05    3.10278157e+00    5.51463565e+00    5.51634680e+00    1.38357190e-06    3.27276570e-07    1.04025708e-03    8.31802680e-04   -1.04164065e-03
69       2.08472079e-05    3.08512206e+00    5.52086962e+00    5.52259187e+00    1.39509847e-06    3.26806754e-07    1.04532068e-03    8.38663873e-04   -1.04671578e-03
70       2.08506661e-05    3.06850415e+00    5.52647199e+00    5.52820484e+00    1.40617358e-06    3.26329118e-07    1.04981700e-03    8.44853965e-04   -1.05122317e-03
71       2.08541243e-05    3.05111859e+00    5.53206707e+00    5.53381060e+00    1.41723007e-06    3.25904221e-07    1.05424985e-03    8.51058713e-04   -1.05566708e-03
72       2.08572366e-05    3.03474676e+00    5.53709597e+00    5.53884960e+00    1.42774774e-06    3.25472538e-07    1.05817514e-03    8.56654962e-04   -1.05960289e-03
73       2.08603490e-05    3.01760352e+00    5.54211897e+00    5.54388270e+00    1.43818187e-06    3.25090396e-07    1.06203348e-03    8.62262946e-04   -1.06347166e-03
74       2.08631501e-05    3.00144334e+00    5.54663430e+00    5.54840745e+00    1.44797483e-06    3.24704685e-07    1.06543840e-03    8.67319760e-04   -1.06688637e-03
75       2.08659513e-05    2.98450100e+00    5.55114490e+00    5.55292741e+00    1.45759499e-06    3.24364334e-07    1.06877278e-03    8.72386034e-04   -1.07023037e-03
76       2.08684723e-05    2.96850780e+00    5.55520022e+00    5.55699125e+00    1.46644954e-06    3.24026654e-07    1.07170256e-03    8.76953530e-04   -1.07316901e-03
77       2.08709933e-05    2.95171288e+00    5.55925180e+00    5.56105119e+00    1.47500564e-06    3.23728972e-07    1.07455777e-03    8.81528738e-04   -1.07603278e-03
78       2.08732622e-05    2.93582899e+00    5.56289503e+00    5.56470179e+00    1.48263775e-06    3.23444528e-07    1.07705213e-03    8.85652972e-04   -1.07853476e-03
79       2.08755311e-05    2.91911223e+00    5.56653543e+00    5.56834921e+00    1.48978982e-06    3.23193381e-07    1.07946706e-03    8.89783618e-04   -1.08095685e-03
80       2.08775731e-05    2.90326251e+00    5.56980954e+00    5.57162916e+00    1.49580513e-06    3.22972521e-07    1.08155990e-03    8.93506867e-04   -1.08305571e-03
81       2.08794110e-05    2.88825255e+00    5.57275460e+00    5.57457890e+00    1.50067458e-06    3.22791409e-07    1.08336923e-03    8.96862553e-04   -1.08486990e-03
82       2.08812488e-05    2.87243106e+00    5.57569826e+00    5.57752654e+00    1.50465692e-06    3.22638862e-07    1.08509911e-03    9.00222938e-04   -1.08660377e-03
83       2.08829028e-05    2.85740231e+00    5.57834688e+00    5.58017763e+00    1.50714537e-06    3.22556566e-07    1.08657494e-03    9.03251884e-04   -1.08808208e-03
84       2.08843914e-05    2.84313925e+00    5.58073031e+00    5.58256214e+00    1.50826186e-06    3.22512241e-07    1.08782805e-03    9.05981909e-04   -1.08933631e-03
85       2.08858801e-05    2.82806590e+00    5.58311354e+00    5.58494527e+00    1.50798484e-06    3.22484963e-07    1.08900021e-03    9.08715823e-04   -1.09050819e-03
86       2.08872198e-05    2.81370346e+00    5.58525923e+00    5.58708890e+00    1.50572266e-06    3.22602598e-07    1.08997165e-03    9.11180766e-04   -1.09147737e-03
87       2.08884256e-05    2.80002447e+00    5.58719134e+00    5.58901721e+00    1.50170911e-06    3.22769453e-07    1.09076779e-03    9.13403218e-04   -1.09226950e-03
88       2.08896314e-05    2.78550683e+00    5.58912451e+00    5.59094460e+00    1.49546720e-06    3.22944377e-07    1.09147871e-03    9.15629585e-04   -1.09297418e-03
