Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
77      1.0140554000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9119431347e-01   2.9265678981e-01   
78      1.0140782662e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9131463252e-01   2.9270495391e-01   
79      1.0141239986e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9121592580e-01   2.9266270245e-01   
80      1.0142154633e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130549383e-01   2.9270230634e-01   
81      1.0143983928e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122013708e-01   2.9266395638e-01   
82      1.0147642518e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130347134e-01   2.9270169600e-01   
83      1.0154959697e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122112827e-01   2.9266425749e-01   
84      1.0169594056e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130298066e-01   2.9270154645e-01   
85      1.0198862773e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122137239e-01   2.9266433202e-01   
86      1.0257400208e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130285891e-01   2.9270150925e-01   
87      1.0374475078e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122143320e-01   2.9266435061e-01   
88      1.0608624818e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130282852e-01   2.9270149996e-01   
89      1.1076924298e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122144838e-01   2.9266435525e-01   
90      1.2013523257e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130282093e-01   2.9270149764e-01   
91      1.3713523257e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122145231e-01   2.9266435645e-01   
92      1.5413523257e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9130281814e-01   2.9270149678e-01   
93      1.7001000000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9122145519e-01   2.9266435733e-01   
94      1.7001006250e-05   1.1999699996e+01   1.1925000000e+01   1.2000000000e+01   1.1925000000e+01   1.1987712595e+01   1.1650485437e+01   2.9123367127e-01   2.9267160828e-01   
95      1.7001012500e-05   1.1999699996e+01   1.1850000000e+01   1.2000000000e+01   1.1850000000e+01   1.1987712595e+01   1.1650485437e+01   2.9124221897e-01   2.9267602790e-01   
96      1.7001018750e-05   1.1999699996e+01   1.1775000000e+01   1.2000000000e+01   1.1775000000e+01   1.1987712595e+01   1.1650485437e+01   2.9124925652e-01   2.9267937531e-01   
97      1.7001031250e-05   1.1999699996e+01   1.1625000000e+01   1.2000000000e+01   1.1625000000e+01   1.1987712595e+01   1.1650485437e+01   2.9125699167e-01   2.9268214888e-01   
98      1.7001056250e-05   1.1999699996e+01   1.1325000000e+01   1.2000000000e+01   1.1325000000e+01   1.1987712595e+01   1.1650485437e+01   2.9126174376e-01   2.9268302274e-01   
99      1.7001106250e-05   1.1999699996e+01   1.0725000000e+01   1.2000000000e+01   1.0725000000e+01   1.1987712595e+01   1.1650485437e+01   2.9126223938e-01   2.9268288476e-01   
100     1.7001206250e-05   1.1999699996e+01   9.5250000001e+00   1.2000000000e+01   9.5250000001e+00   1.1987712595e+01   1.1650485437e+01   2.9126207914e-01   2.9268295516e-01   
101     1.7001406250e-05   1.1999699996e+01   7.1250000000e+00   1.2000000000e+01   7.1250000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126217827e-01   2.9268290354e-01   
102     1.7001806250e-05   1.1999699996e+01   2.3250000000e+00   1.2000000000e+01   2.3250000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126209932e-01   2.9268294796e-01   
103     1.7002000000e-05   1.1999699996e+01   1.4345857835e-11   1.2000000000e+01   1.4345857835e-11   1.1987712595e+01   1.1650485437e+01   2.9126216296e-01   2.9268290957e-01   
104     1.7002080000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126214009e-01   2.9268292495e-01   
105     1.7002160000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213656e-01   2.9268292663e-01   
106     1.7002240000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213562e-01   2.9268292695e-01   
107     1.7002400000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213613e-01   2.9268292673e-01   
108     1.7002720000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213575e-01   2.9268292692e-01   
109     1.7003360000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213608e-01   2.9268292675e-01   
110     1.7004640000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213577e-01   2.9268292691e-01   
111     1.7007200000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213607e-01   2.9268292675e-01   
112     1.7012320000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213578e-01   2.9268292691e-01   
113     1.7022560000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213607e-01   2.9268292675e-01   
114     1.7043040000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213578e-01   2.9268292691e-01   
115     1.7084000000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213607e-01   2.9268292675e-01   
116     1.7126916667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9126213578e-01   2.9268292691e-01   
117     1.7126925000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.9351771661e-01   2.9557138452e-01   
118     1.7126941667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.0211443215e-01   3.0551709260e-01   
119     1.7126958333e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.1195344131e-01   3.1654923783e-01   
120     1.7126991667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.3515573688e-01   3.4110119771e-01   
121     1.7127000000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.4121405741e-01   3.4731075125e-01   
122     1.7127006667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.4605729687e-01   3.5226908594e-01   
123     1.7127020000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.5573929078e-01   3.6217929192e-01   
124     1.7127046667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   3.7509544659e-01   3.8199447926e-01   
125     1.7127100000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   4.1377302242e-01   4.2161834286e-01   
126     1.7127206667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   4.9102137247e-01   5.0088676552e-01   
127     1.7127420000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   6.4511525615e-01   6.5950311148e-01   
128     1.7127846667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   9.5180554365e-01   9.7705636566e-01   
129     1.7128700000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.5601138568e+00   1.6134494957e+00   
130     1.7130406667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   2.7635745030e+00   2.8914323272e+00   
131     1.7133820000e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   5.1736282322e+00   5.4685795517e+00   
132     1.7137233333e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   7.6964108275e+00   8.0747530519e+00   
133     1.7140646667e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.0488747631e+01   1.0710966748e+01   
134     1.7141470353e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1225361818e+01   1.1351761599e+01   
135     1.7141921252e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1637184419e+01   1.1699786855e+01   
136     1.7141979005e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1647806876e+01   1.1706228848e+01   
137     1.7142036759e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1651368034e+01   1.1707855671e+01   
138     1.7142094512e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1650194618e+01   1.1707050504e+01   
139     1.7142210019e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1650659126e+01   1.1707506596e+01   
140     1.7142325526e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1650381703e+01   1.1707182328e+01   
141     1.7142556539e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1650565942e+01   1.1707430829e+01   
142     1.7143018567e-05   1.1999699996e+01   0.0000000000e+00   1.2000000000e+01   0.0000000000e+00   1.1987712595e+01   1.1650485437e+01   1.1650414480e+01   1.1707212536e+01   
