Index       FREQ            Re(V(B))          Im(V(B))          Re(N(B))          Im(N(B))            VR(B)             VI(B)             VM(B)             VP(B)            VDB(B)           Re(I(V1))         Im(I(V1))          IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)     
10       1.00000000e+04    1.55458764e-02    1.23710154e-01    1.55458764e-02    1.23710154e-01    1.55458764e-02    1.23710154e-01    1.24683104e-01    8.28375442e+01   -1.80838479e+01   -7.77293820e-03   -6.18550768e-02   -7.77293820e-03   -6.18550768e-02    6.23415520e-02   -9.71624558e+01   -2.41044478e+01
11       1.58489319e+04    3.81527491e-02    1.91564915e-01    3.81527491e-02    1.91564915e-01    3.81527491e-02    1.91564915e-01    1.95327287e-01    7.87361566e+01   -1.41847416e+01   -1.90763745e-02   -9.57824577e-02   -1.90763745e-02   -9.57824577e-02    9.76636435e-02   -1.01263843e+02   -2.02053416e+01
12       2.51188643e+04    9.06088183e-02    2.87052017e-01    9.06088183e-02    2.87052017e-01    9.06088183e-02    2.87052017e-01    3.01012987e-01    7.24815444e+01   -1.04282953e+01   -4.53044092e-02   -1.43526008e-01   -4.53044092e-02   -1.43526008e-01    1.50506493e-01   -1.07518456e+02   -1.64488952e+01
13       3.98107171e+04    2.00176794e-01    4.00132534e-01    2.00176794e-01    4.00132534e-01    2.00176794e-01    4.00132534e-01    4.47411213e-01    6.34222890e+01   -6.98586271e+00   -1.00088397e-01   -2.00066267e-01   -1.00088397e-01   -2.00066267e-01    2.23705607e-01   -1.16577711e+02   -1.30064626e+01
14       6.30957344e+04    3.86000434e-01    4.86830668e-01    3.86000434e-01    4.86830668e-01    3.86000434e-01    4.86830668e-01    6.21289332e-01    5.15896504e+01   -4.13412207e+00   -1.93000217e-01   -2.43415334e-01   -1.93000217e-01   -2.43415334e-01    3.10644666e-01   -1.28410350e+02   -1.01547220e+01
15       1.00000000e+05    6.12273363e-01    4.87231661e-01    6.12273363e-01    4.87231661e-01    6.12273363e-01    4.87231661e-01    7.82478986e-01    3.85118873e+01   -2.13054634e+00   -3.06136682e-01   -2.43615831e-01   -3.06136682e-01   -2.43615831e-01    3.91239493e-01   -1.41488113e+02   -8.15114625e+00
16       1.58489319e+05    7.98655504e-01    4.01004850e-01    7.98655504e-01    4.01004850e-01    7.98655504e-01    4.01004850e-01    8.93675279e-01    2.66612227e+01   -9.76405108e-01   -3.99327752e-01   -2.00502425e-01   -3.99327752e-01   -2.00502425e-01    4.46837640e-01   -1.53338777e+02   -6.99700502e+00
17       2.51188643e+05    9.08789741e-01    2.87907880e-01    9.08789741e-01    2.87907880e-01    9.08789741e-01    2.87907880e-01    9.53304642e-01    1.75783902e+01   -4.15365841e-01   -4.54394871e-01   -1.43953940e-01   -4.54394871e-01   -1.43953940e-01    4.76652321e-01   -1.62421610e+02   -6.43596575e+00
18       3.98107171e+05    9.61579291e-01    1.92209672e-01    9.61579291e-01    1.92209672e-01    9.61579291e-01    1.92209672e-01    9.80601495e-01    1.13038486e+01   -1.70148983e-01   -4.80789646e-01   -9.61048360e-02   -4.80789646e-01   -9.61048360e-02    4.90300747e-01   -1.68696151e+02   -6.19074890e+00
19       6.30957344e+05    9.84342355e-01    1.24147023e-01    9.84342355e-01    1.24147023e-01    9.84342355e-01    1.24147023e-01    9.92140290e-01    7.18829276e+00   -6.85382739e-02   -4.92171177e-01   -6.20735113e-02   -4.92171177e-01   -6.20735113e-02    4.96070145e-01   -1.72811707e+02   -6.08913819e+00
20       1.00000000e+06    9.93707275e-01    7.90767124e-02    9.93707275e-01    7.90767124e-02    9.93707275e-01    7.90767124e-02    9.96848672e-01    4.54986531e+00   -2.74153059e-02   -4.96853638e-01   -3.95383562e-02   -4.96853638e-01   -3.95383562e-02    4.98424336e-01   -1.75450135e+02   -6.04801522e+00
21       1.58489319e+06    9.97485297e-01    5.00837269e-02    9.97485297e-01    5.00837269e-02    9.97485297e-01    5.00837269e-02    9.98741857e-01    2.87440664e+00   -1.09349731e-02   -4.98742648e-01   -2.50418634e-02   -4.98742648e-01   -2.50418634e-02    4.99370928e-01   -1.77125593e+02   -6.03153489e+00
22       2.51188643e+06    9.98997361e-01    3.16485981e-02    9.98997361e-01    3.16485981e-02    9.98997361e-01    3.16485981e-02    9.99498555e-01    1.81454415e+00   -4.35659045e-03   -4.99498680e-01   -1.58242990e-02   -4.99498680e-01   -1.58242990e-02    4.99749277e-01   -1.78185456e+02   -6.02495650e+00
23       3.98107171e+06    9.99600601e-01    1.99809735e-02    9.99600601e-01    1.99809735e-02    9.99600601e-01    1.99809735e-02    9.99800281e-01    1.14513038e+00   -1.73491353e-03   -4.99800301e-01   -9.99048677e-03   -4.99800301e-01   -9.99048677e-03    4.99900140e-01   -1.78854870e+02   -6.02233483e+00
24       6.30957344e+06    9.99840958e-01    1.26101734e-02    9.99840958e-01    1.26101734e-02    9.99840958e-01    1.26101734e-02    9.99920476e-01    7.22586332e-01   -6.90764555e-04   -4.99920479e-01   -6.30508671e-03   -4.99920479e-01   -6.30508671e-03    4.99960238e-01   -1.79277414e+02   -6.02129068e+00
25       1.00000000e+07    9.99936678e-01    7.95724326e-03    9.99936678e-01    7.95724326e-03    9.99936678e-01    7.95724326e-03    9.99968339e-01    4.55935702e-01   -2.75011486e-04   -4.99968339e-01   -3.97862163e-03   -4.99968339e-01   -3.97862163e-03    4.99984169e-01   -1.79544064e+02   -6.02087492e+00
End of Xyce(TM) Simulation
