STEPNUM  Index       FREQ              R1:R              C1:C              VM(B)      
1        3        3.98107171e+02    2.00000000e+00    1.00000000e-07    5.00276162e-04
1        4        6.30957344e+02    2.00000000e+00    1.00000000e-07    7.92884134e-04
1        5        1.00000000e+03    2.00000000e+00    1.00000000e-07    1.25663607e-03
1        6        1.58489319e+03    2.00000000e+00    1.00000000e-07    1.99163157e-03
1        7        2.51188643e+03    2.00000000e+00    1.00000000e-07    3.15651386e-03
1        8        3.98107171e+03    2.00000000e+00    1.00000000e-07    5.00269965e-03
1        9        6.30957344e+03    2.00000000e+00    1.00000000e-07    7.92859461e-03
1        10       1.00000000e+04    2.00000000e+00    1.00000000e-07    1.25653785e-02
1        11       1.58489319e+04    2.00000000e+00    1.00000000e-07    1.99124064e-02
1        12       2.51188643e+04    2.00000000e+00    1.00000000e-07    3.15495823e-02
1        13       3.98107171e+04    2.00000000e+00    1.00000000e-07    4.99651361e-02
1        14       6.30957344e+04    2.00000000e+00    1.00000000e-07    7.90403777e-02
1        15       1.00000000e+05    2.00000000e+00    1.00000000e-07    1.24683104e-01
1        16       1.58489319e+05    2.00000000e+00    1.00000000e-07    1.95327287e-01
1        17       2.51188643e+05    2.00000000e+00    1.00000000e-07    3.01012987e-01
1        18       3.98107171e+05    2.00000000e+00    1.00000000e-07    4.47411213e-01
1        19       6.30957344e+05    2.00000000e+00    1.00000000e-07    6.21289332e-01
1        20       1.00000000e+06    2.00000000e+00    1.00000000e-07    7.82478986e-01

2        0        1.00000000e+02    5.00000000e-01    1.00000000e-06    3.14159250e-04
2        1        1.58489319e+02    5.00000000e-01    1.00000000e-06    4.97908819e-04
2        2        2.51188643e+02    5.00000000e-01    1.00000000e-06    7.89132150e-04
2        3        3.98107171e+02    5.00000000e-01    1.00000000e-06    1.25068958e-03
2        4        6.30957344e+02    5.00000000e-01    1.00000000e-06    1.98220706e-03
2        5        1.00000000e+03    5.00000000e-01    1.00000000e-06    3.14157715e-03
2        6        1.58489319e+03    5.00000000e-01    1.00000000e-06    4.97902709e-03
2        7        2.51188643e+03    5.00000000e-01    1.00000000e-06    7.89107826e-03
2        8        3.98107171e+03    5.00000000e-01    1.00000000e-06    1.25059276e-02
2        9        6.30957344e+03    5.00000000e-01    1.00000000e-06    1.98182165e-02
2        10       1.00000000e+04    5.00000000e-01    1.00000000e-06    3.14004349e-02
2        11       1.58489319e+04    5.00000000e-01    1.00000000e-06    4.97292835e-02
2        12       2.51188643e+04    5.00000000e-01    1.00000000e-06    7.86686731e-02
2        13       3.98107171e+04    5.00000000e-01    1.00000000e-06    1.24102203e-01
2        14       6.30957344e+04    5.00000000e-01    1.00000000e-06    1.94438008e-01
2        15       1.00000000e+05    5.00000000e-01    1.00000000e-06    2.99716804e-01
2        16       1.58489319e+05    5.00000000e-01    1.00000000e-06    4.45715435e-01
2        17       2.51188643e+05    5.00000000e-01    1.00000000e-06    6.19479228e-01
2        18       3.98107171e+05    5.00000000e-01    1.00000000e-06    7.81037072e-01
2        19       6.30957344e+05    5.00000000e-01    1.00000000e-06    8.92818956e-01
2        20       1.00000000e+06    5.00000000e-01    1.00000000e-06    9.52890514e-01

3        0        1.00000000e+02    2.00000000e+00    1.00000000e-06    1.25663607e-03
3        1        1.58489319e+02    2.00000000e+00    1.00000000e-06    1.99163157e-03
3        2        2.51188643e+02    2.00000000e+00    1.00000000e-06    3.15651386e-03
3        3        3.98107171e+02    2.00000000e+00    1.00000000e-06    5.00269965e-03
3        4        6.30957344e+02    2.00000000e+00    1.00000000e-06    7.92859461e-03
3        5        1.00000000e+03    2.00000000e+00    1.00000000e-06    1.25653785e-02
3        6        1.58489319e+03    2.00000000e+00    1.00000000e-06    1.99124064e-02
3        7        2.51188643e+03    2.00000000e+00    1.00000000e-06    3.15495823e-02
3        8        3.98107171e+03    2.00000000e+00    1.00000000e-06    4.99651361e-02
3        9        6.30957344e+03    2.00000000e+00    1.00000000e-06    7.90403777e-02
3        10       1.00000000e+04    2.00000000e+00    1.00000000e-06    1.24683104e-01
3        11       1.58489319e+04    2.00000000e+00    1.00000000e-06    1.95327287e-01
3        12       2.51188643e+04    2.00000000e+00    1.00000000e-06    3.01012987e-01
3        13       3.98107171e+04    2.00000000e+00    1.00000000e-06    4.47411213e-01
3        14       6.30957344e+04    2.00000000e+00    1.00000000e-06    6.21289332e-01
3        15       1.00000000e+05    2.00000000e+00    1.00000000e-06    7.82478986e-01
3        16       1.58489319e+05    2.00000000e+00    1.00000000e-06    8.93675279e-01
3        17       2.51188643e+05    2.00000000e+00    1.00000000e-06    9.53304642e-01
3        18       3.98107171e+05    2.00000000e+00    1.00000000e-06    9.80601495e-01
3        19       6.30957344e+05    2.00000000e+00    1.00000000e-06    9.92140290e-01
3        20       1.00000000e+06    2.00000000e+00    1.00000000e-06    9.96848672e-01
End of Xyce(TM) Parameter Sweep
