Index       FREQ            Re(V(1))          Im(V(1))         Re(I(VSRC))       Im(I(VSRC))   
0        1.00000000e+00    1.57913421e-06    1.25663508e-03   -1.57913421e-08   -1.25663508e-05
1        1.25892541e+00    2.50275675e-06    1.58200837e-03   -2.50275675e-08   -1.58200837e-05
2        1.58489319e+00    3.96659633e-06    1.99162762e-03   -3.96659633e-08   -1.99162762e-05
3        1.99526231e+00    6.28661693e-06    2.50730481e-03   -6.28661693e-08   -2.50730481e-05
4        2.51188643e+00    9.96357974e-06    3.15649813e-03   -9.96357974e-08   -3.15649813e-05
5        3.16227766e+00    1.57911177e-05    3.97377256e-03   -1.57911177e-07   -3.97377256e-05
6        3.98107171e+00    2.50270038e-05    5.00263705e-03   -2.50270038e-07   -5.00263705e-05
7        5.01187234e+00    3.96645473e-05    6.29785471e-03   -3.96645473e-07   -6.29785471e-05
8        6.30957344e+00    6.28626126e-05    7.92834540e-03   -6.28626126e-07   -7.92834540e-05
9        7.94328235e+00    9.96268636e-05    9.98082853e-03   -9.96268636e-07   -9.98082853e-05
10       1.00000000e+01    1.57888738e-04    1.25643865e-02   -1.57888738e-06   -1.25643865e-04
11       1.25892541e+01    2.50213679e-04    1.58161649e-02   -2.50213679e-06   -1.58161649e-04
12       1.58489319e+01    3.96503928e-04    1.99084583e-02   -3.96503928e-06   -1.99084583e-04
13       1.99526231e+01    6.28270673e-04    2.50574530e-02   -6.28270673e-06   -2.50574530e-04
14       2.51188643e+01    9.95376141e-04    3.15338765e-02   -9.95376141e-06   -3.15338765e-04
15       3.16227766e+01    1.57664696e-03    3.96756997e-02   -1.57664696e-05   -3.96756997e-04
16       3.98107171e+01    2.49651483e-03    4.99027278e-02   -2.49651483e-05   -4.99027278e-04
17       5.01187234e+01    3.95094021e-03    6.27322109e-02   -3.95094021e-05   -6.27322109e-04
18       6.30957344e+01    6.24738131e-03    7.87930932e-02   -6.24738131e-05   -7.87930932e-04
19       7.94328235e+01    9.86538350e-03    9.88334848e-02   -9.86538350e-05   -9.88334848e-04
20       1.00000000e+02    1.55458764e-02    1.23710154e-01   -1.55458764e-04   -1.23710154e-03
21       1.25892541e+02    2.44165419e-02    1.54338506e-01   -2.44165419e-04   -1.54338506e-03
22       1.58489319e+02    3.81527491e-02    1.91564915e-01   -3.81527491e-04   -1.91564915e-03
23       1.99526231e+02    5.91481251e-02    2.35901726e-01   -5.91481251e-04   -2.35901726e-03
24       2.51188643e+02    9.06088183e-02    2.87052017e-01   -9.06088183e-04   -2.87052017e-03
25       3.16227766e+02    1.36377758e-01    3.43189256e-01   -1.36377758e-03   -3.43189256e-03
26       3.98107171e+02    2.00176794e-01    4.00132534e-01   -2.00176794e-03   -4.00132534e-03
27       5.01187234e+02    2.84006747e-01    4.50940035e-01   -2.84006747e-03   -4.50940035e-03
28       6.30957344e+02    3.86000434e-01    4.86830668e-01   -3.86000434e-03   -4.86830668e-03
29       7.94328235e+02    4.99090323e-01    4.99999172e-01   -4.99090323e-03   -4.99999172e-03
30       1.00000000e+03    6.12273363e-01    4.87231661e-01   -6.12273363e-03   -4.87231661e-03
31       1.25892541e+03    7.14511088e-01    4.51646978e-01   -7.14511088e-03   -4.51646978e-03
32       1.58489319e+03    7.98655504e-01    4.01004850e-01   -7.98655504e-03   -4.01004850e-03
33       1.99526231e+03    8.62762845e-01    3.44097542e-01   -8.62762845e-03   -3.44097542e-03
0        1.00000000e+00    2.50275675e-06    1.58200837e-03   -1.98801035e-08   -1.25663392e-05
1        1.25892541e+00    3.96659633e-06    1.99162762e-03   -3.15077946e-08   -1.58200605e-05
2        1.58489319e+00    6.28661693e-06    2.50730481e-03   -4.99363733e-08   -1.99162300e-05
3        1.99526231e+00    9.96357974e-06    3.15649813e-03   -7.91435271e-08   -2.50729559e-05
4        2.51188643e+00    1.57911177e-05    3.97377256e-03   -1.25433306e-07   -3.15647974e-05
5        3.16227766e+00    2.50270038e-05    5.00263705e-03   -1.98796557e-07   -3.97373585e-05
6        3.98107171e+00    3.96645473e-05    6.29785471e-03   -3.15066698e-07   -5.00256382e-05
7        5.01187234e+00    6.28626126e-05    7.92834540e-03   -4.99335481e-07   -6.29770861e-05
8        6.30957344e+00    9.96268636e-05    9.98082853e-03   -7.91364307e-07   -7.92805391e-05
9        7.94328235e+00    1.57888738e-04    1.25643865e-02   -1.25415482e-06   -9.98024697e-05
10       1.00000000e+01    2.50213679e-04    1.58161649e-02   -1.98751790e-06   -1.25632263e-04
11       1.25892541e+01    3.96503928e-04    1.99084583e-02   -3.14954265e-06   -1.58138506e-04
