Index       FREQ              VP(B)            IP(V1)            VP(A,B)     
0        1.00000000e+02    8.99280000e+01   -9.00720000e+01   -7.19999621e-02
1        1.58489319e+02    8.98858878e+01   -9.01141122e+01   -1.14112159e-01
2        2.51188643e+02    8.98191448e+01   -9.01808552e+01   -1.80855222e-01
3        3.98107171e+02    8.97133652e+01   -9.02866348e+01   -2.86634772e-01
4        6.30957344e+02    8.95457202e+01   -9.04542798e+01   -4.54279769e-01
5        1.00000000e+03    8.92800379e+01   -9.07199621e+01   -7.19962104e-01
6        1.58489319e+03    8.88590277e+01   -9.11409723e+01   -1.14097225e+00
7        2.51188643e+03    8.81920421e+01   -9.18079579e+01   -1.80795793e+00
8        3.98107171e+03    8.71360161e+01   -9.28639839e+01   -2.86398393e+00
9        6.30957344e+03    8.54665912e+01   -9.45334088e+01   -4.53340876e+00
10       1.00000000e+04    8.28375442e+01   -9.71624558e+01   -7.16245581e+00
11       1.58489319e+04    7.87361566e+01   -1.01263843e+02   -1.12638434e+01
12       2.51188643e+04    7.24815444e+01   -1.07518456e+02   -1.75184556e+01
13       3.98107171e+04    6.34222890e+01   -1.16577711e+02   -2.65777110e+01
14       6.30957344e+04    5.15896504e+01   -1.28410350e+02   -3.84103496e+01
15       1.00000000e+05    3.85118873e+01   -1.41488113e+02   -5.14881127e+01
16       1.58489319e+05    2.66612227e+01   -1.53338777e+02   -6.33387773e+01
17       2.51188643e+05    1.75783902e+01   -1.62421610e+02   -7.24216098e+01
18       3.98107171e+05    1.13038486e+01   -1.68696151e+02   -7.86961514e+01
19       6.30957344e+05    7.18829276e+00   -1.72811707e+02   -8.28117072e+01
20       1.00000000e+06    4.54986531e+00   -1.75450135e+02   -8.54501347e+01
End of Xyce(TM) Simulation
